problem,run,target_FE,actual_FE,gen,figure_file
DASCMOP1_BC,1,10000,10164,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/pipeline_count_runs1_20260622_210154/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE010000.png
DASCMOP1_BC,1,30000,30136,142,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/pipeline_count_runs1_20260622_210154/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE030000.png
DASCMOP1_BC,1,50000,50156,233,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/pipeline_count_runs1_20260622_210154/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE050000.png
DASCMOP1_BC,1,70000,70176,324,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/pipeline_count_runs1_20260622_210154/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE070000.png
DASCMOP1_BC,1,100000,100096,460,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/pipeline_count_runs1_20260622_210154/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE100000.png
DASCMOP1_BC,1,NaN,NaN,460,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/pipeline_count_runs1_20260622_210154/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_diagnostic_trends.png
DASCMOP2_BC,1,10000,10048,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/pipeline_count_runs1_20260622_210154/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE010000.png
DASCMOP2_BC,1,30000,30049,139,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/pipeline_count_runs1_20260622_210154/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE030000.png
DASCMOP2_BC,1,50000,50069,230,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/pipeline_count_runs1_20260622_210154/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE050000.png
DASCMOP2_BC,1,70000,70089,321,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/pipeline_count_runs1_20260622_210154/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE070000.png
