problem,run,condition_mode,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,1,ref_y,1,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,1,399,1,1,36,1,318,318,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_BC,1,ref_y,2,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,2,398,2,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_BC,1,ref_y,3,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,9,391,1,1,18,1,109,109,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_BC,1,ref_y,4,0,0,NaN,0,0,NaN,NaN,0,0,4,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,22,378,2,1,29,1,18,18,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_BC,1,ref_y,5,4,1,0.02,4,0,0.0468685751634989,0.0478322717408006,4,3,4,0.000207997504029952,100,1.3380746776288,1.3380746776288,0,0,3,3,0,0.75,0.075429778854803,0.0755646171756363,0,0.0755767503322995,NaN,1,0.0639690299053133,0,0.0755767503322995,0.0756331802946024,NaN,0.0756331802946024,0,400,0,400,400,52,348,5,2,40,2,1678,0,6,6,6,6,4,4,4,4,4,0,3
DASCMOP1_BC,1,ref_y,6,8,1,0.04,8,0,0.0197240173587224,0.0325822689865931,8,15,4,0.000415995008059903,100,1.11263984676075,1.34744308510858,0,8,7,15,1,1.875,0.00928449944507852,0.0121213608594421,0,0.0145034159319533,NaN,1,0.205213387780715,0.5,0.0145034159319533,0.0178187249125365,0.0187621854991358,0.015867271308492,0.0666666666666667,400,4,408,408,154,254,18,4,53,4,3661,0,12,12,12,12,8,8,8,8,8,0,15
DASCMOP1_BC,1,ref_y,7,25,1,0.09,25,0,0.0149930042862615,0.0239717903013043,25,20,4,0.0012999844001872,100,0.977372404696218,1.30458749482565,0,8,12,20,9,0.8,0.00329477227769441,0.00859862588257788,0,0.0180868186150345,NaN,0.55,0.0357236940513117,0.777777777777778,0.0117714790137504,0.0185442903753469,0.0175522101963373,0.0190369645815172,0.45,400,8,416,416,188,228,32,9,82,9,4064,0,27,27,27,27,25,25,25,25,25,0,20
DASCMOP1_BC,1,ref_y,8,30,1,0.1,30,0,0.011616761256148,0.0253664762420196,30,20,4,0.00155998128022464,100,0.929827178165368,1.30503430499318,0,4,16,20,0,0.666666666666667,0.0509398973126483,0.0532823248134297,0,0.055710458992856,NaN,0.45,-0.0245632061754606,0,0.051496529799355,0.055715878759796,0.0530397296418034,0.0561046348256868,0,400,25,450,450,189,261,32,10,35,10,4148,0,30,30,30,30,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,9,27,1,0.09,27,0,0.00732105542041058,0.0108991547694967,27,20,4,0.00140398315220217,100,1.08284076572097,1.38757994634051,0,3,17,20,0,0.740740740740741,0.0454333597296178,0.0460564474718263,0,0.0491769471587771,NaN,0.75,0.0468991647168248,0,0.0472361590420596,0.0491769471587771,0.0487014045331144,0.0493488479839354,0,400,30,460,460,175,285,34,10,40,10,4947,0,30,30,30,30,27,27,27,27,27,0,20
DASCMOP1_BC,1,ref_y,10,30,1,0.1,30,0,0.010937572968116,0.0156191660803163,30,20,4,0.00155998128022464,100,0.94236946910229,1.36959541248431,0,3,17,20,0,0.666666666666667,0.0855797977296174,0.0924219977873983,0,0.0934775761517913,NaN,0.6,0.0426615598247329,0,0.086276717458666,0.0935063303874811,0.0879602154930772,0.0937734673736812,0,400,27,454,454,168,286,37,11,67,11,5162,0,33,33,33,33,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,11,30,1,0.1,30,0,0.00762916047379665,0.0169747304310667,30,20,4,0.00155998128022464,100,1.04334145255697,1.3444822345783,0,2,18,20,20,0.666666666666667,0.0341801771290588,0.0407263825555875,0,0.0424847947470619,NaN,0.55,0.0453636227427876,1,0.0344779565578965,0.0424911786312283,0.0342238169865686,0.0426422394584242,1,400,30,460,460,171,289,39,11,66,11,5959,0,33,33,33,33,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,12,30,1,0.1,30,0,0.00581053938832377,0.0125473081527087,30,20,4,0.00155998128022464,100,1.04334145255697,1.35727252097627,0,1,19,20,0,0.666666666666667,0.0557556805466364,0.0612548258862772,0,0.0622981136431911,NaN,0.45,-0.0188319283855604,0,0.0567950266175305,0.0623538162072152,0.0515777114023679,0.0623808637766214,0,400,30,460,460,170,290,46,11,40,11,7929,0,33,33,33,33,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,13,27,1,0.09,27,0,0.00669257702510345,0.0233916909961876,27,20,4,0.00140398315220217,100,1.00384213939298,1.343793047838,0,4,16,20,19,0.740740740740741,0.00914018641912964,0.0220654421049255,0,0.0224981022406516,NaN,0.65,0.0590870198388283,1,0.0167422824496937,0.0227114603946554,0.0207970600088847,0.0239905647331598,0.95,400,30,460,460,175,285,43,9,50,9,7227,0,27,27,27,27,27,27,27,27,27,0,20
DASCMOP1_BC,1,ref_y,14,24,1,0.08,24,0,0.00845046406814016,0.0253257499097684,24,20,4,0.00124798502417971,100,1.18305827539072,1.39393684259296,0,4,16,20,0,0.833333333333333,0.182421846805196,0.201652401520216,0,0.201652401520216,NaN,0.75,0.0985198517692011,0,0.184400131665043,0.201652401520216,0.189964924737949,0.203776609360814,0,400,27,454,454,172,282,47,9,56,9,6885,0,27,27,27,27,24,24,24,24,24,0,20
DASCMOP1_BC,1,ref_y,15,33,1,0.11,33,0,0.00710598647036133,0.0132342680117141,33,20,4,0.0017159794082471,96.969696969697,0.894870028921225,1.35791469843635,0,0,20,20,0,0.606060606060606,0.283637092872083,0.297268012947363,0,0.298212933164968,NaN,0.65,0.0304059599175742,0,0.284787145388945,0.298502280932994,NaN,0.298502280932994,0,400,24,448,448,149,299,45,13,79,13,6659,0,39,39,39,39,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,16,27,1,0.09,27,0,0.00401078878917342,0.0153693000081788,27,20,4,0.00140398315220217,100,1.00384213939298,1.3317152585815,0,3,17,20,0,0.740740740740741,0.0790754774535865,0.0849789617974012,0,0.0849942460740451,NaN,0.85,0.0608945872314742,0,0.0792633497586331,0.0850284974614855,0.0815748378015449,0.0852142812499479,0,400,33,466,466,169,297,54,10,75,10,8292,0,30,30,30,30,27,27,27,27,27,0,20
DASCMOP1_BC,1,ref_y,17,30,1,0.1,30,0,0.00715955826192064,0.0213184508051256,30,20,4,0.00155998128022464,100,1.05143308988455,1.37142300249508,0,2,18,20,0,0.666666666666667,0.614914962100192,0.635362679326965,0,0.636288485591857,NaN,0.6,0.0796126355405898,0,0.615682204045632,0.636583397160198,0.622186955225673,0.637118387102046,0,400,27,454,454,160,294,49,11,72,11,6567,0,33,33,33,33,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,18,36,1,0.12,36,0,0.00354314792527098,0.00663757639152124,36,20,4,0.00187197753626956,88.8888888888889,0.894870028921225,1.34890916239719,0,0,20,20,3,0.555555555555556,0.0527900181429921,0.0573223190767609,0,0.0597103085657938,NaN,0.75,0.104626211100592,0.25,0.0548455298046389,0.0598231791807401,NaN,0.0598231791807401,0.15,400,30,460,460,167,293,55,13,84,13,6973,0,39,39,39,39,36,36,36,36,36,0,20
DASCMOP1_BC,1,ref_y,19,33,1,0.11,33,0,0.00466632477367925,0.0094946847119929,33,20,4,0.0017159794082471,96.969696969697,0.898486805489069,1.35791469843635,0,0,20,20,0,0.606060606060606,0.307601378411194,0.311990362725543,0,0.313586826387058,NaN,0.75,0.0461690425880801,0,0.308689151574754,0.313669458291501,NaN,0.313669458291501,0,400,36,472,472,174,298,61,12,81,12,7858,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,20,33,1,0.11,33,0,0.00577005977641017,0.0198401634487149,33,20,4,0.0017159794082471,96.969696969697,0.822031280225827,1.21893340236374,0,1,19,20,20,0.606060606060606,0.0247101616054911,0.0282476336814358,0,0.0288940950488404,NaN,0.45,-0.00979822390474838,1,0.0250081694664644,0.0288940950488404,0.0272395668848451,0.028903252625231,1,400,33,466,466,171,295,52,11,86,11,6464,0,33,33,33,33,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,21,30,1,0.1,30,0,0.00523851913283356,0.0105205658211089,30,20,4,0.00155998128022464,100,0.898486805489069,1.23992376083075,0,2,18,20,0,0.666666666666667,0.383048669118082,0.384548532235095,0,0.386587830904926,NaN,0.3,-0.0565525968892375,0,0.385410426610425,0.387087529944764,0.387037351588147,0.386973085110747,0,400,33,466,466,165,301,56,11,89,11,6878,0,33,33,33,33,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y,22,36,1,0.12,36,0,0.00722892538455454,0.0215221366284882,36,20,4,0.00187197753626956,88.8888888888889,0.896326633190342,1.28165502492069,0,1,19,20,0,0.555555555555556,0.112154648465241,0.117090870841507,0,0.119813023636136,NaN,0.4,-0.0247959105556038,0,0.115001336618464,0.119813023636136,0.112372136940953,0.119881627071733,0,400,30,460,460,162,298,57,12,84,12,7664,0,36,36,36,36,36,36,36,36,36,0,20
DASCMOP1_BC,1,ref_y,23,24,1,0.08,24,0,0.00334748390849271,0.0083586557177586,24,20,4,0.00124798502417971,100,0.829731954970325,1.34890916239719,0,2,18,20,20,0.833333333333333,0.0225627870640363,0.0257359630329133,0,0.0267692201599844,NaN,0.75,0.142087192528166,1,0.0232915610098892,0.0267338654696831,0.0246787558803745,0.0267658476233894,1,400,36,472,472,168,304,64,11,91,11,8100,0,33,33,33,33,24,24,24,24,24,0,20
