problem,run,target_FE,actual_FE,gen,figure_file,variant,condition_mode
DASCMOP1_BC,1,10000,10002,45,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_plot_20260623_090728/B_ref_y_tau/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE010000.png,B_ref_y_tau,ref_y_tau
DASCMOP1_BC,1,30000,30217,137,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_plot_20260623_090728/B_ref_y_tau/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE030000.png,B_ref_y_tau,ref_y_tau
DASCMOP1_BC,1,50000,50017,227,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_plot_20260623_090728/B_ref_y_tau/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE050000.png,B_ref_y_tau,ref_y_tau
DASCMOP1_BC,1,70000,70037,318,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_plot_20260623_090728/B_ref_y_tau/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE070000.png,B_ref_y_tau,ref_y_tau
DASCMOP1_BC,1,100000,100177,455,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_plot_20260623_090728/B_ref_y_tau/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_targetFE100000.png,B_ref_y_tau,ref_y_tau
DASCMOP1_BC,1,NaN,NaN,455,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_plot_20260623_090728/B_ref_y_tau/DASCMOP1_BC_run1/figures/DASCMOP1_BC_run1_diagnostic_trends.png,B_ref_y_tau,ref_y_tau
DASCMOP2_BC,1,10000,10208,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_plot_20260623_090728/B_ref_y_tau/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE010000.png,B_ref_y_tau,ref_y_tau
DASCMOP2_BC,1,30000,30008,136,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_plot_20260623_090728/B_ref_y_tau/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE030000.png,B_ref_y_tau,ref_y_tau
DASCMOP2_BC,1,50000,50028,227,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_plot_20260623_090728/B_ref_y_tau/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE050000.png,B_ref_y_tau,ref_y_tau
DASCMOP2_BC,1,70000,70048,318,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_plot_20260623_090728/B_ref_y_tau/DASCMOP2_BC_run1/figures/DASCMOP2_BC_run1_targetFE070000.png,B_ref_y_tau,ref_y_tau
