problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count,variant
DASCMOP1_BC,1,ref_y_tau,10000,10002,45,30,1,0.1,30,0,0.00161656149452902,0.00349785514998604,30,20,5,0.00154966682163335,100,0.858176538783199,1.27736876566998,0,0,20,20,6,0.666666666666667,0.0506100410803174,0.0576575312583013,0,0.0617904078034679,NaN,0.65,0.0688393059679842,0.6,0.0550573507927269,0.0618682082506728,NaN,0.0618682082506728,0.3,400,33,466,466,160,306,62,14,100,14,5718,0,42,42,42,42,30,30,30,30,30,0,20,B_ref_y_tau
DASCMOP1_BC,1,ref_y_tau,30000,30217,137,57,1,0.19,57,0,0.00768203701758388,0.0144524880525523,57,20,5,0.00294436696110336,56.140350877193,0.474304408335693,0.767080210134265,0,20,0,20,1,0.350877192982456,0.129909287904547,0.196052734997514,0,0.196052734997514,NaN,0.3,-0.0324980633328248,0.105263157894737,0.132575323962809,0.19875608876825,0.19875608876825,NaN,0.05,400,66,532,532,191,341,92,20,100,20,4102,0,60,60,60,60,57,57,57,57,57,0,20,B_ref_y_tau
DASCMOP1_BC,1,ref_y_tau,50000,50017,227,81,1,0.27,81,0,0.00185119142482641,0.00517405015392744,81,20,5,0.00418410041841004,39.5061728395062,0.449433572472564,0.717316379475851,0,20,0,20,0,0.246913580246914,0.0034624204150668,0.0112544742934634,0,0.0112544742934634,NaN,1,0.0314330659236154,0,0.00825469234105824,0.0115987738454412,0.0115987738454412,NaN,0,400,87,574,574,216,358,188,29,100,29,9644,0,87,87,87,87,81,81,81,81,81,0,20,B_ref_y_tau
DASCMOP1_BC,1,ref_y_tau,70000,70037,318,87,1,0.29,87,0,0.00194252603431514,0.00711985653612371,87,20,5,0.00449403378273671,36.7816091954023,0.39615557458678,0.735586163292142,0,20,0,20,0,0.229885057471264,0.0114954677320504,0.018601426127786,0,0.018601426127786,NaN,0.6,0.00608451343488287,0,0.0170728238205714,0.0232406609626399,0.0232406609626399,NaN,0,400,84,568,568,226,342,184,29,100,29,9261,0,87,87,87,87,87,87,87,87,87,0,20,B_ref_y_tau
DASCMOP1_BC,1,ref_y_tau,100000,100177,455,87,1,0.29,87,0,0.00108307172430136,0.00497543867237414,87,20,5,0.00449403378273671,36.7816091954023,0.504782867757291,0.747816245279309,0,20,0,20,9,0.229885057471264,0.0269820948190856,0.042321321752404,0,0.042321321752404,NaN,0.4,-0.0418525681011039,0.0689655172413793,0.031058781349952,0.0462501320013564,0.0462501320013564,NaN,0.45,400,78,556,556,216,340,178,31,100,31,8531,0,93,93,93,93,87,87,87,87,87,0,20,B_ref_y_tau
DASCMOP2_BC,1,ref_y_tau,10000,10208,46,36,1,0.12,36,0,0.00359292363990622,0.00816848982929371,36,20,5,0.00185960018596002,88.8888888888889,0.599951435427141,0.917101803467803,0,1,19,20,0,0.555555555555556,0.182799900559725,0.190648258121372,0,0.195176202542262,NaN,0.55,0.00682743960960019,0,0.186007448628319,0.195176202542262,0.172959660010206,0.195280388410153,0,400,33,466,466,179,287,64,15,100,15,4835,0,45,45,45,45,36,36,36,36,36,0,20,B_ref_y_tau
DASCMOP2_BC,1,ref_y_tau,30000,30008,136,87,1,0.29,87,0,0.00658594246924834,0.0218641431623798,87,20,5,0.00449403378273671,36.7816091954023,0.634090182290256,1.03290944454699,0,16,4,20,15,0.229885057471264,0.0161861829251575,0.0425263630469169,0,0.0425441296605667,NaN,0.55,0.0107914684877895,0.344827586206897,0.0172418133883856,0.0439060670325169,0.0476931084403118,0.0390853431278323,0.75,400,90,580,580,241,339,193,30,100,30,11094,0,90,90,90,90,87,87,87,87,87,0,20,B_ref_y_tau
DASCMOP2_BC,1,ref_y_tau,50000,50028,227,123,1,0.41,123,0,0.00296355745717301,0.00855484717216947,123,20,5,0.00635363396869673,26.0162601626016,0.770460205656843,0.982796956875506,0,5,15,20,7,0.16260162601626,0.0874294456512767,0.263992794170767,0,0.272338123887808,NaN,0.6,0.0278513939967548,0.121951219512195,0.0898082604455248,0.272484352819579,0.0277755242586871,0.286026721696297,0.35,400,123,646,646,257,389,224,46,100,46,12167,0,138,138,138,138,123,123,123,123,123,0,20,B_ref_y_tau
DASCMOP2_BC,1,ref_y_tau,70000,70048,318,129,1,0.43,129,0,0.00148001182433115,0.00581247557084182,129,20,5,0.0066635673330234,24.8062015503876,0.743809647251435,0.996667705812302,0,7,13,20,7,0.155038759689922,0.0238861395960281,0.042805083805607,0,0.0442116012050535,NaN,0.8,0.137071773067035,0.186046511627907,0.0252509562822502,0.0453472955085159,0.0437595286704486,0.0463784895465688,0.35,400,129,658,658,269,389,230,48,100,48,11265,0,144,144,144,144,129,129,129,129,129,0,20,B_ref_y_tau
DASCMOP2_BC,1,ref_y_tau,100000,100188,455,141,1,0.47,141,0,0.00177368887114587,0.00701325673717437,141,20,5,0.00728343406167674,22.6950354609929,0.714336845455787,1.00067046673158,0,4,16,20,11,0.141843971631206,0.0677229369021376,0.0898298705715366,0,0.0915549160445549,NaN,0.45,-0.000306226996282966,0.404255319148936,0.0716970506295411,0.0917009327421995,0.0735366119170452,0.0920834365571135,0.55,400,143,686,686,279,407,243,49,100,49,12311,0,147,147,147,147,141,141,141,141,141,0,20,B_ref_y_tau
