problem,run,target_FE,actual_FE,gen,figure_file
LIRCMOP9_BC,1,10000,10201,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/C_ref_y/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE010000.png
LIRCMOP9_BC,1,10000,10201,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/C_ref_y/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE010000_visual_z_diagnostic.png
LIRCMOP9_BC,1,30000,30157,138,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/C_ref_y/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE030000.png
LIRCMOP9_BC,1,30000,30157,138,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/C_ref_y/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE030000_visual_z_diagnostic.png
LIRCMOP9_BC,1,50000,50177,229,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/C_ref_y/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE050000.png
LIRCMOP9_BC,1,50000,50177,229,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/C_ref_y/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE050000_visual_z_diagnostic.png
LIRCMOP9_BC,1,70000,70197,320,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/C_ref_y/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE070000.png
LIRCMOP9_BC,1,70000,70197,320,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/C_ref_y/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE070000_visual_z_diagnostic.png
LIRCMOP9_BC,1,100000,100117,456,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/C_ref_y/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE100000.png
LIRCMOP9_BC,1,100000,100117,456,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/query_condition_BC_runs1_visual_z_20260623_102646/C_ref_y/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE100000_visual_z_diagnostic.png
