problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,1,ref_y,10000,10218,46,33,1,0.11,33,0,0.00303138350351766,0.0088502776256112,33,20,4,0.0017159794082471,96.969696969697,0.744858028169005,1.38550386205519,0,0,20,20,0,0.606060606060606,0.131328551966856,0.132703336960384,0,0.132954648716343,NaN,0.55,0.0370887482840517,0,0.131362123531653,0.13295472240467,NaN,0.13295472240467,0,400,36,472,472,168,304,75,12,100,12,6757,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,30000,30184,137,75,1,0.25,75,0,0.00848501336658461,0.0212675213420453,75,20,4,0.00389995320056159,42.6666666666667,0.51930649464105,0.802759156972769,0,20,0,20,1,0.266666666666667,0.0330276867502807,0.101939068520009,0,0.10204453596481,NaN,0.6,0.0345960106606757,0.08,0.0388073921087874,0.102068148666037,0.102068148666037,NaN,0.05,400,63,526,526,203,323,101,25,100,25,4517,0,75,75,75,75,75,75,75,75,75,0,20
DASCMOP1_BC,1,ref_y,50000,50204,228,87,1,0.29,87,0,0.00164921745653194,0.00522723012700315,87,20,4,0.00452394571265145,36.7816091954023,0.63726229688754,1.08693655945895,0,20,0,20,4,0.229885057471264,0.0215914942768331,0.048730380574985,0,0.048730380574985,NaN,0.45,-0.0402415376710961,0.0689655172413793,0.0245652037476255,0.0524016070239349,0.0524016070239349,NaN,0.2,400,84,568,568,213,355,184,29,100,29,8931,0,87,87,87,87,87,87,87,87,87,0,20
DASCMOP1_BC,1,ref_y,70000,70004,318,70,1,0.24,70,0,0.000776290978184617,0.00423134045229077,70,20,4,0.00363995632052415,45.7142857142857,0.489839767238169,0.82123060050855,0,20,0,20,0,0.285714285714286,0.0145749595324511,0.0288510366676142,0,0.0321794225512776,NaN,0.45,-0.0224547608706651,0,0.0180355102508762,0.0329548546442758,0.0329548546442758,NaN,0,400,81,562,562,213,349,181,27,100,27,9059,0,81,81,81,81,70,70,70,70,70,0,20
DASCMOP1_BC,1,ref_y,100000,100144,455,74,1,0.25,74,0,0.000609388304658663,0.00263542409067045,74,20,4,0.00384795382455411,43.2432432432432,0.50492092754682,0.873828295496242,0,20,0,20,7,0.27027027027027,0.0653467165319549,0.111047944279776,0,0.111047944279776,NaN,0.6,0.109298954589088,0.08,0.0655054463979956,0.111785186217174,0.111785186217174,NaN,0.35,400,72,544,544,199,345,172,32,100,32,8089,0,96,96,96,96,74,74,74,74,74,0,20
DASCMOP2_BC,1,ref_y,10000,10211,46,42,1,0.14,42,0,0.00127459675905599,0.00288952702746977,42,20,4,0.00218397379231449,76.1904761904762,0.689875779837625,0.893996424003149,0,0,20,20,0,0.476190476190476,0.127606957677505,0.154335363674814,0,0.154649721127099,NaN,0.95,0.11153249580728,0,0.131116885566314,0.154913237719618,NaN,0.154913237719618,0,400,42,484,484,184,300,64,15,100,15,5728,0,45,45,45,45,42,42,42,42,42,0,20
DASCMOP2_BC,1,ref_y,30000,30011,136,108,1,0.36,108,0,0.0102260690550462,0.0433153275537927,108,20,4,0.00561593260880869,29.6296296296296,0.728887425423338,0.979839689778848,0,9,11,20,0,0.185185185185185,0.0394209573890824,0.043248498478965,0,0.0562548873234767,NaN,0.6,0.0463847806887676,0,0.0429003534936684,0.0622666739689478,0.0640765417921204,0.053837588689497,0,400,102,604,604,242,362,202,36,100,36,11634,0,108,108,108,108,108,108,108,108,108,0,20
DASCMOP2_BC,1,ref_y,50000,50031,227,135,1,0.45,135,0,0.00249395226332155,0.0076891783078221,135,20,4,0.00701991576101087,23.7037037037037,0.751105262721977,1.07072769936153,0,5,15,20,0,0.148148148148148,0.0218760148880977,0.0329712685823459,0,0.0383298502177875,NaN,0.8,0.0853565278790988,0,0.022691293087958,0.0421591572998609,0.0473918340444925,0.0374325738642548,0,400,129,658,658,270,388,229,46,100,46,12143,0,138,138,138,138,135,135,135,135,135,0,20
DASCMOP2_BC,1,ref_y,70000,70051,318,144,1,0.48,144,0,0.00169557896820584,0.0070471479032247,144,20,4,0.00748791014507826,22.2222222222222,0.774460627477682,1.07072769936153,0,3,17,20,9,0.138888888888889,0.0416984452801665,0.0668800654863458,0,0.0774206879417272,NaN,0.65,0.0846644073374028,0.333333333333333,0.0441512227651509,0.0782210095523,0.0484930322573351,0.0809539471896319,0.45,400,138,676,676,284,392,239,49,100,49,11783,0,147,147,147,147,144,144,144,144,144,0,20
DASCMOP2_BC,1,ref_y,100000,100191,455,141,1,0.47,141,0,0.00160021780862031,0.00637922379562096,141,20,4,0.0073319120170558,22.6950354609929,0.790969766115694,1.10642461649926,0,3,17,20,10,0.141843971631206,0.0192931303554251,0.0453804803222178,0,0.0464853637965777,NaN,0.75,0.0268879217246363,0.319148936170213,0.0209738928955032,0.0469579126945994,0.0223283139956507,0.046968170873718,0.5,400,144,688,688,281,407,245,50,100,50,12093,0,150,150,150,150,141,141,141,141,141,0,20
