problem,run,condition_mode,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP2_BC,3,ref_tau,1,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,0,400,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP2_BC,3,ref_tau,2,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,0,400,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP2_BC,3,ref_tau,3,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,0,400,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP2_BC,3,ref_tau,4,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,9,391,3,3,31,1,1,1,0,0,0,0,0,0,0,0,0,0,0
DASCMOP2_BC,3,ref_tau,5,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,29,371,2,2,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP2_BC,3,ref_tau,6,3,1,0.02,3,0,0.0987523363932032,0.0987523363932032,3,6,3,0.000157043396325185,100,0.564857586877301,0.582429194872986,0,4,2,6,3,2,0.0184268980298338,0.0220581257217002,0,0.0220581257217002,16.5823106757053,0.666666666666667,0.0199756288779391,1,0.0199696491751092,0.0224240662886968,0.022455288280427,0.0221430683631249,0.5,400,0,400,400,93,307,4,3,40,3,568,565,3,3,3,3,3,3,3,3,3,0,6
DASCMOP2_BC,3,ref_tau,7,13,1,0.05,13,0,0.0685039530680805,0.137694211123825,13,20,3,0.0006805213840758,100,0.660942216371863,1.20446343883053,0,20,0,20,0,1.53846153846154,0.0228879251300622,0.0315208764228283,0,0.0342881486993668,NaN,1,0.401939637127048,0,0.0238294494350608,0.0368447147797694,0.0368447147797694,NaN,0,400,3,406,406,210,196,14,5,50,5,254,0,13,13,13,13,13,13,13,13,13,0,20
DASCMOP2_BC,3,ref_tau,8,15,1,0.06,15,0,0.0274254016560193,0.0598929233789117,15,20,3,0.000785216981625923,100,0.848729373228623,1.20446343883053,0,14,6,20,12,1.33333333333333,0.0195950368389129,0.0384414527585824,0,0.0404498793427377,NaN,0.9,0.109235353835126,0.833333333333333,0.0289542032090304,0.0434463167276273,0.0438616762735643,0.0324453267273644,0.6,400,13,426,426,249,177,22,7,64,7,1221,0,21,21,21,21,15,15,15,15,15,0,20
DASCMOP2_BC,3,ref_tau,9,24,1,0.08,24,0,0.00855384563110025,0.0171258392995345,24,20,3,0.00125634717060148,100,0.817602079099385,1.14469508960784,0,12,8,20,0,0.833333333333333,0.167532427305361,0.190005011574038,0,0.192596582953844,NaN,0.25,-0.0224546444603095,0,0.173201620475783,0.194287061531981,0.197550199974359,0.182632340302608,0,400,15,430,430,221,209,27,9,72,9,1564,0,27,27,27,27,24,24,24,24,24,0,20
DASCMOP2_BC,3,ref_tau,10,34,1,0.12,34,0,0.0139838383129406,0.0277901732882918,34,20,3,0.00177982515835209,94.1176470588235,0.884993407782866,1.14469508960784,0,14,6,20,0,0.588235294117647,0.185132103497248,0.201003449780697,0,0.203885420151741,NaN,0.7,0.0746705158753975,0,0.190703028217727,0.205346826970028,0.206820125173318,0.204810531922522,0,400,24,448,448,186,262,51,13,67,13,3954,0,39,39,39,39,34,34,34,34,34,0,20
