problem,run,condition_mode,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP2_BC,2,ref_y_tau,1,0,0,NaN,0,0,NaN,NaN,0,0,5,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,0,400,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP2_BC,2,ref_y_tau,2,0,0,NaN,0,0,NaN,NaN,0,0,5,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,1,399,1,1,34,1,296,296,0,0,0,0,0,0,0,0,0,0,0
DASCMOP2_BC,2,ref_y_tau,3,0,0,NaN,0,0,NaN,NaN,0,0,5,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,2,398,2,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP2_BC,2,ref_y_tau,4,0,0,NaN,0,0,NaN,NaN,0,0,5,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,8,392,1,1,26,1,336,336,0,0,0,0,0,0,0,0,0,0,0
DASCMOP2_BC,2,ref_y_tau,5,0,0,NaN,0,0,NaN,NaN,0,0,5,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,26,374,2,1,38,1,490,490,0,0,0,0,0,0,0,0,0,0,0
DASCMOP2_BC,2,ref_y_tau,6,0,0,NaN,0,0,NaN,NaN,0,0,5,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,67,333,6,3,43,3,774,773,1,1,1,1,1,1,0,0,0,0,0
DASCMOP2_BC,2,ref_y_tau,7,3,1,0.01,3,0,0.0517750638358567,0.0879009298723475,3,2,5,0.000154966682163335,100,0.699492502579486,1.03932753511404,0,0,2,2,0,0.666666666666667,0.132463305818072,0.133972497019607,0,0.133972497019607,NaN,0,-0.0876010373982296,0,0.132463305818072,0.133972497019607,NaN,0.133972497019607,0,400,0,400,400,165,235,4,3,44,2,212,20,3,3,3,3,3,3,3,3,3,0,2
DASCMOP2_BC,2,ref_y_tau,8,7,1,0.03,7,0,0.026205771997374,0.0319934102669198,7,18,5,0.000361588925047781,100,0.677406559990808,1.07863956513879,0,12,6,18,0,2.57142857142857,0.14221172195192,0.159092596744109,0,0.15915529735998,NaN,1,0.0603007364713077,0,0.142288829446839,0.15945286769515,0.162282920803971,0.150556044201374,0,400,3,406,406,208,198,10,3,65,3,940,0,9,9,9,9,7,7,7,7,7,0,18
DASCMOP2_BC,2,ref_y_tau,9,12,1,0.04,12,0,0.0268806466219064,0.0318626161616742,12,20,5,0.00061986672865334,100,0.833102760800423,1.07249177657584,0,10,10,20,0,1.66666666666667,0.15464540360919,0.161287734521973,0,0.161514577189297,NaN,0.85,0.0971146368598328,0,0.155115807196382,0.161671946977413,0.164222799280372,0.158187554681764,0,400,7,414,414,242,172,6,4,64,4,390,0,12,12,12,12,12,12,12,12,12,0,20
DASCMOP2_BC,2,ref_y_tau,10,21,1,0.07,21,0,0.0224554067790096,0.0382029186693031,21,20,5,0.00108476677514334,100,0.681072322906618,0.883295176863087,0,10,10,20,0,0.952380952380952,0.164850763310347,0.168238977645215,0,0.169733374313915,NaN,0.95,0.0271351154309116,0,0.165652339526258,0.169754616017159,0.167620498557286,0.170058974222955,0,400,12,424,424,194,230,23,7,70,7,1873,0,21,21,21,21,21,21,21,21,21,0,20
DASCMOP2_BC,2,ref_y_tau,11,24,1,0.08,24,0,0.01788427060262,0.0308293702995814,24,20,5,0.00123973345730668,100,0.669404027599682,0.883295176863087,0,8,12,20,20,0.833333333333333,0.0118688422667061,0.0131068286751025,0,0.0194991418943441,NaN,0.9,0.0954831506667801,1,0.0169088375704074,0.0202336617933171,0.0209239402569661,0.0197711327892009,1,400,21,442,442,172,270,31,8,62,8,3226,0,24,24,24,24,24,24,24,24,24,0,20
DASCMOP2_BC,2,ref_y_tau,12,24,1,0.08,24,0,0.0102170224678031,0.0128569617527058,24,20,5,0.00123973345730668,100,0.574601653459685,0.883295176863087,0,8,12,20,0,0.833333333333333,0.0408549248995687,0.0493232084849019,0,0.0496585462559278,NaN,1,0.103276483712168,0,0.0414653803809679,0.0499088750122142,0.0507918108728916,0.0488155972745144,0,400,24,448,448,171,277,35,8,71,8,3432,0,24,24,24,24,24,24,24,24,24,0,20
DASCMOP2_BC,2,ref_y_tau,13,24,1,0.08,24,0,0.0155233704249399,0.0186351777836899,24,20,5,0.00123973345730668,100,0.58278775285396,0.883295176863087,0,7,13,20,0,0.833333333333333,0.253237423432553,0.265149231398759,0,0.265217701898865,NaN,0.85,0.0864300616229886,0,0.253464776273408,0.265598048664936,0.26589259373649,0.265147994312872,0,400,24,448,448,172,276,34,9,75,9,3319,0,27,27,27,27,24,24,24,24,24,0,20
DASCMOP2_BC,2,ref_y_tau,14,28,1,0.1,28,0,0.0156841157233786,0.020179775324407,28,20,5,0.00144635570019113,100,0.671591943359735,0.859692042708251,0,9,11,20,0,0.714285714285714,0.237592343549573,0.252006935145986,0,0.252006935145986,NaN,0.75,0.0214297345237761,0,0.239639868595749,0.252043491274475,0.244943788792656,0.252668347515448,0,400,24,448,448,164,284,42,10,88,10,4181,0,30,30,30,30,28,28,28,28,28,0,20
DASCMOP2_BC,2,ref_y_tau,15,29,1,0.1,29,0,0.014346189119648,0.0204094812920756,29,20,5,0.00149801126091224,100,0.565704268385591,0.912016100299387,0,8,12,20,0,0.689655172413793,0.54849476879532,0.56812587649353,0,0.568647534627204,NaN,0.4,-0.000409890744957009,0,0.55032251685632,0.568647534627204,0.579869117321476,0.568620097725575,0,400,28,456,456,176,280,41,10,78,10,4100,0,30,30,30,30,29,29,29,29,29,0,20
DASCMOP2_BC,2,ref_y_tau,16,36,1,0.12,36,0,0.0142781372578749,0.0186886873341249,36,20,5,0.00185960018596002,88.8888888888889,0.557955557789375,0.883295176863087,0,6,14,20,18,0.555555555555556,0.0762588910161843,0.0789394891954092,0,0.0802363730776368,NaN,0.8,0.0313326270208537,0.916666666666667,0.0776409631577402,0.0802363730776368,0.0835992836762667,0.0802146774394892,0.9,400,29,458,458,176,282,50,12,86,12,4685,0,36,36,36,36,36,36,36,36,36,0,20
DASCMOP2_BC,2,ref_y_tau,17,39,1,0.13,39,0,0.0127813088011199,0.0184588426024093,39,20,5,0.00201456686812335,82.0512820512821,0.55020684719316,0.883295176863087,0,5,15,20,0,0.512820512820513,0.425286064039582,0.44035312304485,0,0.442237527571785,NaN,0.8,0.0359760736778041,0,0.427288242038574,0.442440570027475,0.48194759473831,0.437573470220813,0,400,36,472,472,173,299,59,13,98,13,5906,0,39,39,39,39,39,39,39,39,39,0,20
DASCMOP2_BC,2,ref_y_tau,18,39,1,0.13,39,0,0.0110197919597212,0.0252340653340084,39,20,5,0.00201456686812335,82.0512820512821,0.754578534720595,0.935799763077713,0,5,15,20,0,0.512820512820513,0.111206962497417,0.12003989049967,0,0.122880848144641,NaN,0.7,0.0573670970190815,0,0.11382735240469,0.122957669265282,0.119463100050899,0.123366104887043,0,400,39,478,478,193,285,59,13,95,13,4933,0,39,39,39,39,39,39,39,39,39,0,20
DASCMOP2_BC,2,ref_y_tau,19,42,1,0.14,42,0,0.00755142366959654,0.0162362400200418,42,20,5,0.00216953355028669,76.1904761904762,0.765099509105784,0.935799763077713,0,3,17,20,0,0.476190476190476,0.254401465920446,0.268359596268738,0,0.271140890890905,NaN,0.9,0.0805820617817444,0,0.256854714394829,0.271361577341143,0.270581639229427,0.271634991522607,0,400,39,478,478,181,297,55,15,94,15,4726,0,45,45,45,45,42,42,42,42,42,0,20
