problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,1,ref_y_tau,10000,10002,45,30,1,0.1,30,0,0.00161656149452902,0.00349785514998604,30,20,5,0.00154966682163335,100,0.858176538783199,1.27736876566998,0,0,20,20,6,0.666666666666667,0.0506100410803174,0.0576575312583013,0,0.0617904078034679,NaN,0.65,0.0688393059679842,0.6,0.0550573507927269,0.0618682082506728,NaN,0.0618682082506728,0.3,400,33,466,466,160,306,62,14,100,14,5718,0,42,42,42,42,30,30,30,30,30,0,20
DASCMOP1_BC,1,ref_y_tau,30000,30217,137,57,1,0.19,57,0,0.00768203701758388,0.0144524880525523,57,20,5,0.00294436696110336,56.140350877193,0.474304408335693,0.767080210134265,0,20,0,20,1,0.350877192982456,0.129909287904547,0.196052734997514,0,0.196052734997514,NaN,0.3,-0.0324980633328248,0.105263157894737,0.132575323962809,0.19875608876825,0.19875608876825,NaN,0.05,400,66,532,532,191,341,92,20,100,20,4102,0,60,60,60,60,57,57,57,57,57,0,20
DASCMOP1_BC,1,ref_y_tau,50000,50017,227,81,1,0.27,81,0,0.00185119142482641,0.00517405015392744,81,20,5,0.00418410041841004,39.5061728395062,0.449433572472564,0.717316379475851,0,20,0,20,0,0.246913580246914,0.0034624204150668,0.0112544742934634,0,0.0112544742934634,NaN,1,0.0314330659236154,0,0.00825469234105824,0.0115987738454412,0.0115987738454412,NaN,0,400,87,574,574,216,358,188,29,100,29,9644,0,87,87,87,87,81,81,81,81,81,0,20
DASCMOP1_BC,1,ref_y_tau,70000,70037,318,87,1,0.29,87,0,0.00194252603431514,0.00711985653612371,87,20,5,0.00449403378273671,36.7816091954023,0.39615557458678,0.735586163292142,0,20,0,20,0,0.229885057471264,0.0114954677320504,0.018601426127786,0,0.018601426127786,NaN,0.6,0.00608451343488287,0,0.0170728238205714,0.0232406609626399,0.0232406609626399,NaN,0,400,84,568,568,226,342,184,29,100,29,9261,0,87,87,87,87,87,87,87,87,87,0,20
DASCMOP1_BC,1,ref_y_tau,100000,100177,455,87,1,0.29,87,0,0.00108307172430136,0.00497543867237414,87,20,5,0.00449403378273671,36.7816091954023,0.504782867757291,0.747816245279309,0,20,0,20,9,0.229885057471264,0.0269820948190856,0.042321321752404,0,0.042321321752404,NaN,0.4,-0.0418525681011039,0.0689655172413793,0.031058781349952,0.0462501320013564,0.0462501320013564,NaN,0.45,400,78,556,556,216,340,178,31,100,31,8531,0,93,93,93,93,87,87,87,87,87,0,20
DASCMOP1_BC,2,ref_y_tau,10000,10002,45,39,1,0.13,39,0,0.00358822043429887,0.0120198542314896,39,20,5,0.00201456686812335,82.0512820512821,0.924671735380247,1.36189825416412,0,2,18,20,0,0.512820512820513,0.464576849373905,0.592059650526951,0,0.593808722577134,NaN,0.8,0.0432670011458894,0,0.4657233147237,0.594019289628647,0.585107322436679,0.595022069091631,0,400,39,478,478,167,311,67,16,100,16,5755,0,48,48,48,48,39,39,39,39,39,0,20
DASCMOP1_BC,2,ref_y_tau,30000,30175,137,70,1,0.24,70,0,0.00480164696348967,0.0133579441551659,70,20,5,0.00361588925047781,45.7142857142857,0.667257847533927,0.830015668049195,0,20,0,20,1,0.285714285714286,0.202800945222532,0.340061121428798,0,0.340061121428798,NaN,0.15,-0.0890946251048196,0.0833333333333333,0.205150030771868,0.341977056448602,0.341977056448602,NaN,0.05,400,75,550,550,213,337,115,24,100,24,5237,3,72,72,72,72,70,70,70,70,70,0,20
DASCMOP1_BC,2,ref_y_tau,50000,50195,228,76,1,0.26,76,0,0.00190357743457388,0.00718043547225405,76,20,5,0.00392582261480448,42.1052631578947,0.581592667421536,0.77767043249852,0,20,0,20,1,0.263157894736842,0.0224821193482401,0.0417804256926741,0,0.0417804256926741,NaN,0.95,0.0650996752936597,0.0769230769230769,0.0251893866114372,0.0463251558119004,0.0463251558119004,NaN,0.05,400,87,574,574,210,364,184,29,100,29,10224,0,87,87,87,87,76,76,76,76,76,0,20
DASCMOP1_BC,2,ref_y_tau,70000,70215,319,78,1,0.26,78,0,0.000998498129137066,0.003388265584802,78,20,5,0.00402913373624671,41.025641025641,0.571597331049327,0.752170947352818,0,20,0,20,3,0.256410256410256,0.0780034903065427,0.139353439224145,0,0.139353439224145,NaN,1,0.0235298122697147,0.153846153846154,0.0823492931986442,0.140080930870772,0.140080930870772,NaN,0.15,400,75,550,550,212,338,176,30,100,30,7933,0,90,90,90,90,78,78,78,78,78,0,20
DASCMOP1_BC,2,ref_y_tau,100000,100135,455,81,1,0.27,81,0,0.00104370712558479,0.00380015914900103,81,20,5,0.00418410041841004,39.5061728395062,0.528803891775493,0.670669089617681,0,20,0,20,2,0.246913580246914,0.0938307667254795,0.168461277778593,0,0.168461277778593,NaN,0.95,0.0368216981360144,0.148148148148148,0.0974172552398136,0.169475015727234,0.169475015727234,NaN,0.1,400,87,574,574,219,355,188,29,100,29,9330,0,87,87,87,87,81,81,81,81,81,0,20
DASCMOP1_BC,3,ref_y_tau,10000,10014,45,36,1,0.12,36,0,0.00453361368140048,0.00921301785830695,36,20,5,0.00185960018596002,88.8888888888889,0.981553313505352,1.23680019645773,0,0,20,20,0,0.555555555555556,0.0942858335422438,0.102933286984609,0,0.105695677552719,NaN,0.85,0.136791575860165,0,0.0975998724390059,0.106027964405078,NaN,0.106027964405078,0,400,36,472,472,171,301,68,14,96,14,6097,0,42,42,42,42,36,36,36,36,36,0,20
DASCMOP1_BC,3,ref_y_tau,30000,30034,136,68,1,0.23,68,0,0.00320110910099943,0.00647561164784724,68,20,5,0.00351257812903559,47.0588235294118,0.583192734306717,0.837613826112484,0,20,0,20,12,0.294117647058824,0.0247726155834863,0.0626290539579436,0,0.101723138780061,NaN,0.1,-0.376756492632854,0.173913043478261,0.0688173069201743,0.10901062540886,0.10901062540886,NaN,0.6,400,70,540,540,222,318,125,26,100,26,5945,0,78,78,78,78,68,68,68,68,68,0,20
DASCMOP1_BC,3,ref_y_tau,50000,50054,227,78,1,0.26,78,0,0.00211788917837144,0.00598840038869904,78,20,5,0.00402913373624671,41.025641025641,0.528218741741991,0.724500925422581,0,20,0,20,5,0.256410256410256,0.0965333725775885,0.129873157145689,0,0.129873157145689,NaN,0.85,0.0746714788145764,0.153846153846154,0.100720254192704,0.133197653857713,0.133197653857713,NaN,0.25,400,78,556,556,221,335,178,26,100,26,9587,0,78,78,78,78,78,78,78,78,78,0,20
DASCMOP1_BC,3,ref_y_tau,70000,70074,318,81,1,0.27,81,0,0.00140442111319033,0.00415888948795901,81,20,5,0.00418410041841004,39.5061728395062,0.457177172503075,0.731524321213169,0,20,0,20,5,0.246913580246914,0.00772451686178595,0.0287350755234707,0,0.0287350755234707,NaN,0.1,-0.000795642451209444,0.148148148148148,0.0180949209431495,0.0339801393100916,0.0339801393100916,NaN,0.25,400,84,568,568,225,343,185,29,100,29,9564,0,87,87,87,87,81,81,81,81,81,0,20
DASCMOP1_BC,3,ref_y_tau,100000,100214,455,81,1,0.27,81,0,0.000620395798174164,0.00189659135837661,81,20,5,0.00418410041841004,39.5061728395062,0.509282575739847,0.748386262028485,0,20,0,20,5,0.246913580246914,0.0360289095459382,0.0729025446965981,0,0.0729025446965981,NaN,0.65,0.0409474976969957,0.0740740740740741,0.0362858260867197,0.0729105870145412,0.0729105870145412,NaN,0.25,400,71,542,542,210,332,171,32,100,32,7624,0,96,96,96,96,81,81,81,81,81,0,20
DASCMOP2_BC,1,ref_y_tau,10000,10208,46,36,1,0.12,36,0,0.00359292363990622,0.00816848982929371,36,20,5,0.00185960018596002,88.8888888888889,0.599951435427141,0.917101803467803,0,1,19,20,0,0.555555555555556,0.182799900559725,0.190648258121372,0,0.195176202542262,NaN,0.55,0.00682743960960019,0,0.186007448628319,0.195176202542262,0.172959660010206,0.195280388410153,0,400,33,466,466,179,287,64,15,100,15,4835,0,45,45,45,45,36,36,36,36,36,0,20
DASCMOP2_BC,1,ref_y_tau,30000,30008,136,87,1,0.29,87,0,0.00658594246924834,0.0218641431623798,87,20,5,0.00449403378273671,36.7816091954023,0.634090182290256,1.03290944454699,0,16,4,20,15,0.229885057471264,0.0161861829251575,0.0425263630469169,0,0.0425441296605667,NaN,0.55,0.0107914684877895,0.344827586206897,0.0172418133883856,0.0439060670325169,0.0476931084403118,0.0390853431278323,0.75,400,90,580,580,241,339,193,30,100,30,11094,0,90,90,90,90,87,87,87,87,87,0,20
DASCMOP2_BC,1,ref_y_tau,50000,50028,227,123,1,0.41,123,0,0.00296355745717301,0.00855484717216947,123,20,5,0.00635363396869673,26.0162601626016,0.770460205656843,0.982796956875506,0,5,15,20,7,0.16260162601626,0.0874294456512767,0.263992794170767,0,0.272338123887808,NaN,0.6,0.0278513939967548,0.121951219512195,0.0898082604455248,0.272484352819579,0.0277755242586871,0.286026721696297,0.35,400,123,646,646,257,389,224,46,100,46,12167,0,138,138,138,138,123,123,123,123,123,0,20
DASCMOP2_BC,1,ref_y_tau,70000,70048,318,129,1,0.43,129,0,0.00148001182433115,0.00581247557084182,129,20,5,0.0066635673330234,24.8062015503876,0.743809647251435,0.996667705812302,0,7,13,20,7,0.155038759689922,0.0238861395960281,0.042805083805607,0,0.0442116012050535,NaN,0.8,0.137071773067035,0.186046511627907,0.0252509562822502,0.0453472955085159,0.0437595286704486,0.0463784895465688,0.35,400,129,658,658,269,389,230,48,100,48,11265,0,144,144,144,144,129,129,129,129,129,0,20
DASCMOP2_BC,1,ref_y_tau,100000,100188,455,141,1,0.47,141,0,0.00177368887114587,0.00701325673717437,141,20,5,0.00728343406167674,22.6950354609929,0.714336845455787,1.00067046673158,0,4,16,20,11,0.141843971631206,0.0677229369021376,0.0898298705715366,0,0.0915549160445549,NaN,0.45,-0.000306226996282966,0.404255319148936,0.0716970506295411,0.0917009327421995,0.0735366119170452,0.0920834365571135,0.55,400,143,686,686,279,407,243,49,100,49,12311,0,147,147,147,147,141,141,141,141,141,0,20
DASCMOP2_BC,2,ref_y_tau,10000,10180,46,39,1,0.13,39,0,0.0044480728398549,0.0194691964434392,39,20,5,0.00201456686812335,82.0512820512821,0.812030603920516,1.05033928574297,0,1,19,20,0,0.512820512820513,0.423914484640485,0.428363135844596,0,0.428804930738754,NaN,0.8,0.141361026457108,0,0.424805130655147,0.429058329983359,0.425759534144945,0.429061833010537,0,400,39,478,478,182,296,66,15,100,15,5179,0,45,45,45,45,39,39,39,39,39,0,20
DASCMOP2_BC,2,ref_y_tau,30000,30200,137,73,1,0.25,73,0,0.00365689116547508,0.0344152590562291,73,20,5,0.00377085593264115,43.8356164383562,0.71732457754547,0.946663783141955,0,14,6,20,7,0.273972602739726,0.048795181081755,0.0753475237811723,0,0.0794181148988237,NaN,0.65,0.0368314805493427,0.24,0.0534002412492442,0.0838403489927462,0.0860283416858441,0.0807520725132706,0.35,400,75,550,550,221,329,171,29,100,29,10218,3,87,87,87,87,73,73,73,73,73,0,20
DASCMOP2_BC,2,ref_y_tau,50000,50000,227,120,1,0.4,120,0,0.00294453323940062,0.0128648509910586,120,20,5,0.0061986672865334,26.6666666666667,0.702741093173374,1.14521195036333,0,5,15,20,6,0.166666666666667,0.0140962767452519,0.110257883777579,0,0.110858291880051,NaN,0.75,0.0925644823533401,0.3,0.023342864609415,0.110945381053809,0.0272978682780176,0.111501936434506,0.3,400,114,628,628,266,362,216,47,100,47,10829,0,141,141,141,141,120,120,120,120,120,0,20
DASCMOP2_BC,2,ref_y_tau,70000,70020,318,126,1,0.42,126,0,0.0020699265761126,0.0101012339406418,126,20,5,0.00650860065086007,25.3968253968254,0.722853275024275,0.903542057083683,0,3,17,20,5,0.158730158730159,0.0332859896910869,0.104608746643348,0,0.105144465852624,NaN,0.45,-0.035904933231177,0.238095238095238,0.0363604768743486,0.105426633049012,0.0365249115102338,0.107251410335065,0.25,400,129,658,658,271,387,229,47,100,47,11806,0,141,141,141,141,126,126,126,126,126,0,20
DASCMOP2_BC,2,ref_y_tau,100000,100160,455,138,1,0.46,138,0,0.00143484590754298,0.00531542759560532,138,20,5,0.0071284673795134,23.1884057971014,0.747845277201817,0.957226167977657,0,5,15,20,7,0.144927536231884,0.0532091484517311,0.120888920465975,0,0.128506682808423,NaN,0.8,0.0556280649776204,0.217391304347826,0.0545863468694282,0.128841234419491,0.164971969447298,0.126496852528089,0.35,400,132,664,664,276,388,233,49,100,49,11180,0,147,147,147,147,138,138,138,138,138,0,20
DASCMOP2_BC,3,ref_y_tau,10000,10188,46,54,1,0.18,54,0,0.00434569537302955,0.0144549879454812,54,20,5,0.00278940027894003,59.2592592592593,0.694709341871796,1.00913474213536,0,5,15,20,0,0.37037037037037,0.0535988516193616,0.0588399212986549,0,0.0631489691570727,NaN,0.55,0.0046886102834991,0,0.0568784091885235,0.0632420928030238,0.0639088216998882,0.0628670103412301,0,400,48,496,496,190,306,84,19,100,19,4979,0,57,57,57,57,54,54,54,54,54,0,20
DASCMOP2_BC,3,ref_y_tau,30000,30208,137,120,1,0.4,120,0,0.00397006777999385,0.0157242542914659,120,20,5,0.0061986672865334,26.6666666666667,0.696937957757356,1.03086420240312,0,8,12,20,2,0.166666666666667,0.0651725628185461,0.0919186369406291,0,0.0983972976655142,NaN,0.6,0.0409249651676387,0.1,0.075826436125053,0.10224692153411,0.107494952277809,0.0951641309037473,0.1,400,105,610,610,250,360,195,42,100,42,10358,0,126,126,126,126,120,120,120,120,120,0,20
DASCMOP2_BC,3,ref_y_tau,50000,50008,227,141,1,0.47,141,0,0.00250152536239293,0.0087112402008824,141,20,5,0.00728343406167674,22.6950354609929,0.766239343752963,1.04636275126282,0,3,17,20,7,0.141843971631206,0.137602079069987,0.208802618444802,0,0.223193126674758,NaN,0.8,0.0318204622585,0.297872340425532,0.146719218342956,0.223705586403291,0.21532603941955,0.225015398676415,0.35,400,135,670,670,280,390,234,47,100,47,11638,0,141,141,141,141,141,141,141,141,141,0,20
DASCMOP2_BC,3,ref_y_tau,70000,70028,318,147,1,0.49,147,0,0.00233227527502749,0.00795446345118265,147,20,5,0.00759336742600341,21.7687074829932,0.527684435028811,0.937835911072807,0,1,19,20,3,0.136054421768707,0.0464592289546154,0.126521400378172,0,0.128337157736709,NaN,0.55,0.0224826919290466,0.122448979591837,0.0497512052437387,0.128488476050111,0.0266897920708696,0.128928646672159,0.15,400,144,688,688,286,402,246,49,100,49,12334,0,147,147,147,147,147,147,147,147,147,0,20
DASCMOP2_BC,3,ref_y_tau,100000,100168,455,135,1,0.45,135,0,0.00132508995691013,0.00623450793923964,135,20,5,0.00697350069735007,23.7037037037037,0.575993567658203,1.02576058374412,0,5,15,20,3,0.148148148148148,0.146719147112274,0.578824026902321,0,0.583728126779238,NaN,0.35,-0.00301082042731227,0.133333333333333,0.152803740728196,0.585957269915447,0.589690564345122,0.583270031296687,0.15,400,141,682,682,282,400,239,49,100,49,11908,0,147,147,147,147,135,135,135,135,135,0,20
DASCMOP4_BC,1,ref_y_tau,10000,10102,48,16,1,0.06,16,0,0.0016077195385065,0.00513295990474955,16,20,5,0.000826488971537786,100,0.100821957772524,0.106555038882149,0,20,0,20,0,1.25,1.55939752294055,2.03451972912481,0,2.03451972912481,NaN,0.6,0.00788786202102114,0,1.55979271081211,2.03587147216795,2.03587147216795,NaN,0,400,15,430,430,130,300,27,9,85,8,2201,0,24,24,24,24,16,16,16,16,16,0,20
