problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,1,ref_y,10000,10218,46,33,1,0.11,33,0,0.0018919077267293,0.00539950891913136,33,20,4,0.0017159794082471,96.969696969697,0.860971354586335,1.24517825796556,0,0,20,20,14,0.606060606060606,0.0466851409048521,0.0495417532676917,0,0.0501138492793288,NaN,0.75,0.0581082357973666,1,0.0471011209061409,0.0501395801649755,NaN,0.0501395801649755,0.7,400,33,466,466,172,294,68,12,100,12,5696,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,1,ref_y,30000,30163,137,66,1,0.22,66,0,0.00608937346070939,0.014540271478341,66,20,4,0.0034319588164942,48.4848484848485,0.493746859005262,0.771107567778156,0,20,0,20,6,0.303030303030303,0.0253228908478367,0.0607799521152903,0,0.0619574184233895,NaN,0.95,0.0628188677237336,0.181818181818182,0.0266066299092811,0.0633828998951822,0.0633828998951822,NaN,0.3,400,66,532,532,210,322,102,23,93,23,5291,1,69,69,69,69,66,66,66,66,66,0,20
DASCMOP1_BC,1,ref_y,50000,50183,228,84,1,0.28,84,0,0.00309994558317913,0.00941487329477325,84,20,4,0.00436794758462898,38.0952380952381,0.510240097883366,0.665263829404598,0,20,0,20,4,0.238095238095238,0.0276000776413698,0.0491032035914354,0,0.0491032035914354,NaN,0.2,-0.0326639149790786,0.0714285714285714,0.0323370003835988,0.0529655241059477,0.0529655241059477,NaN,0.2,400,78,556,556,226,330,178,28,100,28,9182,0,84,84,84,84,84,84,84,84,84,0,20
DASCMOP1_BC,1,ref_y,70000,70203,319,78,1,0.26,78,0,0.000950389212896286,0.00360476927920898,78,20,4,0.00405595132858406,41.025641025641,0.528373281088098,0.689697623192811,0,20,0,20,0,0.256410256410256,0.0104687930136483,0.0152392737303272,0,0.0152392737303272,NaN,1,0.0862784431564741,0,0.014588705587617,0.0207210862491774,0.0207210862491774,NaN,0,400,78,556,556,212,344,179,29,100,29,9353,0,87,87,87,87,78,78,78,78,78,0,20
DASCMOP1_BC,1,ref_y,100000,100123,455,91,1,0.31,91,0,0.00142805349786679,0.00583736383993518,91,20,4,0.0047319432166814,35.1648351648352,0.500479371112301,0.750638849605784,0,20,0,20,1,0.21978021978022,0.0929511481369313,0.148732269509657,0,0.148732269509657,NaN,0.7,0.0501961433949003,0.0645161290322581,0.0952491767126866,0.150976680685456,0.150976680685456,NaN,0.05,400,84,568,568,226,342,184,31,100,31,8697,0,93,93,93,93,91,91,91,91,91,0,20
DASCMOP1_BC,2,ref_y,10000,10000,45,51,1,0.17,51,0,0.00530681292072199,0.0146698731850721,51,20,4,0.00265196817638188,62.7450980392157,0.901006325654718,1.18340119901163,0,0,20,20,0,0.392156862745098,0.316211677687555,0.326747009726887,0,0.327806993900803,NaN,0.7,0.103481473831569,0,0.317885171080533,0.32818609491994,NaN,0.32818609491994,0,400,48,496,496,178,318,82,17,100,17,6018,0,51,51,51,51,51,51,51,51,51,0,20
DASCMOP1_BC,2,ref_y,30000,30020,136,78,1,0.26,78,0,0.00227985621980797,0.00494564357979793,78,20,4,0.00405595132858406,41.025641025641,0.479864513912109,0.727602171441144,0,20,0,20,3,0.256410256410256,0.0753375618223553,0.115990562659381,0,0.115990562659381,NaN,0.35,-0.0251637323521748,0.153846153846154,0.0773074575766085,0.117575257373114,0.117575257373114,NaN,0.15,400,78,556,556,225,331,162,26,94,26,8483,0,78,78,78,78,78,78,78,78,78,0,20
DASCMOP1_BC,2,ref_y,50000,50040,227,66,1,0.22,66,0,0.000835956782964234,0.00227088652998717,66,20,4,0.0034319588164942,48.4848484848485,0.46693513837429,0.600255802398004,0,20,0,20,7,0.303030303030303,0.0302907135186046,0.0637382971505458,0,0.0637382971505458,NaN,0.4,-0.00490204097896407,0.136363636363636,0.0306055955449136,0.0681136996446531,0.0681136996446531,NaN,0.35,400,75,550,550,204,346,175,28,100,28,9373,0,84,84,84,84,66,66,66,66,66,0,20
DASCMOP1_BC,2,ref_y,70000,70060,318,65,1,0.22,65,0,0.000607225807979276,0.00232599514152477,65,20,4,0.00337995944048671,49.2307692307692,0.35862996905106,0.600255802398004,0,20,0,20,0,0.307692307692308,0.00924212458922949,0.0367145291575556,0,0.0375860634858217,NaN,1,0.0155246080386763,0,0.017094104400487,0.0387819691665537,0.0387819691665537,NaN,0,400,69,538,538,218,320,169,29,100,29,7900,0,87,87,87,87,65,65,65,65,65,0,20
DASCMOP1_BC,2,ref_y,100000,100200,455,67,1,0.23,67,0,0.000410767264272402,0.0017825651329763,67,20,4,0.00348395819250169,47.7611940298507,0.408190830976323,0.55069960157769,0,20,0,20,3,0.298507462686567,0.013610503342617,0.0204146738440396,0,0.0204146738440396,NaN,0.55,0.019122483593169,0.0869565217391304,0.0167026167510983,0.0244954776389982,0.0244954776389982,NaN,0.15,400,64,528,528,202,326,163,31,100,31,7391,0,93,93,93,93,67,67,67,67,67,0,20
DASCMOP1_BC,3,ref_y,10000,10014,45,33,1,0.11,33,0,0.00325877659997473,0.0111786406323849,33,20,4,0.0017159794082471,96.969696969697,0.465769621130311,1.31937686478741,0,1,19,20,20,0.606060606060606,0.0335120585950321,0.0389285273874436,0,0.0422971340290948,NaN,0.9,0.301714732082653,1,0.0359934066637483,0.0430897875035083,0.0450087112894154,0.0411014319281854,1,400,36,472,472,165,307,67,12,100,12,5605,0,36,36,36,36,33,33,33,33,33,0,20
DASCMOP1_BC,3,ref_y,30000,30016,136,81,1,0.27,81,0,0.00249452025936488,0.00780319603373919,81,20,4,0.00421194945660652,39.5061728395062,0.507930583154025,0.782535350329919,0,20,0,20,2,0.246913580246914,0.0729035139298808,0.279755584645273,0,0.288025119302055,NaN,0.9,0.447452014875003,0.0740740740740741,0.0834680146932933,0.289829615879885,0.289829615879885,NaN,0.1,400,81,562,562,222,340,146,27,100,27,7650,0,81,81,81,81,81,81,81,81,81,0,20
