problem,run,target_FE,variant_to,variant_from,delta_query_obj_dist90,delta_boundary_dist90,delta_ref_cover,delta_feasible_rate,delta_missing_ref_query_obj_dist90,delta_large_gap_query_obj_dist90,delta_condition_dim
DASCMOP1_BC,1,10000,B_ref_y_tau,A_ref_tau,-0.156905222028116,-0.160349083927336,0.6,0.3,NaN,-0.157225488392073,2
DASCMOP1_BC,1,10000,C_ref_y,B_ref_y_tau,-0.0117286280856973,-0.0081157779906096,0.4,0.4,NaN,-0.0117286280856973,-1
DASCMOP1_BC,1,10000,C_ref_y,A_ref_tau,-0.168633850113814,-0.168464861917945,1,0.7,NaN,-0.168954116477771,1
DASCMOP1_BC,1,30000,B_ref_y_tau,A_ref_tau,0.065020048540272,0.063250230358347,0.025263157894737,-0.25,0.065020048540272,NaN,2
DASCMOP1_BC,1,30000,C_ref_y,B_ref_y_tau,-0.135373188873068,-0.135272782882224,0.076555023923445,0.25,-0.135373188873068,NaN,-1
DASCMOP1_BC,1,30000,C_ref_y,A_ref_tau,-0.0703531403327958,-0.0720225525238767,0.101818181818182,0,-0.0703531403327958,NaN,1
DASCMOP1_BC,1,50000,B_ref_y_tau,A_ref_tau,-0.0324698761759297,-0.027805748595449,0,0,-0.0324698761759297,NaN,2
DASCMOP1_BC,1,50000,C_ref_y,B_ref_y_tau,0.0413667502605065,0.037848729297972,0.0714285714285714,0.2,0.0413667502605065,NaN,-1
DASCMOP1_BC,1,50000,C_ref_y,A_ref_tau,0.0088968740845768,0.010042980702523,0.0714285714285714,0.2,0.0088968740845768,NaN,1
DASCMOP1_BC,1,70000,B_ref_y_tau,A_ref_tau,-0.152975816388128,-0.155953712945033,-0.137931034482759,-0.25,-0.152975816388128,NaN,2
DASCMOP1_BC,1,70000,C_ref_y,B_ref_y_tau,-0.0025195747134625,-0.0033621523974588,0,0,-0.0025195747134625,NaN,-1
DASCMOP1_BC,1,70000,C_ref_y,A_ref_tau,-0.155495391101591,-0.159315865342492,-0.137931034482759,-0.25,-0.155495391101591,NaN,1
DASCMOP1_BC,1,100000,B_ref_y_tau,A_ref_tau,0.0124710733912087,0.0145518197784546,0.0689655172413793,0.45,0.0124710733912087,NaN,2
DASCMOP1_BC,1,100000,C_ref_y,B_ref_y_tau,0.1047265486841,0.106410947757253,-0.00444938820912119,-0.4,0.1047265486841,NaN,-1
DASCMOP1_BC,1,100000,C_ref_y,A_ref_tau,0.117197622075308,0.120962767535708,0.0645161290322581,0.05,0.117197622075308,NaN,1
DASCMOP1_BC,2,10000,B_ref_y_tau,A_ref_tau,0.492787010562745,0.492124906980908,0,0,NaN,0.493789790025729,2
DASCMOP1_BC,2,10000,C_ref_y,B_ref_y_tau,-0.265833194708707,-0.265312640800064,0,0,NaN,-0.266835974171691,-1
DASCMOP1_BC,2,10000,C_ref_y,A_ref_tau,0.226953815854038,0.226812266180844,0,0,NaN,0.226953815854038,1
DASCMOP1_BC,2,30000,B_ref_y_tau,A_ref_tau,0.1457757671752,0.143864740430244,0.0033333333333333,-0.05,0.1457757671752,NaN,2
DASCMOP1_BC,2,30000,C_ref_y,B_ref_y_tau,-0.224401799075488,-0.224070558769417,0.0705128205128207,0.1,-0.224401799075488,NaN,-1
DASCMOP1_BC,2,30000,C_ref_y,A_ref_tau,-0.078626031900288,-0.080205818339173,0.073846153846154,0.05,-0.078626031900288,NaN,1
DASCMOP1_BC,2,50000,B_ref_y_tau,A_ref_tau,-0.0869217221419346,-0.0914309041232309,0.0028490028490028,-0.05,-0.0869217221419346,NaN,2
DASCMOP1_BC,2,50000,C_ref_y,B_ref_y_tau,0.0217885438327527,0.0219578714578717,0.0594405594405591,0.3,0.0217885438327527,NaN,-1
DASCMOP1_BC,2,50000,C_ref_y,A_ref_tau,-0.0651331783091819,-0.0694730326653592,0.0622895622895619,0.25,-0.0651331783091819,NaN,1
DASCMOP1_BC,2,70000,B_ref_y_tau,A_ref_tau,0.093730647003887,0.098519109071122,0.153846153846154,0.15,0.093730647003887,NaN,2
DASCMOP1_BC,2,70000,C_ref_y,B_ref_y_tau,-0.101298961704218,-0.102638910066589,-0.153846153846154,-0.15,-0.101298961704218,NaN,-1
DASCMOP1_BC,2,70000,C_ref_y,A_ref_tau,-0.0075683147003313,-0.0041198009954674,0,0,-0.0075683147003313,NaN,1
DASCMOP1_BC,2,100000,B_ref_y_tau,A_ref_tau,-0.013209744034188,-0.011963384211942,0.0791826309067687,0,-0.013209744034188,NaN,2
DASCMOP1_BC,2,100000,C_ref_y,B_ref_y_tau,-0.144979538088236,-0.148046603934553,-0.0611916264090176,0.05,-0.144979538088236,NaN,-1
DASCMOP1_BC,2,100000,C_ref_y,A_ref_tau,-0.158189282122424,-0.160009988146495,0.0179910044977511,0.05,-0.158189282122424,NaN,1
DASCMOP1_BC,3,10000,B_ref_y_tau,A_ref_tau,0.0665421208194135,0.0712350638237193,-1,-1,NaN,0.0665421208194135,2
DASCMOP1_BC,3,10000,C_ref_y,B_ref_y_tau,-0.0629381769015697,-0.0640047595971654,1,1,NaN,-0.0649265324768926,-1
DASCMOP1_BC,3,10000,C_ref_y,A_ref_tau,0.0036039439178438,0.0072303042265539,0,0,NaN,0.00161558834252089,1
DASCMOP1_BC,3,30000,B_ref_y_tau,A_ref_tau,-0.001812177508975,-0.0481544886178264,0.0998389694041869,0.5,-0.001812177508975,NaN,2
DASCMOP1_BC,3,30000,C_ref_y,B_ref_y_tau,0.180818990471025,0.217126530687329,-0.0998389694041869,-0.5,0.180818990471025,NaN,-1
DASCMOP1_BC,3,30000,C_ref_y,A_ref_tau,0.17900681296205,0.168972042069503,0,0,0.17900681296205,NaN,1
DASCMOP1_BC,3,50000,B_ref_y_tau,A_ref_tau,0.115296187143576,0.11593235903094,0.0848806366047747,0.2,0.115296187143576,NaN,2
DASCMOP1_BC,3,50000,C_ref_y,B_ref_y_tau,-0.107667814501719,-0.113479063026692,-0.153846153846154,-0.25,-0.107667814501719,NaN,-1
DASCMOP1_BC,3,50000,C_ref_y,A_ref_tau,0.0076283726418566,0.0024532960042487,-0.0689655172413793,-0.05,0.0076283726418566,NaN,1
DASCMOP1_BC,3,70000,B_ref_y_tau,A_ref_tau,-0.0762962841361494,-0.0815244422326813,0.0767195767195766,0.15,-0.0762962841361494,NaN,2
DASCMOP1_BC,3,70000,C_ref_y,B_ref_y_tau,0.10290433135469,0.107402886993183,-0.048148148148148,0,0.10290433135469,NaN,-1
DASCMOP1_BC,3,70000,C_ref_y,A_ref_tau,0.026608047218541,0.025878444760502,0.0285714285714286,0.15,0.026608047218541,NaN,1
DASCMOP1_BC,3,100000,B_ref_y_tau,A_ref_tau,-0.0617184221547528,-0.0617102254926549,-0.0059259259259259,0.2,-0.0617184221547528,NaN,2
DASCMOP1_BC,3,100000,C_ref_y,B_ref_y_tau,0.167688180574037,0.164692681867219,0,0,0.167688180574037,NaN,-1
DASCMOP1_BC,3,100000,C_ref_y,A_ref_tau,0.105969758419284,0.102982456374564,-0.0059259259259259,0.2,0.105969758419284,NaN,1
DASCMOP2_BC,1,10000,B_ref_y_tau,A_ref_tau,0.166137233879678,0.16547572987166,-1,-0.9,NaN,0.166241419747569,2
DASCMOP2_BC,1,10000,C_ref_y,B_ref_y_tau,-0.04186071453795,-0.038020191111835,0,0,NaN,-0.041964900405841,-1
DASCMOP2_BC,1,10000,C_ref_y,A_ref_tau,0.124276519341728,0.127455538759825,-1,-0.9,NaN,0.124276519341728,1
DASCMOP2_BC,1,30000,B_ref_y_tau,A_ref_tau,-0.0171214241732333,-0.0176077017178897,0.130541871921183,0.35,-0.0149304466061898,0.00732812666816191,2
DASCMOP2_BC,1,30000,C_ref_y,B_ref_y_tau,0.0457774016863182,0.039983612419089,-0.289272030651341,-0.7,0.0411319160141314,0.0510314452675338,-1
DASCMOP2_BC,1,30000,C_ref_y,A_ref_tau,0.0286559775130849,0.0223759107011993,-0.158730158730158,-0.35,0.0262014694079416,0.0583595719356957,1
DASCMOP2_BC,1,50000,B_ref_y_tau,A_ref_tau,0.224393825871186,0.241918049202407,-0.246469833119384,-0.1,-0.0262749790023983,0.248971724417929,2
DASCMOP2_BC,1,50000,C_ref_y,B_ref_y_tau,-0.228339985930928,-0.231478613718282,-0.0368448365334716,-0.25,0.0191522817894526,-0.245842743129242,-1
DASCMOP2_BC,1,50000,C_ref_y,A_ref_tau,-0.0039461600597424,0.0104394354841251,-0.283314669652856,-0.35,-0.0071226972129457,0.0031289812886867,1
DASCMOP2_BC,1,70000,B_ref_y_tau,A_ref_tau,-0.237576703285627,-0.223394397311843,0.043189368770764,0.15,-0.305751947882076,-0.235714889078851,2
DASCMOP2_BC,1,70000,C_ref_y,B_ref_y_tau,-0.016330768012987,-0.0155177916150272,-0.033872598584429,-0.05,-0.0147959423768182,-0.0173090208491415,-1
DASCMOP2_BC,1,70000,C_ref_y,A_ref_tau,-0.253907471298614,-0.23891218892687,0.009316770186335,0.1,-0.320547890258895,-0.253023909927993,1
DASCMOP2_BC,1,100000,B_ref_y_tau,A_ref_tau,-1.31145873283227,-1.30387439698255,0.222437137330754,0.3,-1.3442152821041,-1.28612715818772,2
DASCMOP2_BC,1,100000,C_ref_y,B_ref_y_tau,-0.04667654005962,-0.0506185428413706,-0.352973267866885,-0.45,-0.028636941518172,-0.0470125644744191,-1
DASCMOP2_BC,1,100000,C_ref_y,A_ref_tau,-1.35813527289189,-1.35449293982392,-0.130536130536131,-0.15,-1.37285222362228,-1.33313972266214,1
DASCMOP2_BC,2,10000,B_ref_y_tau,A_ref_tau,0.341555693295672,0.342358111338571,-1,-0.85,0.337242946649627,0.343476994221523,2
DASCMOP2_BC,2,10000,C_ref_y,B_ref_y_tau,-0.342416658267513,-0.341929759842761,0.823529411764706,0.65,-0.346925574957507,-0.342273912641682,-1
DASCMOP2_BC,2,10000,C_ref_y,A_ref_tau,-0.000860964971841904,0.000428351495810095,-0.176470588235294,-0.2,-0.00968262830788019,0.0012030815798408,1
