problem,run,seed,N,D,maxFE,target_text,plot_enabled,runtime,finalFE,stage_count,history_count,figure_count,run_folder,stage_metrics_file,history_metrics_file,figure_manifest_file,status,error_message
DASCMOP1_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,936.716382416666,100066,5,455,6,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP1_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP1_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP1_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP1_BC_run1/figure_manifest.csv,ok,
DASCMOP2_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,925.664340291666,100194,5,455,6,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP2_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP2_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP2_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP2_BC_run1/figure_manifest.csv,ok,
DASCMOP4_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,884.588496583333,100047,5,457,6,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP4_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP4_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP4_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP4_BC_run1/figure_manifest.csv,ok,
DASCMOP5_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,462.100314333333,100112,5,482,6,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP5_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP5_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP5_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/DASCMOP5_BC_run1/figure_manifest.csv,ok,
LIRCMOP5_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,885.479409041667,100080,5,457,6,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP5_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP5_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP5_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP5_BC_run1/figure_manifest.csv,ok,
LIRCMOP6_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,907.405008666666,100143,5,458,6,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP6_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP6_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP6_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP6_BC_run1/figure_manifest.csv,ok,
LIRCMOP7_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,886.906928625,100096,5,456,6,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP7_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP7_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP7_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP7_BC_run1/figure_manifest.csv,ok,
LIRCMOP8_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,883.498691833334,100142,5,457,6,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP8_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP8_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP8_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP8_BC_run1/figure_manifest.csv,ok,
LIRCMOP9_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,956.188500541667,100101,5,456,6,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP9_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP9_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP9_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP9_BC_run1/figure_manifest.csv,ok,
LIRCMOP10_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,956.222329125,100104,5,456,6,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP10_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP10_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP10_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_runs1_plot_run1_20260622_225853/pair3/LIRCMOP10_BC_run1/figure_manifest.csv,ok,
