problem,run,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,2,1,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,0,400,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_BC,2,2,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,0,400,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_BC,2,3,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,2,398,1,1,28,1,179,179,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_BC,2,4,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,6,394,1,1,34,1,169,168,1,1,1,1,1,1,0,0,0,0,0
DASCMOP1_BC,2,5,5,1,0.01,5,0,0.0349215768372199,0.0349215768372199,5,4,3,0.000261738993875308,100,1.32204839914463,1.32204839914463,0,0,4,4,0,0.8,0.0586633866058717,0.0591040291905083,0,0.0591040291905083,NaN,1,0.247385349362763,0,0.0586633866058717,0.0591040291905083,0,400,0,400,400,18,382,3,2,51,2,357,307,5,5,5,5,5,5,5,5,5,0,4
DASCMOP1_BC,2,6,15,1,0.03,15,0,0.0401690939805802,0.0689699865611776,15,18,3,0.000785216981625923,100,1.09256612199757,1.31646761673974,0,4,14,18,18,1.2,0.0104284002241137,0.0128645664628481,0,0.0186209122879553,NaN,0.888888888888889,0.154479938374691,1,0.0166641788414243,0.0186209122879553,1,400,5,410,410,64,346,4,3,44,3,807,0,15,15,15,15,15,15,15,15,15,0,18
DASCMOP1_BC,2,7,24,1,0.06,24,0,0.0209815781084483,0.0320713320935559,24,20,3,0.00125634717060148,100,1.34865209401486,1.56027467973642,0,8,12,20,19,0.833333333333333,0.0342896345250922,0.0381202597734605,0,0.0437909927412466,NaN,0.8,0.148135080732951,1,0.0401765725868112,0.0437909927412466,0.95,400,15,430,430,214,216,22,6,62,6,2091,0,30,30,30,30,24,24,24,24,24,0,20
DASCMOP1_BC,2,8,35,1,0.07,35,0,0.0168575593262928,0.036942988099371,35,20,3,0.00183217295712715,91.4285714285714,1.04417829598731,1.52155388048666,0,7,13,20,0,0.571428571428571,0.0199366685039381,0.021525209250839,0,0.0255078954777842,NaN,0.7,0.118793184396507,0,0.0235628460907195,0.0259647674030251,0,400,24,448,448,189,259,33,7,61,7,4857,0,35,35,35,35,35,35,35,35,35,0,20
DASCMOP1_BC,2,9,33,1,0.07,33,0,0.0167463475735549,0.0219541273790326,33,20,3,0.00172747735957703,96.969696969697,0.913548055425551,1.24684877460701,0,9,11,20,0,0.606060606060606,0.0801089365729301,0.0843715299792101,0,0.0847928248047274,NaN,0.35,-0.016202103311546,0,0.081387732362833,0.0851669640164452,0,400,35,470,470,194,276,35,8,81,8,3910,0,40,40,40,40,33,33,33,33,33,0,20
DASCMOP1_BC,2,10,35,1,0.07,35,0,0.0149638479008323,0.0211788151161304,35,20,3,0.00183217295712715,91.4285714285714,0.999822202351784,1.24684877460701,0,9,11,20,0,0.571428571428571,0.356081200858137,0.369682567232799,0,0.371028806332207,NaN,0.6,0.0023425520181844,0,0.356988671753178,0.371801782200706,0,400,33,466,466,169,297,38,7,66,7,4846,0,35,35,35,35,35,35,35,35,35,0,20
DASCMOP1_BC,2,11,35,1,0.07,35,0,0.0159339138790355,0.0182481957723583,35,20,3,0.00183217295712715,91.4285714285714,1.01574209517001,1.24684877460701,0,7,13,20,20,0.571428571428571,0.0236324213174472,0.0258133854943946,0,0.02801935263708,NaN,0.4,-0.0397759752152108,0.857142857142857,0.0257667650667528,0.0291863049233861,1,400,35,470,470,171,299,45,7,53,7,6066,0,35,35,35,35,35,35,35,35,35,0,20
DASCMOP1_BC,2,12,40,1,0.08,40,0,0.00972561261383069,0.0123435016910447,40,20,3,0.00209391195100246,80,1.05684245970536,1.31501362756284,0,7,13,20,0,0.5,0.22498866803788,0.23706817305033,0,0.23945815234056,NaN,0.8,0.0420744566553456,0,0.227381099381252,0.240289915435327,0,400,35,470,470,163,307,40,8,48,8,5586,0,40,40,40,40,40,40,40,40,40,0,20
DASCMOP1_BC,2,13,40,1,0.08,40,0,0.0118388127874252,0.01275951189471,40,20,3,0.00209391195100246,80,1.20387940845262,1.3512277097614,0,6,14,20,0,0.5,0.0770158186180067,0.0821093262912189,0,0.0849699412620451,NaN,0.6,0.0225681199526316,0,0.0792285282643337,0.0859630495827693,0,400,40,480,480,170,310,51,8,57,8,7544,0,40,40,40,40,40,40,40,40,40,0,20
DASCMOP1_BC,2,14,55,1,0.11,55,0,0.0119935888197318,0.0221289979863069,55,20,3,0.00287912893262838,58.1818181818182,1.16826260410875,1.34130457820836,0,3,17,20,0,0.363636363636364,0.0332193311733938,0.0355737845261761,0,0.0370650668950642,NaN,0.6,0.0806334001361492,0,0.0339277396256892,0.0373188175852304,0,400,40,480,480,171,309,53,11,58,11,7215,0,55,55,55,55,55,55,55,55,55,0,20
DASCMOP1_BC,2,15,45,1,0.09,45,0,0.011689356226738,0.0152882258815201,45,20,3,0.00235565094487777,71.1111111111111,1.14116644686827,1.49505859735922,0,5,15,20,0,0.444444444444444,0.191360848364709,0.198280920410779,0,0.199788246517765,NaN,0.55,0.0120590839430056,0,0.192252141484267,0.20014277205298,0,400,55,510,510,187,323,72,10,69,10,9694,0,50,50,50,50,45,45,45,45,45,0,20
DASCMOP1_BC,2,16,65,1,0.13,65,0,0.014438395388291,0.0247897685581612,65,20,3,0.003402606920379,49.2307692307692,0.999822202351784,1.35571065392399,0,0,20,20,0,0.307692307692308,0.190504193162311,0.193592382114242,0,0.194213643033267,NaN,1,0.171610148625013,0,0.191432853843249,0.194213643033267,0,400,45,490,490,178,312,60,13,81,13,7451,0,65,65,65,65,65,65,65,65,65,0,20
DASCMOP1_BC,2,17,65,1,0.13,65,0,0.00834737580372115,0.0192762146855133,65,20,3,0.003402606920379,49.2307692307692,1.09246859838205,1.40232014005172,0,1,19,20,0,0.307692307692308,0.829379835986557,0.85130198326781,0,0.851788947653333,NaN,0.9,0.135599301709774,0,0.830235048705536,0.852027571769392,0,400,65,530,530,195,335,80,13,82,13,10826,0,65,65,65,65,65,65,65,65,65,0,20
DASCMOP1_BC,2,18,65,1,0.13,65,0,0.00909209045260595,0.0205996449495076,65,20,3,0.003402606920379,49.2307692307692,1.09246859838205,1.43393122412056,0,0,20,20,0,0.307692307692308,0.265263712913793,0.2785015669431,0,0.279426388576109,NaN,0.9,0.437382400933502,0,0.266240791670961,0.279886438666613,0,400,65,530,530,200,330,86,13,84,13,10810,0,65,65,65,65,65,65,65,65,65,0,20
DASCMOP1_BC,2,19,50,1,0.1,50,0,0.00621135502759321,0.0108820707147878,50,20,3,0.00261738993875308,64,0.999505436686218,1.17250596527973,0,4,16,20,0,0.4,0.108743126587503,0.123127348577158,0,0.123802099800911,NaN,0.65,0.0358293588766346,0,0.109020821523754,0.123802099800911,0,400,65,530,530,190,340,75,11,75,11,10011,0,55,55,55,55,50,50,50,50,50,0,20
DASCMOP1_BC,2,20,55,1,0.11,55,0,0.00612900704798015,0.0133941873709592,55,20,3,0.00287912893262838,58.1818181818182,0.94097419367881,1.16826260410875,0,3,17,20,0,0.363636363636364,0.312515502557887,0.330760960536601,0,0.331803278894319,NaN,0.6,0.0327163266216346,0,0.314291756994398,0.331806943805528,0,400,50,500,500,183,317,70,11,84,11,7733,0,55,55,55,55,55,55,55,55,55,0,20
DASCMOP1_BC,2,21,40,1,0.08,40,0,0.00526481544515083,0.00613560296226074,40,20,3,0.00209391195100246,80,1.11681752262516,1.27797137941592,0,4,16,20,0,0.5,0.169277828693236,0.183156219148519,0,0.184785141281503,NaN,0.9,0.0912699644579923,0,0.170729755092336,0.185127288900634,0,400,55,510,510,190,320,68,12,82,12,7751,0,60,60,60,60,40,40,40,40,40,0,20
DASCMOP1_BC,2,22,45,1,0.09,45,0,0.00501285654770571,0.00671403322941819,45,20,3,0.00235565094487777,71.1111111111111,1.14116644686827,1.35009405624323,0,3,17,20,20,0.444444444444444,0.00448677182393421,0.0072121017753081,0,0.0106145432515672,NaN,0.8,0.256961244607428,1,0.00660789227270564,0.0112645883202552,1,400,40,480,480,172,308,57,11,90,11,6172,0,55,55,55,55,45,45,45,45,45,0,20
DASCMOP1_BC,2,23,40,1,0.08,40,0,0.00607550490496095,0.00983816243678015,40,20,3,0.00209391195100246,80,1.11681752262516,1.52814960628986,0,4,16,20,0,0.5,0.0761069687669848,0.0839714285726761,0,0.0851244610488201,NaN,1,0.215893054993543,0,0.0774992249971783,0.0858909126275569,0,400,45,490,490,184,306,63,11,91,11,6563,0,55,55,55,55,40,40,40,40,40,0,20
DASCMOP1_BC,2,24,45,1,0.09,45,0,0.00539974101516654,0.00727099335048279,45,20,3,0.00235565094487777,71.1111111111111,1.14116644686827,1.35009405624323,0,3,17,20,0,0.444444444444444,0.067841109007723,0.0709245351570468,0,0.0730603803563122,NaN,0.9,0.273393313045365,0,0.0688844361546629,0.0734022204973299,0,400,40,480,480,171,309,59,11,80,11,7112,0,55,55,55,55,45,45,45,45,45,0,20
DASCMOP1_BC,2,25,45,1,0.09,45,0,0.00425880944040424,0.00701073510065015,45,20,3,0.00235565094487777,71.1111111111111,1.14902236302811,1.52814924879522,0,2,18,20,15,0.444444444444444,0.0429732767245733,0.0464626616392743,0,0.0481803941436137,NaN,0.95,0.340385339372583,0.888888888888889,0.0436810175796927,0.0487943871627964,0.75,400,45,490,490,182,308,65,11,88,11,7435,0,55,55,55,55,45,45,45,45,45,0,20
DASCMOP1_BC,2,26,40,1,0.08,40,0,0.00421574605324034,0.00842929380423025,40,20,3,0.00209391195100246,80,0.920448131181213,1.52814924879522,0,3,17,20,0,0.5,0.231688796044748,0.232975917803451,0,0.233317170634964,NaN,0.85,0.0690277840897761,0,0.232043155571209,0.233320810726627,0,400,45,490,490,176,314,65,10,86,10,7102,0,50,50,50,50,40,40,40,40,40,0,20
DASCMOP1_BC,2,27,45,1,0.09,45,0,0.00483067426253366,0.00748011393513224,45,20,3,0.00235565094487777,71.1111111111111,1.14116644686827,1.52814924879522,0,2,18,20,14,0.444444444444444,0.000464371097087412,0.0016392966068432,0,0.0118670890208128,NaN,0.95,0.108168497985234,1,0.00615364573155651,0.0134077649124094,0.7,400,40,480,480,166,314,61,12,75,12,6812,0,60,60,60,60,45,45,45,45,45,0,20
DASCMOP1_BC,2,28,42,1,0.1,42,0,0.00533757817833667,0.00885050561617591,42,20,3,0.00219860754855258,76.1904761904762,1.12074548070508,1.52814924879522,0,1,19,20,4,0.476190476190476,0.00261853877201055,0.0038781824777571,0,0.0113128769076707,NaN,0.8,0.041855452885197,0.5,0.00794530850100079,0.0135637220948073,0.2,400,45,490,490,181,309,68,11,77,11,7135,0,55,55,55,55,42,42,42,42,42,0,20
DASCMOP1_BC,2,29,54,1,0.11,54,0,0.00509158634672375,0.00872995291868689,54,20,3,0.00282678113385332,59.2592592592593,1.14902236302811,1.48061789152885,0,0,20,20,20,0.37037037037037,0.038865350567629,0.0408373061914999,0,0.0418738362578938,NaN,0.75,0.0654537440245629,1,0.0392451063577796,0.0418738362578938,1,400,42,484,484,187,297,66,12,94,12,6393,0,60,60,60,60,54,54,54,54,54,0,20
DASCMOP1_BC,2,30,50,1,0.1,50,0,0.00481292846964013,0.00627841251944455,50,20,3,0.00261738993875308,64,0.920448131181213,1.24411301347461,0,2,18,20,17,0.4,0.0440807242691148,0.046481749935483,0,0.0471178926656755,NaN,0.65,0.207808784881844,1,0.0448857069239453,0.0472146052747,0.85,400,54,508,508,193,315,78,13,99,13,8741,0,65,65,65,65,50,50,50,50,50,0,20
DASCMOP1_BC,2,31,55,1,0.11,55,0,0.00468040214294769,0.00785323916027584,55,20,3,0.00287912893262838,58.1818181818182,1.09246859838205,1.47533662961036,0,0,20,20,20,0.363636363636364,0.0113978837474518,0.0125042283816553,0,0.0165642070215458,NaN,0.75,0.192802495254461,1,0.01237912488574,0.0165642070215458,1,400,50,500,500,187,313,74,12,97,12,8270,0,60,60,60,60,55,55,55,55,55,0,20
DASCMOP1_BC,2,32,55,1,0.11,55,0,0.00400924915813292,0.00711852031933597,55,20,3,0.00287912893262838,58.1818181818182,1.14552348298161,1.47533662961036,0,0,20,20,0,0.363636363636364,0.142565445880499,0.155025447113768,0,0.155721702166057,NaN,0.95,0.189201145814108,0,0.144627103214263,0.155892150765745,0,400,55,510,510,195,315,81,13,100,13,8914,1,65,65,65,65,55,55,55,55,55,0,20
DASCMOP1_BC,2,33,53,1,0.11,53,0,0.00409273324630744,0.00716966440911239,53,20,3,0.00277443333507826,60.377358490566,0.838506312268214,1.48590614121853,0,2,18,20,0,0.377358490566038,0.0694326928408914,0.0763574266079788,0,0.0765165373079671,NaN,0.85,0.533791883725744,0,0.0704209733916837,0.0765457925382584,0,400,55,510,510,190,320,82,12,89,12,8945,6,60,60,60,60,53,53,53,53,53,0,20
DASCMOP1_BC,2,34,50,1,0.1,50,0,0.00365096184033459,0.00863145722244505,50,20,3,0.00261738993875308,64,0.65635630059667,1.4794690190717,0,3,17,20,0,0.4,0.0949842383884749,0.09937305441674,0,0.0996780161464215,NaN,0.85,0.130381774991926,0,0.095868741577612,0.0999221685124209,0,400,53,506,506,189,317,81,12,88,12,8085,4,60,60,60,60,50,50,50,50,50,0,20
DASCMOP1_BC,2,35,50,1,0.1,50,0,0.00294457273174769,0.00613145287720731,50,20,3,0.00261738993875308,64,0.654688047541661,1.50587532866412,0,3,17,20,0,0.4,0.165902591930065,0.170501505427236,0,0.170501505427236,NaN,0.85,0.182652021565809,0,0.166238058563516,0.170598713000287,0,400,50,500,500,192,308,78,12,97,12,7582,0,60,60,60,60,50,50,50,50,50,0,20
DASCMOP1_BC,2,36,50,1,0.1,50,0,0.00320311518900773,0.00590748225037753,50,20,3,0.00261738993875308,64,0.654688047541661,1.33017536749188,0,3,17,20,0,0.4,0.351186816807223,0.359723190474426,0,0.359822853892283,NaN,0.65,0.177147182704,0,0.351716331429153,0.35997052019382,0,400,50,500,500,180,320,79,12,96,12,8284,0,60,60,60,60,50,50,50,50,50,0,20
DASCMOP1_BC,2,37,60,1,0.12,60,0,0.00431372994025366,0.00991262484779923,60,20,3,0.00314086792650369,53.3333333333333,0.747431306432442,1.48360140853303,0,1,19,20,0,0.333333333333333,0.549172759481068,0.555385595103093,0,0.555971324091962,NaN,0.55,0.238684598200616,0,0.549781284146136,0.556080513809528,0,400,50,500,500,180,320,79,13,92,13,7901,0,65,65,65,65,60,60,60,60,60,0,20
DASCMOP1_BC,2,38,50,1,0.1,50,0,0.00443872176426391,0.00724778470133068,50,20,3,0.00261738993875308,64,0.654688047541661,1.48936324024677,0,2,18,20,0,0.4,0.0822265917163539,0.0868423319376102,0,0.0868579140046685,NaN,0.75,0.0593811311452389,0,0.0828757199677239,0.0869223282909384,0,400,60,520,520,193,327,89,12,91,12,9854,0,60,60,60,60,50,50,50,50,50,0,20
DASCMOP1_BC,2,39,60,1,0.12,60,0,0.00415465923615091,0.00938417908900076,60,20,3,0.00314086792650369,53.3333333333333,0.65635630059667,1.49512507196052,0,1,19,20,0,0.333333333333333,0.291632458199144,0.295188611482162,0,0.295188611482162,NaN,0.75,0.0653531686278325,0,0.292253691168196,0.295222892439839,0,400,50,500,500,176,324,80,13,92,13,8312,0,65,65,65,65,60,60,60,60,60,0,20
DASCMOP1_BC,2,40,60,1,0.12,60,0,0.00349499957408753,0.0101049382275029,60,20,3,0.00314086792650369,53.3333333333333,0.654688047541661,1.22370709658579,0,1,19,20,20,0.333333333333333,0.00203141392805714,0.00365113248952129,0,0.00910200236107341,NaN,0.2,-0.0885912408832618,1,0.00574402856620635,0.0100553101840516,1,400,60,520,520,198,322,91,14,98,14,9046,0,70,70,70,70,60,60,60,60,60,0,20
DASCMOP1_BC,2,41,60,1,0.12,60,0,0.00354538524751023,0.010511260245328,60,20,3,0.00314086792650369,53.3333333333333,0.745763053377433,1.48360140853303,0,1,19,20,0,0.333333333333333,0.0594744801901089,0.0603590422933104,0,0.0617762217362248,NaN,0.4,-0.0100189817628612,0,0.0602706629417978,0.0620450028622363,0,400,60,520,520,192,328,93,14,100,14,9317,0,70,70,70,70,60,60,60,60,60,0,20
DASCMOP1_BC,2,42,60,1,0.12,60,0,0.00386203706365654,0.00910381363073709,60,20,3,0.00314086792650369,53.3333333333333,0.831695579602692,1.48360140853303,0,1,19,20,20,0.333333333333333,0.0272551250512323,0.0301264371488761,0,0.0305849796750856,NaN,0.3,-0.115699530310608,1,0.0279374612239204,0.0309556985434265,1,400,60,520,520,191,329,93,14,100,14,8990,0,70,70,70,70,60,60,60,60,60,0,20
DASCMOP1_BC,2,43,60,1,0.12,60,0,0.00321716977704907,0.0104629416811152,60,20,3,0.00314086792650369,53.3333333333333,0.706394207348691,1.48360140853303,0,1,19,20,0,0.333333333333333,0.057441827267936,0.0614662020278529,0,0.0620286935415398,NaN,0.65,0.0279187316588717,0,0.0581615267465403,0.0620401254227217,0,400,60,520,520,190,330,93,14,100,14,9334,0,70,70,70,70,60,60,60,60,60,0,20
DASCMOP1_BC,2,44,50,1,0.1,50,0,0.00265942367706527,0.00965712083474366,50,20,3,0.00261738993875308,64,0.305976324368799,1.17121395268472,0,2,18,20,20,0.4,0.00550164888277545,0.00655090440693884,0,0.0128005913869539,NaN,0.55,0.00137176940059691,1,0.00664530525670595,0.0141511077035753,1,400,60,520,520,196,324,95,13,100,13,9532,0,65,65,65,65,50,50,50,50,50,0,20
DASCMOP1_BC,2,45,60,1,0.12,60,0,0.00313424501308423,0.007907099952509,60,20,3,0.00314086792650369,53.3333333333333,0.838506312268214,1.34772153268448,0,1,19,20,20,0.333333333333333,0.0214401545796996,0.0321639304830396,0,0.0324358568490857,NaN,0.85,0.086836158628788,1,0.0234113486818256,0.0324844669558453,1,400,50,500,500,191,309,84,14,100,14,6838,0,70,70,70,70,60,60,60,60,60,0,20
