problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,1,10000,10004,45,40,1,0.08,40,0,0.00413164160151472,0.00657185508023074,40,20,3,0.00209391195100246,80,0.93167566241655,1.03856643493056,0,1,19,20,0,0.5,0.0188913855639244,0.0234039271493576,0,0.0250758726542744,NaN,0.45,-0.0177316227866954,0,0.0210876548024427,0.0250758726542744,0,400,50,500,500,196,304,85,9,98,9,8421,0,45,45,45,45,40,40,40,40,40,0,20
DASCMOP1_BC,1,30000,30024,136,120,1,0.24,120,0,0.00580572305813998,0.0125434710798469,120,20,3,0.00628173585300738,26.6666666666667,0.45933195607402,0.764059434319561,0,20,0,20,1,0.166666666666667,0.0191129310623662,0.0218435093183352,0,0.0261373776406761,NaN,1,0.356057977105708,0.0833333333333333,0.0351738199529563,0.0543180290055633,0.05,400,110,620,620,239,381,149,24,100,24,8558,0,120,120,120,120,120,120,120,120,120,0,20
DASCMOP1_BC,1,50000,50044,227,145,1,0.29,145,0,0.00196554690180982,0.00685204388973689,145,20,3,0.00759043082238392,22.0689655172414,0.56386033819266,0.840919896766033,0,20,0,20,2,0.137931034482759,0.145402207431251,0.162675715981262,0,0.162675715981262,NaN,1,0.372229210294222,0.0689655172413793,0.145787370092689,0.162678675046639,0.1,400,150,700,700,293,407,250,29,100,29,15861,0,145,145,145,145,145,145,145,145,145,0,20
DASCMOP1_BC,1,70000,70064,318,140,1,0.28,140,0,0.00143721855842539,0.00684447850202481,140,20,3,0.00732869182850861,22.8571428571429,0.51407159230509,0.763627241027023,0,20,0,20,3,0.142857142857143,0.0750412554756622,0.10635025582399,0,0.10635025582399,NaN,0.95,0.225025615572924,0.0714285714285714,0.0772419146510491,0.108446513368105,0.15,400,135,670,670,268,402,236,30,100,30,14447,0,150,150,150,150,140,140,140,140,140,0,20
DASCMOP1_BC,1,100000,100204,455,130,1,0.26,130,0,0.000905007029689544,0.00477803599545269,130,20,3,0.006805213840758,24.6153846153846,0.592113206894681,0.763627241027023,0,20,0,20,10,0.153846153846154,0.0542082569222537,0.0677141903350666,0,0.0677141903350666,NaN,0.6,0.101659825937778,0.0769230769230769,0.055176776879405,0.0686271449568906,0.5,400,135,670,670,262,408,235,31,100,31,14691,0,155,155,155,155,130,130,130,130,130,0,20
DASCMOP1_BC,2,10000,10002,45,60,1,0.12,60,0,0.00313424501308423,0.007907099952509,60,20,3,0.00314086792650369,53.3333333333333,0.838506312268214,1.34772153268448,0,1,19,20,20,0.333333333333333,0.0214401545796996,0.0321639304830396,0,0.0324358568490857,NaN,0.85,0.086836158628788,1,0.0234113486818256,0.0324844669558453,1,400,50,500,500,191,309,84,14,100,14,6838,0,70,70,70,70,60,60,60,60,60,0,20
DASCMOP1_BC,2,30000,30022,136,120,1,0.24,120,0,0.00830458191022366,0.0173046556238281,120,20,3,0.00628173585300738,26.6666666666667,0.48667613886144,0.740559475022892,0,20,0,20,13,0.166666666666667,0.00180972117507631,0.00812957326241882,0,0.0707083958735458,NaN,0.7,0.0804049695286259,0.166666666666667,0.0497321027019077,0.0740823369964822,0.65,400,111,622,622,248,374,151,24,100,24,8769,0,120,120,120,120,120,120,120,120,120,0,20
DASCMOP1_BC,2,50000,50042,227,141,1,0.29,141,0,0.00236186928003134,0.00744097578243687,141,20,3,0.00738103962728367,22.6950354609929,0.534468295222911,0.886626345441678,0,20,0,20,3,0.141843971631206,0.00459700972356895,0.0123100206867745,0,0.0123100206867745,NaN,0.15,-0.0696118561069974,0.137931034482759,0.00982992570349796,0.014832444774429,0.15,400,137,674,674,270,404,238,31,100,31,15551,0,155,155,155,155,141,141,141,141,141,0,20
DASCMOP1_BC,2,70000,70062,318,150,1,0.3,150,0,0.00149839586962694,0.00445842831483336,150,20,3,0.00785216981625923,21.3333333333333,0.490319014493123,0.765318229891326,0,20,0,20,8,0.133333333333333,0.0207640488335763,0.0651745566184658,0,0.0651745566184658,NaN,1,0.0392892634559415,0.0666666666666667,0.0246509570633199,0.0668513112380034,0.4,400,150,700,700,282,418,250,31,100,31,17116,0,155,155,155,155,150,150,150,150,150,0,20
DASCMOP1_BC,2,100000,100202,455,125,1,0.25,125,0,0.000602968662052949,0.00259833828015186,125,20,3,0.00654347484688269,25.6,0.450714234735772,0.770411634678492,0,20,0,20,0,0.16,0.0102655123705155,0.0220812028853872,0,0.0220812028853872,NaN,0.25,-0.0104304918325442,0,0.0117281274917052,0.0224707022186727,0,400,130,660,660,269,391,234,31,100,31,13843,0,155,155,155,155,125,125,125,125,125,0,20
