problem,run,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
DASCMOP1_BC,3,1,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,0,400,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_BC,3,2,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,0,400,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_BC,3,3,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,3,397,2,2,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_BC,3,4,0,0,NaN,0,0,NaN,NaN,0,0,3,0,NaN,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,15,385,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DASCMOP1_BC,3,5,13,1,0.03,13,0,0.0428710198657009,0.0777029050599782,13,18,3,0.0006805213840758,100,1.34472096993716,1.44469308244856,0,6,12,18,0,1.38461538461538,0.0625165000377158,0.0704946677598209,0,0.070944648716199,NaN,0.277777777777778,-0.0688776916794372,0,0.0635427143138549,0.0712764338826142,0,400,0,400,400,47,353,4,3,39,3,900,238,14,14,14,14,13,13,13,13,13,0,18
DASCMOP1_BC,3,6,20,1,0.04,20,0,0.035018464268135,0.0501498180224338,20,20,3,0.00104695597550123,100,1.25501260621812,1.36024175717145,0,5,15,20,0,1,0.0538366631531404,0.0578953011046828,0,0.0591890833389364,NaN,0.4,-0.0687934405845162,0,0.0561635512568335,0.0600511999510879,0,400,13,426,426,161,265,10,5,71,5,1394,0,25,25,25,25,20,20,20,20,20,0,20
DASCMOP1_BC,3,7,20,1,0.04,20,0,0.0237392976495261,0.0285745156599154,20,20,3,0.00104695597550123,100,0.928729218904776,1.47245831916961,0,6,14,20,0,1,0.107111396572402,0.122167073984463,0,0.122193284945693,NaN,0.7,0.0444372874746109,0,0.107891540660827,0.12238241078187,0,400,20,440,440,161,279,14,4,86,4,1179,0,20,20,20,20,20,20,20,20,20,0,20
DASCMOP1_BC,3,8,26,1,0.06,26,0,0.0286236589699746,0.0333014823435745,26,20,3,0.0013610427681516,100,1.05981348193154,1.34732409673052,0,9,11,20,0,0.769230769230769,0.201341814623285,0.222996465502646,0,0.222996465502646,NaN,0.8,0.0669156618318902,0,0.201811973756526,0.223401997208439,0,400,20,440,440,170,270,28,6,55,6,2338,0,30,30,30,30,26,26,26,26,26,0,20
DASCMOP1_BC,3,9,29,1,0.06,29,0,0.0191672058731082,0.0319149311704664,29,20,3,0.00151808616447678,100,0.965045101658624,1.27273247470832,0,9,11,20,2,0.689655172413793,0.0634160993766985,0.0771340706418075,0,0.0772143280255825,NaN,0.2,-0.0481623310196211,0.666666666666667,0.0636960595038214,0.0774246460124323,0.1,400,26,452,452,157,295,23,6,73,6,1989,0,30,30,30,30,29,29,29,29,29,0,20
DASCMOP1_BC,3,10,32,1,0.07,32,0,0.0162114379118676,0.0318615578181778,32,20,3,0.00167512956080197,100,0.982646088328072,1.35290267958489,0,7,13,20,0,0.625,0.0448157984055195,0.050248300952252,0,0.0506529595595166,NaN,0.65,0.0435425193777936,0,0.0455304086623772,0.0508905404523525,0,400,29,458,458,165,293,37,7,65,7,4081,0,35,35,35,35,32,32,32,32,32,0,20
DASCMOP1_BC,3,11,25,1,0.05,25,0,0.0148767550739049,0.0176682060974521,25,20,3,0.00130869496937654,100,0.982646088328072,1.35290267958489,0,5,15,20,1,0.8,0.0530835927329731,0.0615934209599222,0,0.063562828764866,NaN,0.9,0.074599589539512,0.4,0.0558913910447317,0.0643734118903073,0.05,400,32,464,464,169,295,41,6,73,6,5009,0,30,30,30,30,25,25,25,25,25,0,20
DASCMOP1_BC,3,12,35,1,0.07,35,0,0.015606972963196,0.0249879035208887,35,20,3,0.00183217295712715,91.4285714285714,0.98257025701977,1.36606705653399,0,5,15,20,20,0.571428571428571,0.0124697276220377,0.0181185617654025,0,0.0276508640869674,NaN,0.6,0.0194722701156755,1,0.0189025106489135,0.0276508640869674,1,400,25,450,450,161,289,24,7,72,7,2965,0,35,35,35,35,35,35,35,35,35,0,20
DASCMOP1_BC,3,13,40,1,0.08,40,0,0.0166026613300373,0.0252983092517813,40,20,3,0.00209391195100246,80,1.06884345392694,1.36606705653399,0,5,15,20,0,0.5,0.0387398998781858,0.0441449314959339,0,0.0526553056436197,NaN,1,0.336953570500952,0,0.0422216762123432,0.0529269493344339,0,400,35,470,470,178,292,46,8,80,8,5302,0,40,40,40,40,40,40,40,40,40,0,20
