problem,run,target_FE,actual_FE,gen,figure_file
DASCMOP1_BC,3,10000,10018,45,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP1_BC_run3/figures/DASCMOP1_BC_run3_targetFE010000.png
DASCMOP1_BC,3,30000,30038,136,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP1_BC_run3/figures/DASCMOP1_BC_run3_targetFE030000.png
DASCMOP1_BC,3,50000,50058,227,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP1_BC_run3/figures/DASCMOP1_BC_run3_targetFE050000.png
DASCMOP1_BC,3,70000,70078,318,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP1_BC_run3/figures/DASCMOP1_BC_run3_targetFE070000.png
DASCMOP1_BC,3,100000,100218,455,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP1_BC_run3/figures/DASCMOP1_BC_run3_targetFE100000.png
DASCMOP1_BC,3,NaN,NaN,455,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP1_BC_run3/figures/DASCMOP1_BC_run3_diagnostic_trends.png
DASCMOP2_BC,3,10000,10206,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP2_BC_run3/figures/DASCMOP2_BC_run3_targetFE010000.png
DASCMOP2_BC,3,30000,30006,136,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP2_BC_run3/figures/DASCMOP2_BC_run3_targetFE030000.png
DASCMOP2_BC,3,50000,50026,227,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP2_BC_run3/figures/DASCMOP2_BC_run3_targetFE050000.png
DASCMOP2_BC,3,70000,70046,318,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP2_BC_run3/figures/DASCMOP2_BC_run3_targetFE070000.png
DASCMOP2_BC,3,100000,100186,455,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP2_BC_run3/figures/DASCMOP2_BC_run3_targetFE100000.png
DASCMOP2_BC,3,NaN,NaN,455,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP2_BC_run3/figures/DASCMOP2_BC_run3_diagnostic_trends.png
DASCMOP4_BC,3,10000,10046,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/sync_topk_K3_K5_stage_figures_run3_20260622_225743/pair5/DASCMOP4_BC_run3/figures/DASCMOP4_BC_run3_targetFE010000.png
