problem,run,mode,sigma,iter,reconstructionWeight,repeat,n,dec_rmse,obj_dist50,obj_dist90,feasible_rate
LIRCMOP9_BC,2,true_train,0,NaN,NaN,NaN,16,0,0,0,1
LIRCMOP9_BC,2,perturb,0.005,NaN,NaN,1,16,0.00513092375129111,9.65779456210017e-05,0.000405385175904075,0.9375
LIRCMOP9_BC,2,perturb,0.005,NaN,NaN,2,16,0.00484996706721342,0.000131462353803195,0.000283796814108018,0.6875
LIRCMOP9_BC,2,perturb,0.005,NaN,NaN,3,16,0.00478881513570788,0.000113226192995718,0.000225712880540902,0.875
LIRCMOP9_BC,2,perturb,0.01,NaN,NaN,1,16,0.0102295828703364,0.000240731018281653,0.000447890638207914,0.75
LIRCMOP9_BC,2,perturb,0.01,NaN,NaN,2,16,0.00945858236450779,0.000272363406892526,0.000529019773401556,0.75
LIRCMOP9_BC,2,perturb,0.01,NaN,NaN,3,16,0.010476024220935,0.000257926122601123,0.000807418850324091,0.6875
LIRCMOP9_BC,2,perturb,0.02,NaN,NaN,1,16,0.0201943795665842,0.000748442440984923,0.00169326740557908,0.3125
LIRCMOP9_BC,2,perturb,0.02,NaN,NaN,2,16,0.0190604656449434,0.000663287252826433,0.00112032326641109,0.3125
LIRCMOP9_BC,2,perturb,0.02,NaN,NaN,3,16,0.0203648034757452,0.000833781737859042,0.00296968109060538,0.3125
LIRCMOP9_BC,2,perturb,0.05,NaN,NaN,1,16,0.0530183874057608,0.00463044251113021,0.00798309621119726,0.0625
LIRCMOP9_BC,2,perturb,0.05,NaN,NaN,2,16,0.0515903882793595,0.0053744575983631,0.0108804375080941,0
LIRCMOP9_BC,2,perturb,0.05,NaN,NaN,3,16,0.0519905426839371,0.00377701455479385,0.00755794146641924,0.0625
LIRCMOP9_BC,2,overfit,0,100,100,1,16,0.249349468625309,0.0893396893688161,0.0909860814703905,1
LIRCMOP9_BC,2,overfit,0,100,500,2,16,0.218338591769037,0.0755132134937178,0.0756436148219853,1
LIRCMOP9_BC,2,overfit,0,300,100,3,16,0.103434656979667,0.00495407841101238,0.00650226263760757,0
LIRCMOP9_BC,2,overfit,0,300,500,4,16,0.100168088362802,0.00418482119153155,0.00536805489967758,0
LIRCMOP9_BC,2,overfit,0,1000,100,5,16,0.123434224510545,0.00335684976199453,0.00924835754753551,0
LIRCMOP9_BC,2,overfit,0,1000,500,6,16,0.0995551394511418,0.00347110265713071,0.00619515330127718,1
