problem,run,mode,sigma,iter,reconstructionWeight,repeat,n,dec_rmse,obj_dist50,obj_dist90,feasible_rate
DASCMOP5_BC,1,true_train,0,NaN,NaN,NaN,33,0,0,0,1
DASCMOP5_BC,1,perturb,0.005,NaN,NaN,1,33,0.00512757050877464,0.100297733314308,0.136304942082786,0
DASCMOP5_BC,1,perturb,0.005,NaN,NaN,2,33,0.0051538177718691,0.100838830282719,0.139858181432012,0
DASCMOP5_BC,1,perturb,0.005,NaN,NaN,3,33,0.00485938405681806,0.0948634590114105,0.131885266821465,0
DASCMOP5_BC,1,perturb,0.01,NaN,NaN,1,33,0.00986509753999397,0.369877254628669,0.491902244880984,0
DASCMOP5_BC,1,perturb,0.01,NaN,NaN,2,33,0.00993641233825551,0.350739542684841,0.465329737657968,0
DASCMOP5_BC,1,perturb,0.01,NaN,NaN,3,33,0.01040424005531,0.372749447658553,0.502992802739755,0
DASCMOP5_BC,1,perturb,0.02,NaN,NaN,1,33,0.0203922795992516,1.18472333916948,1.40686680109838,0
DASCMOP5_BC,1,perturb,0.02,NaN,NaN,2,33,0.0200316050728457,1.1604520201697,1.33367042656849,0
DASCMOP5_BC,1,perturb,0.02,NaN,NaN,3,33,0.0201244229280448,1.17010153457879,1.38455029378564,0
DASCMOP5_BC,1,perturb,0.05,NaN,NaN,1,33,0.0498799959950942,2.20457915258937,2.48049027251095,0
DASCMOP5_BC,1,perturb,0.05,NaN,NaN,2,33,0.0495991726020115,2.13812213587283,2.56318984894722,0
DASCMOP5_BC,1,perturb,0.05,NaN,NaN,3,33,0.0491383942530693,2.10867526683266,2.41326087926437,0
DASCMOP5_BC,1,overfit,0,100,100,1,33,0.0675721388745001,0.550457528261663,0.584368885465568,0
DASCMOP5_BC,1,overfit,0,100,500,2,33,0.0782184215343607,0.455988493848126,0.484346440746987,0
DASCMOP5_BC,1,overfit,0,300,100,3,33,0.0572005996282569,0.45197866953838,0.464839740945948,0
DASCMOP5_BC,1,overfit,0,300,500,4,33,0.0574059324676106,0.194615551735246,0.208611752719911,0
DASCMOP5_BC,1,overfit,0,1000,100,5,33,0.0725640138645435,0.342044863887479,0.352043025648529,0
DASCMOP5_BC,1,overfit,0,1000,500,6,33,0.0575600975819702,0.249368614782833,0.283091977249878,0
