problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP5_BC,1,ref_only,10000,10013,47,100,1,0.34,100,0,0.00287807124999281,0.00693411660885471,100,30,2,0.00527009222661397,12.8,0.311350352355435,0.424081262009813,-0,0.973478404450744,0.18,0.552584762372793,2.35037286467408,zero,30,0,30,30,0.3,0.0218169453733498,0.0289106749645012,0,0.0536664521808344,NaN,0.766666666666667,0.0307904881139645,0.617647058823529,0.044414410259715,0.0560220212611158,0.0560220212611158,NaN,1,400,102,604,604,471,133,224,53,71,39,3415,0,114,114,114,114,100,100,100,100,100,0,30
LIRCMOP5_BC,1,ref_only,30000,30023,134,117,1,0.39,117,0,0.00137508369380216,0.00537130692453139,117,30,2,0.00616600790513834,10.9401709401709,0.31438578624165,0.500245205806107,-0,1,0.230769230769231,0.415571069972786,1.69228313136288,zero,30,0,30,10,0.256410256410256,0.00648804419345336,0.0109194317232662,0,0.0113477908796671,NaN,0.533333333333333,0.00123659905565102,0.153846153846154,0.0103397108252445,0.0115063044891579,0.0115063044891579,NaN,0.333333333333333,400,85,570,570,393,177,221,59,77,41,3286,12,123,123,123,120,117,117,117,117,117,0,30
LIRCMOP5_BC,1,ref_only,50000,50033,221,105,1,0.35,105,0,0.00241182796075892,0.00796508922231047,105,30,2,0.00553359683794466,12.1904761904762,0.392349942055004,0.512938441848558,0,0.751896795486667,0.142857142857143,0.543547863558714,1.19438806817679,zero,30,0,30,15,0.285714285714286,0.0132835489264951,0.0160043242299951,0,0.0189060513971974,NaN,0.433333333333333,-0.017625938822354,0.0857142857142857,0.0173136311158519,0.0194893601477256,0.0194893601477256,NaN,0.5,400,102,604,604,428,176,210,53,71,38,5494,25,110,110,110,110,105,105,105,105,105,0,30
LIRCMOP5_BC,1,ref_only,70000,70043,308,54,1,0.18,54,0,0.0113896497519378,0.0202646452503843,54,30,2,0.00284584980237154,23.7037037037037,0.0918730571009072,0.151951426123722,0.217844950740531,0.964182991216549,0.777777777777778,0.791218667854579,1.24859445417605,zero,30,0,30,20,0.555555555555556,0.0437259807362555,0.0530495667351241,0,0.0530495667351241,NaN,0,-0.0987108737236847,0.111111111111111,0.0491816735712013,0.0637970128854516,0.0637970128854516,NaN,0.666666666666667,400,56,512,512,260,252,183,22,100,22,7133,1628,66,66,66,54,54,54,54,54,54,0,30
LIRCMOP5_BC,1,ref_only,100000,100173,439,70,1,0.24,70,0,0.00957049454162994,0.0486045651920875,70,30,2,0.00368906455862978,18.2857142857143,0.114645487396809,0.169133824926559,0.375265276556422,0.865673541873048,0.742857142857143,0.199951243154651,0.418492125096091,zero,30,0,30,11,0.428571428571429,0.000984864600391334,0.00216637509325208,0,0.0032708548392784,NaN,1,0.0463831430758965,0.166666666666667,0.00118275864940242,0.00433957986881946,0.00433957986881946,NaN,0.366666666666667,400,65,530,530,318,212,239,66,100,66,4680,1457,113,113,113,96,70,70,70,70,70,0,30
LIRCMOP6_BC,1,ref_only,10000,10197,49,64,1,0.22,64,0,0.0046693248929058,0.0121826296965073,64,30,2,0.00337285902503294,20,0.331949128046873,0.386992205524718,0,0.749578984609622,0.234375,1.07779071517958,22.4921043210223,zero,20,10,30,30,0.46875,0.375297347682127,0.395792116324091,0,0.406245404016659,NaN,0.833333333333333,0.0264697558103074,0.772727272727273,0.380284841057289,0.407175516685902,0.405412769861632,0.410253229826007,1,400,51,502,502,437,65,212,48,49,23,1318,0,67,67,67,67,64,64,64,64,64,0,30
LIRCMOP6_BC,1,ref_only,30000,30207,136,122,1,0.41,122,0,0.00229081469259512,0.00740836158463512,122,30,2,0.00642951251646904,10.4918032786885,0.388779192030341,0.50931783774966,0,0.896621823048965,0.0491803278688525,0.509660005060605,1.43487262052253,zero,30,0,30,2,0.245901639344262,0.0134757096155877,0.0166016455528335,0,0.0191023268137648,NaN,0.266666666666667,-0.00778847371971536,0.0975609756097561,0.0140799689905003,0.0219434881647158,0.0219434881647158,NaN,0.0666666666666667,400,117,634,634,441,193,276,64,74,47,4969,1,141,141,141,141,122,122,122,122,122,0,30
LIRCMOP6_BC,1,ref_only,50000,50217,223,172,1,0.58,172,0,0.00176721572684998,0.0068422732028294,172,30,2,0.00906455862977602,7.44186046511628,0.432004176211656,0.749046219316038,0,1,0.0872093023255814,0.726969467395944,1.53485117402006,zero,30,0,30,5,0.174418604651163,0.0044354392075381,0.0121845355396905,0,0.0209869114141965,NaN,0.6,0.0063011033311649,0.0689655172413793,0.0121145752063142,0.0212885982890248,0.0212885982890248,NaN,0.166666666666667,400,191,782,782,470,312,344,65,100,65,11280,1,195,195,195,192,172,172,172,172,172,0,30
LIRCMOP6_BC,1,ref_only,70000,70227,310,192,1,0.64,192,0,0.00122129943579917,0.00399458710042871,192,30,2,0.0101185770750988,6.66666666666667,0.496506047151792,0.777577576799617,0,1,0.171875,0.651386087638766,1.31013857688114,zero,30,0,30,1,0.15625,0.00565826282307002,0.0110508084296927,0,0.0333415467466371,NaN,0.733333333333333,0.0223162971907732,0.03125,0.0170595222386884,0.0374730936160463,0.0374730936160463,NaN,0.0333333333333333,400,207,814,814,476,338,352,71,100,71,11759,0,213,213,213,213,192,192,192,192,192,0,30
LIRCMOP6_BC,1,ref_only,100000,100127,440,60,1,0.2,60,0,0.0029760240312982,0.00505955224877973,60,30,2,0.00316205533596838,21.3333333333333,0.372762603322028,0.784707932828581,0,0.797937154674063,0.2,0.863635012004049,4.55445553226622,zero,30,0,30,19,0.5,0.0214434360190947,0.0568892341672308,0,0.0587584686667403,NaN,0.466666666666667,-0.00301825822867691,0.5,0.0333441302771303,0.0591130991737991,0.0591130991737991,NaN,0.633333333333333,400,63,526,526,363,163,188,27,93,24,4235,0,72,72,72,72,60,60,60,60,60,0,30
LIRCMOP7_BC,1,ref_only,10000,10133,46,107,1,0.37,107,0,0.00818699939052085,0.0189313701022904,107,30,2,0.00563899868247694,11.9626168224299,0.261786763217276,0.365569285849461,-0,0.865967776848488,0.205607476635514,0.603926903875161,3.86696002262744,zero,30,0,30,0,0.280373831775701,0.0170800342610478,0.022898140911173,0,0.0277534723954493,NaN,0.633333333333333,0.00494466960723725,0,0.0208924131252393,0.0315183434486786,0.0315183434486786,NaN,0,400,70,540,540,386,154,191,46,100,46,2588,29,138,138,138,133,107,107,107,107,107,0,30
LIRCMOP7_BC,1,ref_only,30000,30143,133,144,1,0.48,144,0,0.00197762489616727,0.00441510178727648,144,30,2,0.00758893280632411,8.88888888888889,0.20325310305282,0.321330527808731,-0,0.579280930025148,0.104166666666667,0.415076841749056,1.80610342442959,zero,30,0,30,4,0.208333333333333,0.0210276972028012,0.0224997121905381,0,0.0310438607046102,NaN,0.366666666666667,-0.0115646890196451,0.104166666666667,0.02612290513723,0.0310660840011256,0.0310660840011256,NaN,0.133333333333333,400,144,688,688,371,317,271,50,100,50,9012,2,150,150,150,150,144,144,144,144,144,0,30
LIRCMOP7_BC,1,ref_only,50000,50153,220,106,1,0.36,106,0,0.000419516155858088,0.00197247395028377,106,30,2,0.0055862977602108,12.0754716981132,0.28887739048712,0.398165560189087,0,1,0.19811320754717,0.346550722571873,0.687956136154248,zero,30,0,30,9,0.283018867924528,0.00414560872454197,0.00808117437300001,0,0.00829244417303345,NaN,0.966666666666667,0.0342089808292899,0.138888888888889,0.00988787937106431,0.0161261482669548,0.0161261482669548,NaN,0.3,400,108,616,616,390,226,251,53,91,44,6579,16,132,132,132,132,106,106,106,106,106,0,30
LIRCMOP7_BC,1,ref_only,70000,70163,307,57,1,0.19,57,0,0.00173540274128052,0.00647021815944769,57,30,2,0.00300395256916996,22.4561403508772,0.355894533346407,0.472241919662088,0,1,0.210526315789474,0.803485209913655,2.22916694634416,zero,21,9,30,0,0.526315789473684,0.0128841378263697,0.0183618218848817,0,0.0292706868650259,NaN,0.1,-0.0694355566255095,0,0.0226202273592272,0.0353405664800135,0.0338576275718657,0.037142241368186,0,400,57,514,514,375,139,208,47,50,22,4140,10,60,60,60,60,57,57,57,57,57,0,30
LIRCMOP7_BC,1,ref_only,100000,100063,437,167,1,0.56,167,0,0.0016290734344165,0.00600843651110723,167,30,2,0.00880105401844532,7.66467065868263,0.466936657059775,0.889882860151883,-0,1,0.0898203592814371,0.73435872653231,1.16033313451086,zero,30,0,30,4,0.179640718562874,0.00584892442543607,0.0139295093719747,0,0.0332185824074218,NaN,0.6,0.030436979578651,0.0892857142857143,0.0210882983323728,0.0337453094210827,0.0337453094210827,NaN,0.133333333333333,400,178,756,756,381,375,294,66,100,66,13230,0,198,198,198,198,167,167,167,167,167,0,30
LIRCMOP8_BC,1,ref_only,10000,10116,47,37,1,0.13,37,0,0.00955828341741024,0.034983277122477,37,30,2,0.00194993412384717,34.5945945945946,0.24592217513898,0.479472189619976,0.329490864186667,0.904489483437249,0.432432432432432,0.713151251918807,5.23511010949374,zero,30,0,30,30,0.810810810810811,0.0725553873736859,0.0859599278595595,0,0.0924994033922253,NaN,0.866666666666667,0.02653851360086,0.538461538461538,0.0877952335489209,0.0950756902276244,0.0950756902276244,NaN,1,400,21,442,442,365,77,151,33,81,22,824,111,43,43,43,40,37,37,37,37,37,0,30
LIRCMOP8_BC,1,ref_only,30000,30126,134,27,1,0.09,27,0,0.0028053188646621,0.00622617628958853,27,30,2,0.00142292490118577,40,0.230729955063728,0.371511287805773,-0,0.897368442736804,0.222222222222222,0.508639658336359,3.21980476994458,zero,30,0,30,4,1.11111111111111,0.0135472895149582,0.0320239785703688,0,0.0333136163748669,NaN,0.8,0.066820585270724,0.222222222222222,0.0380995306589406,0.041521009417046,0.041521009417046,NaN,0.133333333333333,400,24,448,448,366,82,165,32,71,12,1146,25,33,33,33,33,27,27,27,27,27,0,30
