problem,run,target_FE,actual_FE,gen,figure_file
LIRCMOP5_BC,1,10000,10013,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP5_BC,1,30000,30023,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP5_BC,1,50000,50033,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP5_BC,1,70000,70043,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE070000_train_reconstruction.png
LIRCMOP5_BC,1,100000,100173,439,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE100000_train_reconstruction.png
LIRCMOP6_BC,1,10000,10197,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP6_BC,1,30000,30207,136,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP6_BC,1,50000,50217,223,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP6_BC,1,70000,70227,310,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE070000_train_reconstruction.png
LIRCMOP6_BC,1,100000,100127,440,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE100000_train_reconstruction.png
LIRCMOP7_BC,1,10000,10133,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP7_BC,1,30000,30143,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP7_BC,1,50000,50153,220,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP7_BC,1,70000,70163,307,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE070000_train_reconstruction.png
LIRCMOP7_BC,1,100000,100063,437,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE100000_train_reconstruction.png
LIRCMOP8_BC,1,10000,10116,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP8_BC,1,30000,30126,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP8_BC,1,50000,50136,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP8_BC,1,70000,70146,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE070000_train_reconstruction.png
LIRCMOP8_BC,1,100000,100046,438,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE100000_train_reconstruction.png
LIRCMOP9_BC,1,10000,10051,45,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP9_BC,1,30000,30228,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP9_BC,1,50000,50008,219,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_confirm_epoch20_ABCD_LIR6_run1_20260624_122052/B_ref_only_adv_huber_default_epoch20/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE050000_train_reconstruction.png
