problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP5_BC,1,ref_tau,10000,10013,47,111,1,0.38,111,0,0.00328466379927019,0.00845913593672958,111,30,3,0.00581060566403183,28.8288288288288,0.33884232858465,0.463143349085151,0,0.589404397922705,0.117117117117117,0.384490256565566,0.618040927384516,zero,23,7,30,17,0.27027027027027,0.00671177830997048,0.0132817126173059,0,0.0136158036309239,NaN,0.533333333333333,0.0018264624285371,0.210526315789474,0.0070476098312832,0.0136221444843416,0.013399261648244,0.0133824022939954,0.566666666666667,400,93,586,586,439,147,190,51,81,44,3325,0,130,130,130,130,111,111,111,111,111,0,30
LIRCMOP5_BC,1,ref_tau,30000,30023,134,39,1,0.13,39,0,0.00134423591458901,0.00698750846631643,39,30,3,0.0020415641522274,82.0512820512821,0.279593914123295,0.43669197656529,0,0,0,0.375623798868311,0.673820956184403,zero,5,25,30,2,0.769230769230769,0.00609673351053125,0.0088722671576179,0,0.0107806086012808,NaN,0.466666666666667,-0.000105125324487865,0.230769230769231,0.00728118549751986,0.0108934691849057,0.00876040913335329,0.0110063297685306,0.0666666666666667,400,51,502,502,389,113,170,46,21,14,6462,0,42,42,42,42,39,39,39,39,39,0,30
LIRCMOP5_BC,1,ref_tau,50000,50033,221,132,1,0.44,132,0,0.00435001739567124,0.0130410802655757,132,30,3,0.00690990943830812,24.2424242424242,0.460473881695603,0.997505841438675,0,0.389810834941744,0.0454545454545455,0.728159980107167,1.02091571502874,zero,30,0,30,12,0.227272727272727,0.0083913304060736,0.02535539208847,0,0.02535539208847,NaN,0.566666666666667,0.00811204311909652,0.295454545454545,0.0155109830722574,0.0257871343781348,0.0257871343781348,NaN,0.4,400,129,658,658,353,305,248,50,100,50,8149,15,150,150,150,150,132,132,132,132,132,0,30
LIRCMOP5_BC,1,ref_tau,70000,70043,308,59,1,0.2,59,0,0.0223015695377716,0.0535241166179663,59,30,3,0.00308852012772863,54.2372881355932,0.141417068443585,0.238279737157364,0.187688899753664,0.98336843343302,0.847457627118644,0.225117694936446,0.690332869098691,zero,30,0,30,4,0.508474576271186,0.00201410115558303,0.00233725631901736,0,0.00475527866868149,NaN,0.833333333333333,0.0189905014253576,0.3,0.0040267165129713,0.00585084075576657,0.00585084075576657,NaN,0.133333333333333,400,47,494,494,307,187,214,40,100,40,3904,1101,72,72,72,59,59,59,59,59,59,0,30
LIRCMOP5_BC,1,ref_tau,100000,100173,439,53,1,0.18,53,0,0.00701507940522652,0.0153384441571459,53,30,3,0.00277443333507826,60.377358490566,0.129918441742965,0.304405108673516,0.256556428545994,0.673348512444318,0.566037735849057,0.163771224382833,0.114421058046997,zero,30,0,30,16,0.566037735849057,0.00759942539212751,0.073716452000174,0,0.0973690162193721,NaN,1,0.148057276021319,0.111111111111111,0.011472022441555,0.103252394547725,0.103252394547725,NaN,0.533333333333333,400,63,526,526,325,201,257,72,100,72,4941,2218,93,93,93,73,53,53,53,53,53,0,30
LIRCMOP6_BC,1,ref_tau,10000,10021,48,51,1,0.18,51,0,0.00465995847091758,0.0130776305454401,51,30,3,0.00266973773752814,62.7450980392157,0.341075929861569,0.490737504104531,0,1,0.117647058823529,0.447827222205866,3.06839722812857,zero,25,5,30,30,0.588235294117647,0.0109314123843763,0.062410320785617,0,0.0767060794705117,NaN,0.566666666666667,0.00418204639877101,0.944444444444444,0.0202575433365865,0.0767060794705117,0.0581083061564382,0.0953038527845852,1,400,45,490,490,428,62,185,41,51,19,1046,0,53,53,53,53,51,51,51,51,51,0,30
LIRCMOP6_BC,1,ref_tau,30000,30031,135,102,1,0.35,102,0,0.00156709919905538,0.00628003697308303,102,30,3,0.00533947547505627,31.3725490196078,0.286624214961154,0.425353802111322,0,0.906542506043978,0.117647058823529,0.33966371136037,0.411231850203687,zero,15,15,30,0,0.294117647058824,0.00423214425350876,0.00588905106503022,0,0.00692045819138068,NaN,0.933333333333333,0.0831119062071378,0,0.00571007174932005,0.00787590500996804,0.00738481497158567,0.00790172226516928,0,400,97,594,594,445,149,276,68,66,42,3817,6,121,121,121,120,102,102,102,102,102,0,30
LIRCMOP6_BC,1,ref_tau,50000,50041,222,177,1,0.59,177,0,0.000988037310860088,0.00323367767314727,177,30,3,0.00926556038318589,18.0790960451977,0.403942620316852,0.695547722497315,0,1,0.101694915254237,0.718882672593143,1.11355662720074,zero,29,1,30,7,0.169491525423729,0.00758256991567616,0.0136978858131168,0,0.0369603751862587,NaN,0.533333333333333,0.00959610650555981,0.23728813559322,0.0119435492089793,0.0380365875246841,0.0382502497820216,0.00867198369930933,0.233333333333333,400,183,766,766,473,293,342,70,100,70,8548,1,210,210,210,210,177,177,177,177,177,0,30
LIRCMOP6_BC,1,ref_tau,70000,70051,309,75,1,0.25,75,0,0.000747683984976422,0.00226551370039264,75,30,3,0.00392608490812961,42.6666666666667,0.223355769945649,0.533222418919845,0,0.919624742791029,0.16,0.554471532014654,1.07395082110239,zero,30,0,30,7,0.4,0.00308425290435838,0.0120998318291693,0,0.0141792251095894,NaN,0.633333333333333,0.00546346770281489,0.24,0.0049373892298283,0.0168869940099117,0.0168869940099117,NaN,0.233333333333333,400,78,556,556,401,155,236,39,89,28,5103,0,84,84,84,84,75,75,75,75,75,0,30
LIRCMOP6_BC,1,ref_tau,100000,100181,440,87,1,0.29,87,0,0.0067686308832447,0.0251343147436662,87,30,3,0.00455425849343035,36.7816091954023,0.271476551707942,0.788272667564484,0.138074532195107,0.838600357379807,0.344827586206897,1.51190657647522,1.10513483762201,zero,30,0,30,1,0.344827586206897,0.0101396654975092,0.0161546680691447,0,0.0161546680691447,NaN,0.733333333333333,0.0298233684148326,0.0689655172413793,0.0128569114088508,0.0170354269778054,0.0170354269778054,NaN,0.0333333333333333,400,84,568,568,321,247,245,44,100,44,5189,1054,112,112,112,96,87,87,87,87,87,0,30
LIRCMOP7_BC,1,ref_tau,10000,10113,46,72,1,0.24,72,0,0.00731288310712803,0.020942778643395,72,30,3,0.00376904151180443,44.4444444444444,0.272121210508988,0.351690772260524,0,0.591619549346336,0.166666666666667,0.303996773854531,0.756213422105795,zero,30,0,30,6,0.416666666666667,0.00157934242121136,0.00365144098353006,0,0.00877389301389765,NaN,0.466666666666667,-0.00706241024846269,0.208333333333333,0.00530622204825654,0.0123501613109336,0.0123501613109336,NaN,0.2,400,67,534,534,376,158,158,35,94,31,2528,42,89,89,89,86,72,72,72,72,72,0,30
LIRCMOP7_BC,1,ref_tau,30000,30123,133,120,1,0.4,120,0,0.000827305314051332,0.00315725215390991,120,30,3,0.00628173585300738,26.6666666666667,0.197921069369884,0.317834014444584,0,0.63574416454659,0.1,0.261611423700164,0.25338808351307,zero,30,0,30,0,0.25,0.00355871437112924,0.00394193594865332,0,0.0050043349430891,NaN,0.5,2.00235129634713e-05,0,0.00482806880527862,0.00513187697076658,0.00513187697076658,NaN,0,400,132,664,664,414,250,305,50,100,50,7787,39,147,147,147,147,120,120,120,120,120,0,30
LIRCMOP7_BC,1,ref_tau,50000,50133,220,114,1,0.38,114,0,0.00061392383473573,0.00225008488531144,114,30,3,0.00596764906035701,28.0701754385965,0.269307666754045,0.372269652595072,-0,1,0.131578947368421,0.373374769892582,1.04673224595662,zero,30,0,30,5,0.263157894736842,0.0102279592045484,0.0138137651974861,0,0.0138137651974861,NaN,0.633333333333333,0.00634885540538138,0.131578947368421,0.0114260311596639,0.0168236490078853,0.0168236490078853,NaN,0.166666666666667,400,102,604,604,405,199,258,58,79,42,6033,8,123,123,123,123,114,114,114,114,114,0,30
LIRCMOP7_BC,1,ref_tau,70000,70143,307,117,1,0.39,117,0,0.000733080859244528,0.00299238291265169,117,30,3,0.0061246924566822,27.3504273504273,0.253052566752333,0.432458587988099,-0,0.977943968236331,0.179487179487179,0.475555752841895,1.06636319372544,zero,30,0,30,2,0.256410256410256,0.00424419675538784,0.00693540631493925,0,0.0112382602004634,NaN,0.233333333333333,-0.027812290792367,0.0769230769230769,0.00545993951820685,0.0115399523434331,0.0115399523434331,NaN,0.0666666666666667,400,147,694,694,429,265,302,53,100,53,8476,0,159,159,159,144,117,117,117,117,117,0,30
LIRCMOP7_BC,1,ref_tau,100000,100043,437,143,1,0.49,143,0,0.000643246109054363,0.00236713709655178,143,30,3,0.0074857352248338,22.3776223776224,0.265414430521521,0.830048065448685,0,0.725090212908898,0.104895104895105,0.744131078164271,0.54033141038357,zero,30,0,30,5,0.20979020979021,0.00127689218943064,0.00603285413199285,0,0.00688665372085781,NaN,0.633333333333333,0.032586590969737,0.142857142857143,0.00545649866086573,0.0069908596426166,0.0069908596426166,NaN,0.166666666666667,400,135,670,670,367,303,271,59,100,59,9726,0,177,177,177,174,143,143,143,143,143,0,30
