problem,run,condition_mode,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP7_BC,1,ref_only,1,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,2,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,3,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,4,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,20,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,5,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,6,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,7,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,22,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,8,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,9,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,25,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,10,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,22,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,11,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,34,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,12,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,25,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,13,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,35,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,14,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,66,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,15,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,54,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,16,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,81,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,17,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,60,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,18,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,58,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,19,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,77,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,20,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,84,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,21,0,0,NaN,0,0,NaN,NaN,0,0,2,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,zero,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,400,0,400,400,400,0,111,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LIRCMOP7_BC,1,ref_only,22,9,1,0.05,9,0,0.0145020184707789,0.0234423274938869,9,13,2,0.00236406619385343,40,0.353864235049421,0.375669277689514,0.0946050165688271,0.207555982135543,0.444444444444444,1.39109208242164,23.5950391267697,zero,5,8,13,13,1.44444444444444,0.337468874746289,0.339296213172293,0,0.345367865311696,248.848801524132,0.153846153846154,-0.0425037690982184,1,0.342866147616873,0.345315518396061,0.3437156344873,0.345597012302571,1,400,0,400,400,398,2,117,48,14,7,14,0,12,12,12,11,9,9,9,9,9,0,13
LIRCMOP7_BC,1,ref_only,23,18,1,0.07,18,0,0.0118241993723949,0.0180142817260108,18,30,2,0.00472813238770686,35.5555555555556,0.299568657419735,0.367391857814737,-0,0.207555982135543,0.166666666666667,1.29153072148093,19.4759515859339,zero,16,14,30,30,1.66666666666667,0.269036288589298,0.275227943207896,0,0.284708688625108,NaN,0.6,0.0251169837238889,1,0.275615193383595,0.284892523360831,0.281492592135128,0.286269839819648,1,400,9,418,418,406,12,191,53,24,9,147,0,24,24,24,24,18,18,18,18,18,0,30
LIRCMOP7_BC,1,ref_only,24,28,1,0.1,28,0,0.0133583141987216,0.0185420050321832,28,30,2,0.00735487260309955,22.8571428571429,0.280333653677575,0.367391857814737,0,0.207555982135543,0.107142857142857,1.21029051317889,16.7934637725939,zero,17,13,30,30,1.07142857142857,0.222659731931988,0.232557919135353,0,0.243727793210916,NaN,0.8,0.0691786817276125,1,0.227812878976642,0.245765432050182,0.243610631516245,0.248878647408395,1,400,18,436,436,413,23,134,49,29,11,312,0,29,29,29,29,28,28,28,28,28,0,30
LIRCMOP7_BC,1,ref_only,25,40,1,0.14,40,0,0.0097281301266909,0.0202159096236968,40,30,2,0.0105069608615708,16,0.333522365786499,0.375065902492741,0.0274291892936625,0.56543348565679,0.25,1.12797446517812,11.5347025379626,zero,14,16,30,30,0.75,0.158191572914017,0.164422687903902,0,0.172310361729916,NaN,0.533333333333333,0.00190500585359421,1,0.16065389479389,0.172923321300676,0.174403752107584,0.171603578075482,1,400,28,456,456,421,35,156,50,29,14,557,0,41,41,41,41,40,40,40,40,40,0,30
LIRCMOP7_BC,1,ref_only,26,42,1,0.14,42,0,0.0132316635199202,0.0199957635878878,42,30,2,0.0110323089046493,15.2380952380952,0.321440613267628,0.409452318824868,-0,0.251263895369214,0.142857142857143,1.04310983219289,8.29828251484095,zero,17,13,30,30,0.714285714285714,0.133727964240722,0.137597994088194,0,0.146936791321856,NaN,0.766666666666667,0.0178072909034241,1,0.136752132068239,0.148332873941115,0.144082692517169,0.150423653592199,1,400,40,480,480,433,47,150,44,31,14,674,0,42,42,42,42,42,42,42,42,42,0,30
LIRCMOP7_BC,1,ref_only,27,45,1,0.15,45,0,0.00863865002181358,0.0137113670537811,45,30,2,0.0118203309692671,14.2222222222222,0.32967447731681,0.375065902492741,-0,0.351173292718445,0.133333333333333,1.01673362444225,7.03953329857438,zero,15,15,30,30,0.666666666666667,0.110236933988231,0.11422893948975,0,0.120757662860211,NaN,0.566666666666667,0.00952099925268601,1,0.112531762379075,0.121118725865366,0.120777682432454,0.121459769298279,1,400,42,484,484,428,56,147,48,30,15,825,0,45,45,45,45,45,45,45,45,45,0,30
LIRCMOP7_BC,1,ref_only,28,64,1,0.25,64,0,0.00786993295333207,0.0234389542094398,64,30,2,0.0168111373785133,10,0.264164999627489,0.380747484153703,0,0.801252968893321,0.21875,1.016011851329,6.33032397400216,zero,23,7,30,30,0.46875,0.0830994923646382,0.0842378698950708,0,0.090920326071749,NaN,0.733333333333333,0.015504608423182,0.76,0.0878543286637096,0.0915308525293329,0.0913975270213785,0.0919642715592596,1,400,45,490,490,431,59,162,50,47,25,1159,0,64,64,64,64,64,64,64,64,64,0,30
LIRCMOP7_BC,1,ref_only,29,69,1,0.23,69,0,0.00794436913531551,0.0180065910520952,69,30,2,0.0181245074862096,9.27536231884058,0.261513759860725,0.375065902492741,-0,0.36117868505948,0.0579710144927536,0.906317739016939,4.64928561859813,zero,21,9,30,30,0.434782608695652,0.0648370787779002,0.0669789538351391,0,0.0821515178091275,NaN,0.633333333333333,0.0228424012163972,0.869565217391304,0.0709774091167782,0.083008251167632,0.0833913928351589,0.0818952020401885,1,400,64,528,528,441,87,188,49,49,24,1959,0,72,72,72,72,69,69,69,69,69,0,30
LIRCMOP7_BC,1,ref_only,30,79,1,0.27,79,0,0.00539474670261183,0.0154062515434326,79,30,2,0.0207512477016023,8.10126582278481,0.252013352876402,0.430000019436256,0,0.840189913573549,0.0886075949367089,1.01536279540496,6.34813375174808,zero,26,4,30,30,0.379746835443038,0.0789909257699059,0.0802461919185189,0,0.0985475334350746,NaN,0.366666666666667,-0.0108519657945075,0.851851851851852,0.0848406480386648,0.0990210974929221,0.0977482504146742,0.0999667369196376,1,400,69,538,538,438,100,228,53,57,28,1895,0,81,81,81,81,79,79,79,79,79,0,30
LIRCMOP7_BC,1,ref_only,31,81,1,0.27,81,0,0.00533178778399926,0.0124662533537954,81,30,2,0.0212765957446809,7.90123456790123,0.295249491488469,0.379478250776314,0,0.696802491106197,0.0987654320987654,1.02371864946931,6.10399202130137,zero,18,12,30,30,0.37037037037037,0.0859659739301777,0.0974767158086058,0,0.116677419228688,NaN,0.366666666666667,-0.0143141946083101,0.740740740740741,0.0937120100721243,0.117236949081841,0.116398870868159,0.118459185169272,1,400,79,558,558,441,117,245,56,55,32,2436,0,96,96,96,96,81,81,81,81,81,0,30
LIRCMOP7_BC,1,ref_only,32,87,1,0.29,87,0,0.00494698655460504,0.0117498431420098,87,30,2,0.0228526398739165,7.35632183908046,0.294810857648165,0.409270385384742,-0,0.628459362696361,0.0804597701149425,0.928108072479254,7.9672529835144,zero,17,13,30,30,0.344827586206897,0.119724577141948,0.129037912943247,0,0.158532800877153,NaN,0.566666666666667,0.00104488760121207,0.724137931034483,0.132019644706081,0.159130571715686,0.15825588641336,0.159924261257503,1,400,81,562,562,446,116,158,56,59,37,2443,0,108,108,108,108,87,87,87,87,87,0,30
