problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP5_BC,1,ref_only,10000,10013,47,109,1,0.37,109,0,0.00453528996602022,0.011064847920723,109,30,2,0.0286314683477804,5.87155963302752,0.266132665187827,0.471640823145073,0,0.756990190184902,0.0642201834862385,0.449704199129565,1.5035507970718,zero,23,7,30,30,0.275229357798165,0.00686254735266311,0.0100154416427038,0,0.0271324942317609,NaN,0.5,0.00012021821935107,0.756756756756757,0.0187705327986809,0.02770102405563,0.0266784849168951,0.0290772773040502,1,400,102,604,604,461,143,248,59,69,42,3812,0,125,125,125,125,109,109,109,109,109,0,30
LIRCMOP5_BC,1,ref_only,30000,30023,134,45,1,0.15,45,0,0.000550884691103306,0.00377428381584882,45,30,2,0.0118203309692671,14.2222222222222,0.19711236532009,0.348798068837222,-0,0.839083332592345,0.0666666666666667,0.268765169960481,0.997974607753633,zero,8,22,30,4,0.666666666666667,0.00702896604548629,0.00868492291132389,0,0.0144990132181109,NaN,0.666666666666667,0.0282839106446747,0.133333333333333,0.00941189081109947,0.0147873628389614,0.0152572521079711,0.0145741203263379,0.133333333333333,400,49,498,498,378,120,166,47,27,18,6119,3,54,54,54,54,45,45,45,45,45,0,30
LIRCMOP5_BC,1,ref_only,50000,50033,221,132,1,0.44,132,0,0.00399848325748038,0.0123781184296065,132,30,2,0.0346729708431836,4.84848484848485,0.372863678064058,0.974665124514793,0,1,0.181818181818182,0.628516731498742,1.61371800361243,zero,30,0,30,26,0.227272727272727,0.0385546355789598,0.0562267020792436,0,0.0563807808146126,NaN,0.7,0.0436833965211476,0.0454545454545455,0.0429152564686076,0.0606005989851605,0.0606005989851605,NaN,0.866666666666667,400,139,678,678,342,336,232,48,100,48,8851,9,144,144,144,141,132,132,132,132,132,0,30
LIRCMOP5_BC,1,ref_only,70000,70043,308,109,1,0.38,109,0,0.0328430437733366,0.0866625015993521,109,30,2,0.0286314683477804,5.87155963302752,0.204685345611739,0.508176254634554,0.274747544500232,0.949947991867036,0.724770642201835,0.216714760100109,0.626835229408469,zero,30,0,30,11,0.275229357798165,0.000716070497614701,0.00543954812392444,0,0.00543954812392444,NaN,0.633333333333333,0.0168599293505332,0.184210526315789,0.000975661014011551,0.00826226064855362,0.00826226064855362,NaN,0.366666666666667,400,97,594,594,368,226,278,54,100,54,7719,2461,126,126,126,109,109,109,109,109,109,0,30
LIRCMOP5_BC,1,ref_only,100000,100173,439,60,1,0.2,60,0,0.00561539001236282,0.0100534154177686,60,30,2,0.0157604412923562,10.6666666666667,0.129158533193325,0.251127431516162,0.363324375969766,0.843969553897311,0.6,0.125960800491053,0.303215927815018,zero,30,0,30,1,0.5,0.00169709903326161,0.00386484475234779,0,0.00386484475234779,NaN,1,0.139312198906624,0.1,0.00226058902338636,0.00411563873651972,0.00411563873651972,NaN,0.0333333333333333,400,64,528,528,334,194,250,68,100,68,4672,1930,103,103,103,84,60,60,60,60,60,0,30
LIRCMOP6_BC,1,ref_only,10000,10039,48,43,1,0.15,43,0,0.00365718117022242,0.00961861549769101,43,30,2,0.0112949829261886,14.8837209302326,0.285278136239787,0.407747962720677,0,0.919375683035168,0.13953488372093,1.22081316444206,11.0053811425056,zero,25,5,30,30,0.697674418604651,0.159238439621325,0.181422524147688,0,0.187306284116665,NaN,0.566666666666667,0.00812889194037236,0.8,0.159823912366271,0.187622620066679,0.185944978383342,0.192703801102282,1,400,42,484,484,432,52,198,53,46,20,1071,0,55,55,55,55,43,43,43,43,43,0,30
LIRCMOP6_BC,1,ref_only,30000,30049,135,138,1,0.46,138,0,0.00175435474963597,0.00409975950388018,138,30,2,0.0362490149724192,4.63768115942029,0.304648830520491,0.457693916847678,0,1,0.036231884057971,0.349391531318082,0.515664723493402,zero,30,0,30,8,0.217391304347826,0.00281462084845227,0.00703242786697005,0,0.00909677599153329,NaN,0.733333333333333,0.0173634660625454,0.173913043478261,0.00817700060542171,0.00958898643668452,0.00958898643668452,NaN,0.266666666666667,400,147,694,694,441,253,291,68,84,54,8280,36,156,156,156,153,138,138,138,138,138,0,30
LIRCMOP6_BC,1,ref_only,50000,50059,222,178,1,0.6,178,0,0.00123361158013637,0.0039176699918086,178,30,2,0.04675597583399,3.59550561797753,0.296323793334241,0.521195681163923,0,1,0.202247191011236,0.445745856265821,0.678166455473268,zero,30,0,30,6,0.168539325842697,0.00322815270842028,0.00773027722361639,0,0.0122289090201053,NaN,0.6,0.0194864555627979,0.0666666666666667,0.00428157633304532,0.0129600022128676,0.0129600022128676,NaN,0.2,400,189,778,778,478,300,337,68,100,68,8465,4,204,204,204,198,178,178,178,178,178,0,30
LIRCMOP6_BC,1,ref_only,70000,70069,309,192,1,0.64,192,0,0.00205348520833237,0.00590735930334103,192,30,2,0.0504334121355398,3.33333333333333,0.395507188203782,0.819003272151132,0,1,0.171875,0.568534269852332,1.19444135401348,zero,15,15,30,10,0.15625,0.00335448382239002,0.014096323762674,0,0.0187874489937849,NaN,0.633333333333333,0.0240529744510959,0.09375,0.0134326282937229,0.0239571039778337,0.0246247139542226,0.0219806618062852,0.333333333333333,400,178,756,756,429,327,327,78,90,73,10634,6,218,218,218,213,192,192,192,192,192,0,30
LIRCMOP6_BC,1,ref_only,100000,100199,440,59,1,0.21,59,0,0.0182663984084783,0.0693613991882604,59,30,2,0.0154977672708169,10.8474576271186,0.122877389798328,0.25568069723258,0.377799652203655,0.575606528269223,0.745762711864407,0.604483027723658,2.55201609689851,zero,30,0,30,5,0.508474576271186,0.0166193928645738,0.0279418675985759,0,0.0583902487977741,NaN,0.633333333333333,0.00329540311727,0.0952380952380952,0.020170967047595,0.0633699236508628,0.0633699236508628,NaN,0.166666666666667,400,51,502,502,313,189,218,60,92,59,4647,1915,80,80,80,64,59,59,59,59,59,0,30
