problem,run,target_FE,actual_FE,gen,figure_file
LIRCMOP5_BC,1,10000,10014,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP5_BC,1,30000,30024,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP5_BC,1,50000,50034,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP5_BC,1,70000,70044,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE070000_train_reconstruction.png
LIRCMOP5_BC,1,100000,100174,439,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE100000_train_reconstruction.png
LIRCMOP6_BC,1,10000,10019,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP6_BC,1,30000,30029,135,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP6_BC,1,50000,50039,222,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP6_BC,1,70000,70049,309,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE070000_train_reconstruction.png
LIRCMOP6_BC,1,100000,100179,440,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE100000_train_reconstruction.png
LIRCMOP7_BC,1,10000,10135,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP7_BC,1,30000,30145,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP7_BC,1,50000,50155,220,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP7_BC,1,70000,70165,307,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE070000_train_reconstruction.png
LIRCMOP7_BC,1,100000,100065,437,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE100000_train_reconstruction.png
LIRCMOP8_BC,1,10000,10116,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP8_BC,1,30000,30126,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_compact_epoch20_pair6/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE030000_train_reconstruction.png
