problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP5_BC,1,ref_tau,10000,10014,47,186,1,0.32,186,0,0.00404256364981225,0.00888741536119122,186,30,3,0.0480495995866701,6.88172043010753,0.282505262237335,0.371537590871002,0,0.789477767538122,0.102150537634409,1.02406318198835,7.64509041913874,zero,30,0,30,30,0.161290322580645,0.111530944971561,0.132020818040709,0,0.148868447672012,NaN,0.633333333333333,0.0152427482213855,0.78125,0.119895448418512,0.149847045445409,0.149847045445409,NaN,1,400,188,776,776,535,241,303,43,81,33,7103,0,198,198,198,195,186,186,186,186,186,0,30
LIRCMOP5_BC,1,ref_tau,30000,30024,134,177,1,0.31,177,0,0.0011523109112082,0.00455331532931046,177,30,3,0.0457246189615087,7.2316384180791,0.225436728052183,0.36793798201232,0,1,0.203389830508475,0.25551286264156,0.408488618995382,zero,30,0,30,3,0.169491525423729,0.00013527281708278,0.00201984484851812,0,0.00223894561783084,NaN,1,0.0555385033294814,0.161290322580645,0.00207462073371025,0.00251677714847497,0.00251677714847497,NaN,0.1,400,216,832,832,528,304,367,64,66,37,18142,37,205,205,205,203,177,177,177,177,177,0,30
LIRCMOP5_BC,1,ref_tau,50000,50034,221,244,1,0.41,244,0,0.00318109597049025,0.0108100019609187,244,30,3,0.0630328080599328,5.24590163934426,0.297057763872365,0.57412499705618,0,1,0.188524590163934,0.319209085334502,0.704787891920231,zero,20,10,30,6,0.122950819672131,0.000372150303951084,0.0105116271235333,0,0.0107255122705166,NaN,0.4,-0.0025534765742424,0.0731707317073171,0.00276083721610657,0.0107256210648873,0.0102656344762058,0.0108323014542543,0.2,400,226,852,852,536,316,351,54,66,43,17149,51,258,258,258,258,244,244,244,244,244,0,30
LIRCMOP5_BC,1,ref_tau,70000,70044,308,102,1,0.17,102,0,0.00225611640046894,0.00823060176097702,102,30,3,0.0263497804184965,12.5490196078431,0.127713378572459,0.650875465324987,0.0961662061212801,0.955789019035967,0.294117647058824,0.833601810253812,2.9913029268498,zero,30,0,30,7,0.294117647058824,0.0117980318618283,0.0374863691594089,0,0.0402401478541462,NaN,0.7,0.00996071658315043,0.117647058823529,0.0348360352541706,0.0637629087620817,0.0637629087620817,NaN,0.233333333333333,400,108,616,616,323,293,224,25,100,25,11048,156,144,144,144,140,102,102,102,102,102,0,30
LIRCMOP5_BC,1,ref_tau,100000,100174,439,96,1,0.17,96,0,0.0106847701015896,0.0474567699828464,96,30,3,0.0247997933350555,13.3333333333333,0.150294520750191,0.352124848537117,0.269231849284395,0.752615857629104,0.6875,0.177922560984155,0.946347263927592,zero,30,0,30,5,0.3125,0.0135958121192741,0.0348114129430195,0,0.0655384194357139,NaN,1,0.0564342596253969,0.176470588235294,0.0412845013528335,0.0662024654874125,0.0662024654874125,NaN,0.166666666666667,400,93,586,586,354,232,271,64,100,64,6779,2274,161,161,161,134,96,96,96,96,96,0,30
LIRCMOP6_BC,1,ref_tau,10000,10019,48,88,1,0.16,88,0,0.00288206732665556,0.00684507297517441,88,30,3,0.0227331438904676,14.5454545454545,0.311861964003103,0.497807892219443,0,0,0,1.3583597475372,29.8199321128199,zero,28,2,30,30,0.340909090909091,0.443721156899536,0.473090488629718,0,0.474282544267676,NaN,0.466666666666667,-0.00661195373493606,0.8125,0.446276047753411,0.474559721511791,0.47627281536434,0.440748011086603,1,400,77,554,554,461,93,177,43,57,20,2085,0,112,112,112,112,88,88,88,88,88,0,30
LIRCMOP6_BC,1,ref_tau,30000,30029,135,217,1,0.37,217,0,0.00178071003171741,0.00562322404860099,217,30,3,0.0560578661844485,5.89861751152074,0.347474169255387,0.522581657290017,0,0.945430011639174,0.170506912442396,0.504913756301457,0.897074982040489,zero,30,0,30,13,0.138248847926267,0.0128030479898451,0.0228059414406701,0,0.0228059414406701,NaN,0.7,0.0316687609358099,0.135135135135135,0.0166663248965542,0.028773054641403,0.028773054641403,NaN,0.433333333333333,400,228,856,856,556,300,398,69,75,48,14322,48,256,256,256,256,217,217,217,217,217,0,30
LIRCMOP6_BC,1,ref_tau,50000,50039,222,260,1,0.44,260,0,0.00168133450448556,0.00599009620504816,260,30,3,0.0671661069491088,4.92307692307692,0.367787505814182,0.70013272564338,-0,1,0.115384615384615,0.663161615080274,2.66177661609742,zero,30,0,30,7,0.115384615384615,0.00364863354345406,0.00964989840187514,0,0.0245402986692088,NaN,0.6,0.00592864283325922,0.227272727272727,0.0159422840583579,0.025792104764142,0.025792104764142,NaN,0.233333333333333,400,265,930,930,548,382,368,50,99,50,20973,0,300,300,300,294,260,260,260,260,260,0,30
LIRCMOP6_BC,1,ref_tau,70000,70049,309,88,1,0.15,88,0,0.000997072070232928,0.00548860934668378,88,30,3,0.0227331438904676,14.5454545454545,0.205383482726508,0.471323497533187,0,0.959007157850317,0.204545454545455,0.597899149911891,0.788987006606691,zero,30,0,30,5,0.340909090909091,0.0131349563703526,0.0210080964518863,0,0.0233586417175529,NaN,0.966666666666667,0.021794963826604,0.133333333333333,0.0167877799415325,0.0238823949632849,0.0238823949632849,NaN,0.166666666666667,400,90,580,580,397,183,230,16,96,16,12664,0,96,96,96,96,88,88,88,88,88,0,30
LIRCMOP6_BC,1,ref_tau,100000,100179,440,78,1,0.13,78,0,0.00311067824291711,0.00614879196280549,78,30,3,0.0201498320847326,16.4102564102564,0.168299759626595,0.505405789892739,0.00804790565188015,0.683760408207881,0.307692307692308,0.320563050886953,0.601011605669733,zero,30,0,30,3,0.384615384615385,0.00126728456891656,0.00229541121017156,0,0.00406086600998916,NaN,1,0.0409311754212142,0.153846153846154,0.003544377817441,0.00554518424244766,0.00554518424244766,NaN,0.1,400,90,580,580,314,266,248,27,100,27,10338,745,108,108,108,106,78,78,78,78,78,0,30
LIRCMOP7_BC,1,ref_tau,10000,10135,46,186,1,0.31,186,0,0.00428093153359271,0.0068462107293739,186,30,3,0.0480495995866701,6.88172043010753,0.304495535207262,0.505682427285215,0,0.584812067850643,0.0645161290322581,0.783219145882122,4.71078023954342,zero,30,0,30,30,0.161290322580645,0.0674437720459659,0.0682487224143832,0,0.0958769789557127,NaN,0.233333333333333,-0.0407070123084778,0.645161290322581,0.0864403375998227,0.0962931031619614,0.0962931031619614,NaN,1,400,192,784,784,505,279,297,45,100,45,7709,28,255,255,255,239,186,186,186,186,186,0,30
LIRCMOP7_BC,1,ref_tau,30000,30145,133,326,1,0.55,326,0,0.00123152126193078,0.00391828419491391,326,30,3,0.0842159648669594,3.92638036809816,0.172320160443822,0.357112637793717,0,0.734093281535222,0.098159509202454,0.274731494591022,0.363842292051265,zero,30,0,30,2,0.0920245398773006,0.00096984083048241,0.00180712990581581,0,0.00381395374807878,NaN,0.2,-0.0557948806886776,0.0363636363636364,0.00288733410339476,0.00613455497287442,0.00613455497287442,NaN,0.0666666666666667,400,298,996,996,525,471,428,60,100,60,21995,15,360,360,360,357,326,326,326,326,326,0,30
