problem,run,condition_mode,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
LIRCMOP5_BC,1,ref_tau,10000,10013,47,99,1,0.33,99,0,0.00330219652027332,0.00661900369707361,99,30,3,0.025574786876776,12.9292929292929,0.326914252209906,0.446320289432445,-0,0.837915711715628,0.121212121212121,0.72240020148502,2.58434529470738,random,25,5,30,30,0.303030303030303,0.0362364843918381,0.0384085240776288,0,0.0455124814765181,NaN,0.733333333333333,0.0262238562312271,0.636363636363636,0.0390202613688251,0.0463238337327425,0.0451604623465779,0.047487205118907,1,400,95,590,590,451,139,232,53,77,38,3115,0,112,112,112,112,99,99,99,99,99,0,30
LIRCMOP5_BC,1,ref_tau,30000,30023,134,129,1,0.43,129,0,0.00103049644460381,0.00431704394763988,129,30,3,0.0333247222939809,9.92248062015504,0.26759483804527,0.440393825824359,0,1,0.209302325581395,0.326530928887595,0.509484049515044,random,30,0,30,6,0.232558139534884,0.00244534409797715,0.00368655482754938,0,0.00372240417831786,NaN,0.733333333333333,0.00892129344707077,0.0465116279069767,0.0029149895759391,0.0127247488264746,0.0127247488264746,NaN,0.2,400,115,630,630,406,224,255,56,95,51,5349,21,152,152,152,149,129,129,129,129,129,0,30
LIRCMOP5_BC,1,ref_tau,50000,50014,221,64,1,0.22,64,0,0.00228034243999994,0.00979244904037978,64,30,3,0.0165331955567037,20,0.293840945941647,0.396895054929154,0.637011224961116,1,0.34375,0.541716175016265,1.26726669376484,random,18,12,30,0,0.46875,0.0099001178927942,0.0120846688317742,0,0.0326007432055607,NaN,0.2,-0.0677103825206751,0,0.0214981305484875,0.0355776162959948,0.0360881001329495,0.0287695631125085,0,400,38,476,476,382,94,176,46,40,22,3837,5,66,66,66,66,64,64,64,64,64,0,30
LIRCMOP5_BC,1,ref_tau,70000,70024,308,180,1,0.6,180,0,0.00327814849546113,0.00895023793922553,180,30,3,0.0464996125032291,7.11111111111111,0.460661669102531,1.01072343812546,0,1,0.166666666666667,0.73275326630115,1.188881211079,random,28,2,30,11,0.166666666666667,0.00500025207396986,0.0130643646983281,0,0.0131853993970673,NaN,0.2,-0.0169665306904065,0.0666666666666667,0.00568142549303401,0.0145339910414545,0.0147335826162959,0.00965187858577044,0.366666666666667,400,177,754,754,423,331,301,64,99,64,10794,24,190,190,190,190,180,180,180,180,180,0,30
LIRCMOP5_BC,1,ref_tau,100000,100154,439,59,1,0.2,59,0,0.00490503057096451,0.00791892816807434,59,30,3,0.0152415396538362,21.6949152542373,0.151704877764235,0.286666702431782,0.287993486991601,0.671091161052045,0.745762711864407,0.285110574539387,0.543737763604318,random,30,0,30,0,0.508474576271186,0.00241575601165217,0.00283035888939199,0,0.00438086353538102,NaN,0.133333333333333,-0.0269580772453675,0,0.00546376668471928,0.00649624473577626,0.00649624473577626,NaN,0,400,81,562,562,339,223,241,68,100,68,5366,2176,92,92,92,83,59,59,59,59,59,0,30
LIRCMOP6_BC,1,ref_tau,10000,10208,49,52,1,0.18,52,0,0.00522072458871612,0.0129597588639811,52,30,3,0.0134332213898218,24.6153846153846,0.315941771980228,0.382555855769061,0,0.681471046093979,0.115384615384615,1.35229893641784,27.0719815839636,random,30,0,30,30,0.576923076923077,0.4039458103716,0.444048666934395,0,0.447536412355083,NaN,0.533333333333333,0.0025218468891155,0.944444444444444,0.405515926465006,0.448918760339535,0.448918760339535,NaN,1,400,45,490,490,423,67,191,41,59,23,1056,0,67,67,67,64,52,52,52,52,52,0,30
LIRCMOP6_BC,1,ref_tau,30000,30218,136,108,1,0.36,108,0,0.0015885520010044,0.00527248574211284,108,30,3,0.0278997675019375,11.8518518518519,0.347877818764916,0.537427096235992,-0,1,0.0740740740740741,0.409457624907874,0.748769582358482,random,20,10,30,6,0.277777777777778,0.00635142726710362,0.00988514606634739,0,0.0144160568567705,NaN,0.433333333333333,-0.00471383034798561,0.138888888888889,0.0103558373403544,0.0148849374432641,0.0148849374432641,0.014874070877501,0.2,400,123,646,646,449,197,249,52,79,41,6395,8,120,120,120,120,108,108,108,108,108,0,30
LIRCMOP6_BC,1,ref_tau,50000,50228,223,222,1,0.74,222,0,0.00181572009810714,0.00566874586087475,222,30,3,0.0573495220873159,5.76576576576577,0.382952432760938,0.673050097415447,-0,1,0.117117117117117,0.794171786405337,1.57548737816451,random,22,8,30,13,0.135135135135135,0.00416080802820732,0.0147439681310538,0,0.0159741549753964,NaN,0.666666666666667,0.0596193043468241,0.189189189189189,0.00734488688656949,0.0165402981046247,0.0149891786336347,0.044577972379193,0.433333333333333,400,228,856,856,496,360,375,80,100,80,11907,0,240,240,240,239,222,222,222,222,222,0,30
LIRCMOP6_BC,1,ref_tau,70000,70008,309,195,1,0.65,195,0,0.00135828642473353,0.00549140021127148,195,30,3,0.0503745802118316,6.56410256410256,0.389600247026556,0.695321323378103,0.157903289216947,1,0.261538461538462,0.675473409712955,1.2816975994914,random,27,3,30,10,0.153846153846154,0.0150442139701435,0.0298100209970576,0,0.0373986288454059,NaN,0.333333333333333,-0.0185210668929613,0.123076923076923,0.0178572912815958,0.0374608066778464,0.0371365038056934,0.0376726813821711,0.333333333333333,400,195,790,790,456,334,336,75,100,75,9975,0,224,224,224,221,195,195,195,195,195,0,30
LIRCMOP6_BC,1,ref_tau,100000,100138,440,92,1,0.32,92,0,0.00622479272030299,0.0213943206667425,92,30,3,0.0237664686127616,13.9130434782609,0.161220302354265,0.600176066807047,0.187913728258657,0.586968315293882,0.347826086956522,0.772955992288136,2.06457340697934,random,30,0,30,7,0.326086956521739,0.00969089498764706,0.0210475211814794,0,0.0222087223850569,NaN,0.666666666666667,0.0154710707176984,0.25,0.0195719967644471,0.0229094346992891,0.0229094346992891,NaN,0.233333333333333,400,95,590,590,323,267,266,46,100,46,7394,1293,113,113,113,99,92,92,92,92,92,0,30
