problem,run,target_FE,actual_FE,gen,figure_file
LIRCMOP5_BC,1,10000,10013,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP5_BC,1,30000,30023,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP5_BC,1,50000,50033,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP5_BC,1,70000,70043,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE070000_train_reconstruction.png
LIRCMOP5_BC,1,100000,100173,439,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_targetFE100000_train_reconstruction.png
LIRCMOP6_BC,1,10000,10025,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP6_BC,1,30000,30035,135,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP6_BC,1,50000,50045,222,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP6_BC,1,70000,70055,309,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE070000_train_reconstruction.png
LIRCMOP6_BC,1,100000,100185,440,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_targetFE100000_train_reconstruction.png
LIRCMOP7_BC,1,10000,10133,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP7_BC,1,30000,30143,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP7_BC,1,50000,50153,220,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP7_BC,1,70000,70163,307,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE070000_train_reconstruction.png
LIRCMOP7_BC,1,100000,100063,437,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_targetFE100000_train_reconstruction.png
LIRCMOP8_BC,1,10000,10114,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP8_BC,1,30000,30124,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP8_BC,1,50000,50134,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP8_BC,1,70000,70144,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE070000_train_reconstruction.png
LIRCMOP8_BC,1,100000,100044,438,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_targetFE100000_train_reconstruction.png
LIRCMOP9_BC,1,10000,10101,45,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE010000_train_reconstruction.png
LIRCMOP9_BC,1,30000,30121,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE030000_train_reconstruction.png
LIRCMOP9_BC,1,50000,50131,220,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE050000_train_reconstruction.png
LIRCMOP9_BC,1,70000,70141,307,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP9_BC_run1/figures/LIRCMOP9_BC_run1_targetFE070000_train_reconstruction.png
