setting,variant,condition_mode,advWeight,reconstructionWeight,nGen,zDim,ganIter,ganMiniBatch,trainMode,trainZMode,sampleZMode,maxCandidatePairsPerRef,networkPreset,generatorHidden,discriminatorHidden,problem,run,target_FE,actual_FE,gen,bmem_count,boundary_count,bmem_ref_coverage,finite_gap_count,inf_gap_count,median_gap,max_gap,train_count,query_count,condition_dim,train_param_ratio,gan_sample_reuse,train_pair_dec_dist50,train_pair_dec_dist90,train_tau_iqr,train_tau_range,train_tau_nonzero_rate,train_x_rec90,train_y_rec90,sample_z_mode,missing_ref_query_count,large_gap_query_count,raw_generated_count,feasible_generated_count,generated_per_train,boundary_dist50,boundary_dist90,query_width90,segment_width90,segment_width90_ratio,side_rate,pair_margin50,ref_cover,query_obj_dist50,query_obj_dist90,missing_ref_query_obj_dist90,large_gap_query_obj_dist90,feasible_rate,boundary_sample_current_count,boundary_sample_prev_pair_count,boundary_sample_merged_count,boundary_sample_finite_count,boundary_feasible_count,boundary_infeasible_count,boundary_main_feasible_count,boundary_ref_with_main_feasible_count,boundary_ref_with_neighbor_infeasible_count,boundary_ref_pairable_count,boundary_pair_distance_count,boundary_pair_dominated_skip_count,boundary_pair_appended_count,boundary_candidate_raw_count,boundary_candidate_finite_count,boundary_candidate_pareto_count,boundary_candidate_gap_count,boundary_candidate_dedup_count,boundary_candidate_final_count,dataset_bmem_input_count,dataset_valid_train_count,dataset_invalid_train_count,dataset_query_count
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,10000,10013,47,111,1,0.37,111,0,0.00413740671897285,0.00760569781035347,111,30,3,0.00581060566403183,115.315315315315,0.277951669209394,0.388434431742712,0,0.644420034885708,0.117117117117117,0.317403272473391,0.449844682602554,zero,29,1,30,16,0.27027027027027,0.00253755885626011,0.00711275647750745,0,0.00855267167127974,NaN,0.633333333333333,0.0206617186538689,0.189189189189189,0.00506693594342621,0.00944374051365178,0.00958194364786191,0.00507449419277176,0.533333333333333,400,102,604,604,454,150,231,56,84,49,3480,0,146,146,146,146,111,111,111,111,111,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,30000,30023,134,32,1,0.11,32,0,0.000650102380621958,0.00255123857648227,32,30,3,0.00167512956080197,400,0.172296375887711,0.434379080304597,0,0,0,0.313572100666593,0.954918611494435,zero,6,24,30,7,0.9375,0.00343827024482978,0.00698215387058587,0,0.0144206090814074,NaN,0.733333333333333,0.0705639958915991,0.454545454545455,0.00508239349817548,0.0144228797980713,0.011315731912553,0.0144568980120923,0.233333333333333,400,33,466,466,373,93,173,53,21,16,4958,2,48,48,48,48,32,32,32,32,32,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,50000,50033,221,139,1,0.47,139,0,0.00653663039203373,0.0168499932269918,139,30,3,0.00727634402973355,92.0863309352518,0.443251879447725,1.24940137494254,0,0.794734525599321,0.0647482014388489,0.822602501111633,4.05343240365571,zero,30,0,30,5,0.215827338129496,0.0137021143407978,0.0245794071132566,0,0.0420760672764511,NaN,0.5,0.00412459085573683,0.148936170212766,0.0292202057449152,0.0513244553745608,0.0513244553745608,NaN,0.166666666666667,400,147,694,694,367,327,282,51,100,51,9096,12,153,153,153,150,139,139,139,139,139,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,70000,70043,308,54,1,0.18,54,0,0.00717053802160753,0.0358191411487469,54,30,3,0.00282678113385332,237.037037037037,0.155791972028837,0.283135797723606,0.32434589789289,0.863329466079784,0.611111111111111,0.212337752537134,0.514977900652889,zero,30,0,30,6,0.555555555555556,0.00288169835008818,0.00677039357825176,0,0.00677039357825176,NaN,0.6,0.0341624719986235,0.111111111111111,0.00510187915824616,0.0123009076393744,0.0123009076393744,NaN,0.2,400,60,520,520,315,205,227,28,100,28,6576,707,83,83,83,71,54,54,54,54,54,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,100000,100173,439,64,1,0.22,64,0,0.00559762141768335,0.0311176152473243,64,30,3,0.00335025912160394,200,0.124865448341845,0.213189361904934,0.249833269003599,1,0.46875,0.160969914170336,0.193860369660241,zero,30,0,30,12,0.46875,0.000912331703255928,0.00172568951201299,0,0.00172568951201299,NaN,1,0.0525742982824609,0.0909090909090909,0.00163551689119723,0.00173718973625722,0.00173718973625722,NaN,0.4,400,62,524,524,322,202,249,66,100,66,5020,1601,110,110,110,97,64,64,64,64,64,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,10000,10002,48,44,1,0.15,44,0,0.00285513623219517,0.00499482036410817,44,30,3,0.00230330314610271,290.909090909091,0.253117112028352,0.38619567259268,0,0.188095565238402,0.0681818181818182,0.314352535720016,1.31412285697501,zero,23,7,30,12,0.681818181818182,0.000940519065385465,0.00125588095508537,0,0.0131845692276407,NaN,0.733333333333333,0.0617516393858556,0.533333333333333,0.00582721924122415,0.0180932992074041,0.0192816989614085,0.0156980242640867,0.4,400,54,508,508,411,97,166,42,50,20,1418,0,60,60,60,54,44,44,44,44,44,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,30000,30012,135,134,1,0.45,134,0,0.00130691884351458,0.00397771961290475,134,30,3,0.00701460503585824,95.5223880597015,0.277994571193149,0.448877895528715,0.346852663829385,1,0.26865671641791,0.392402489966081,0.507426742604391,zero,30,0,30,1,0.223880597014925,0.00525447927914619,0.0070135842282067,0,0.0100338447868911,NaN,0.6,0.0257836150320399,0.0444444444444444,0.0081888878645045,0.0153190528078887,0.0153190528078887,NaN,0.0333333333333333,400,128,656,656,463,193,299,65,86,52,4266,10,154,154,154,152,134,134,134,134,134,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,50000,50022,222,147,1,0.49,147,0,0.000804419220399661,0.00257654560096861,147,30,3,0.00769512641993404,87.0748299319728,0.370404544147196,0.525065544337758,0.445888149744648,1,0.26530612244898,0.636005023307998,2.59844901824381,zero,30,0,30,9,0.204081632653061,0.00408402104061555,0.0342394196137829,0,0.0394062322157047,NaN,0.566666666666667,0.0103379487198379,0.26530612244898,0.00873637161494708,0.0395486288436257,0.0395486288436257,NaN,0.3,400,144,688,688,454,234,285,63,94,57,5718,8,165,165,165,162,147,147,147,147,147,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,70000,70032,309,132,1,0.44,132,0,0.000661172587910777,0.00226851577107572,132,30,3,0.00690990943830812,96.969696969697,0.426504206332705,0.669951087243261,0,1,0.227272727272727,0.581916199828236,1.33131984165411,zero,30,0,30,10,0.227272727272727,0.00947822336431626,0.0293288711463816,0,0.0293288711463816,NaN,0.6,0.046457130797188,0.113636363636364,0.011204795563539,0.0306037240904579,0.0306037240904579,NaN,0.333333333333333,400,138,676,676,476,200,303,61,88,51,6204,2,151,151,151,151,132,132,132,132,132,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,100000,100162,440,153,1,0.52,153,0,0.00146743981406578,0.0058458544049928,153,30,3,0.00800921321258441,83.6601307189542,0.449486821632274,0.926867465228912,0,1,0.143790849673203,1.5654973124505,6.23257321553252,zero,30,0,30,18,0.196078431372549,0.0297567584884906,0.084067628910143,0,0.0935639127167184,NaN,0.566666666666667,0.00520916315857217,0.25,0.0444788702229638,0.0937429972505975,0.0937429972505975,NaN,0.6,400,135,670,670,410,260,251,60,100,60,7045,0,180,180,180,171,153,153,153,153,153,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP7_BC,1,10000,10124,46,61,1,0.21,61,0,0.00326695774511252,0.0105355402194262,61,30,3,0.00319321572527875,209.83606557377,0.305769473279249,0.453193879380035,0,0.954453472594165,0.19672131147541,0.355960569594079,0.577003400095399,zero,30,0,30,7,0.491803278688525,0.00308588787086479,0.00598505681679402,0,0.0104085369583066,NaN,0.4,-0.0165227994569926,0.0952380952380952,0.014295516173302,0.0318730250305973,0.0318730250305973,NaN,0.233333333333333,400,63,526,526,373,153,190,39,93,32,2615,62,92,92,92,84,61,61,61,61,61,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP7_BC,1,30000,30134,133,125,1,0.42,125,0,0.00154019184983451,0.00641871578532532,125,30,3,0.00654347484688269,102.4,0.207998278616549,0.288582073002087,0.0113875779006699,1,0.264,0.271487011203523,0.736069320534246,zero,30,0,30,7,0.24,0.0019278515415353,0.00317408787135351,0,0.00745939343019206,NaN,0.533333333333333,0.00268459184109505,0.0714285714285714,0.00686415199582355,0.0121954345315234,0.0121954345315234,NaN,0.233333333333333,400,134,668,668,389,279,277,50,100,50,8565,76,147,147,147,146,125,125,125,125,125,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP7_BC,1,50000,50144,220,54,1,0.18,54,0,0.0012459604401955,0.00283351122673028,54,30,3,0.00282678113385332,237.037037037037,0.317621031782445,0.652877407843077,0,1,0.111111111111111,0.520814787732107,1.8384108756891,zero,19,11,30,5,0.555555555555556,0.00372036416192186,0.00921946177055744,0,0.0271311987575095,NaN,0.866666666666667,0.119018981786087,0.222222222222222,0.0177402235522,0.0276271068528319,0.0275462899680759,0.0278816549425873,0.166666666666667,400,58,516,516,351,165,202,52,41,20,6351,4,60,60,60,60,54,54,54,54,54,0,30
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP7_BC,1,70000,70154,307,195,1,0.65,195,0,0.00217393868874394,0.00735981748268506,195,30,3,0.010207820761137,65.6410256410256,0.367375582510901,0.743845551125926,0,1,0.0923076923076923,0.551512700022963,2.60000930011375,zero,21,9,30,7,0.153846153846154,0.0160524635043916,0.0509683272570329,0,0.0561634388178692,NaN,0.666666666666667,0.00529607266722876,0.0615384615384615,0.0379406988625426,0.0586263621930327,0.0603536190386692,0.0587829124369778,0.233333333333333,400,201,802,802,395,407,349,76,100,76,13931,46,226,226,226,224,195,195,195,195,195,0,30
