setting,variant,condition_mode,advWeight,reconstructionWeight,nGen,zDim,ganIter,ganMiniBatch,trainMode,trainZMode,sampleZMode,maxCandidatePairsPerRef,networkPreset,generatorHidden,discriminatorHidden,problem,run,seed,N,D,maxFE,target_text,plot_enabled,runtime,finalFE,stage_count,history_count,figure_count,run_folder,stage_metrics_file,history_metrics_file,figure_manifest_file,status,error_message
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,1221.95614133333,100173,5,439,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP5_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP5_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP5_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP5_BC_run1/figure_manifest.csv,ok,
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,1199.66447429167,100162,5,440,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP6_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP6_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP6_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP6_BC_run1/figure_manifest.csv,ok,
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP7_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,1274.30526708333,100054,5,437,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP7_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP7_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP7_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP7_BC_run1/figure_manifest.csv,ok,
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP8_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,1258.25008983333,100042,5,438,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP8_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP8_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP8_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP8_BC_run1/figure_manifest.csv,ok,
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP9_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,1296.158698375,100075,5,437,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP9_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP9_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP9_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP9_BC_run1/figure_manifest.csv,ok,
D_tau_huber_default_iter200,D_tau_huber_default_iter200,ref_tau,1,1,30,2,200,32,iter,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP10_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,1278.13686445833,100182,5,438,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP10_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP10_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP10_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_iter200/LIRCMOP10_BC_run1/figure_manifest.csv,ok,
D_tau_huber_default_epoch20,D_tau_huber_default_epoch20,ref_tau,1,1,30,2,20,32,epoch,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP5_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,558.146647833333,100173,5,439,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP5_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP5_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP5_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP5_BC_run1/figure_manifest.csv,ok,
D_tau_huber_default_epoch20,D_tau_huber_default_epoch20,ref_tau,1,1,30,2,20,32,epoch,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP6_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,760.989173166666,100185,5,440,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP6_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP6_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP6_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP6_BC_run1/figure_manifest.csv,ok,
D_tau_huber_default_epoch20,D_tau_huber_default_epoch20,ref_tau,1,1,30,2,20,32,epoch,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP7_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,755.224941583334,100063,5,437,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP7_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP7_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP7_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP7_BC_run1/figure_manifest.csv,ok,
D_tau_huber_default_epoch20,D_tau_huber_default_epoch20,ref_tau,1,1,30,2,20,32,epoch,zero,zero,3,default,64:64:64,64:64:32,LIRCMOP8_BC,1,1,100,30,100000,10000;30000;50000;70000;100000,1,774.762031208334,100044,5,438,5,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP8_BC_run1,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP8_BC_run1/stage_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP8_BC_run1/history_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_CGAN/train_quality_mechanism_sweep_LIR6_run1_20260624_094837/D_tau_huber_default_epoch20/LIRCMOP8_BC_run1/figure_manifest.csv,ok,
