problem,run,target_FE,actual_FE,gen,pair_index,pair_side,archive_role,intended_feasible,ref,score,obj1,obj2,dec1,dec2,dec3,dec4,dec5,dec6,dec7,dec8,dec9,dec10,dec11,dec12,dec13,dec14,dec15,dec16,dec17,dec18,dec19,dec20,dec21,dec22,dec23,dec24,dec25,dec26,dec27,dec28,dec29,dec30
"LIRCMOP10_BC",1,20000,20160,98,1,"feasible_endpoint","AF_train",1,1,0.00068364461357827886,5.0081229440363146e-06,1.7033798157504449,1.8503368938854736e-06,0.9999588391157811,0.1866095190728233,0.99999616658897139,0.073037797519290681,1,0.029309013036018239,1,0.0037002580931785878,1,0,0.99999359843035074,0,1,0.1328145170046513,1,0,1,0,1,0,1,0.0032160861734475809,1,0,1,6.0716993175446987e-06,1,0,1
"LIRCMOP10_BC",1,20000,20160,98,1,"infeasible_endpoint","AI_train",0,1,0.00068364461357827886,4.8344676933258193e-06,1.8789789779655051,1.8503368938854736e-06,0.9999588391157811,0.18802916611586767,0.99999616658897139,0.076907216886511018,1,0.029309013036018239,1,0.0074226597776718972,1,0,0.99999359843035074,0,1,0.1046136344333915,1,0,1,0,1,0,0.89846740755852439,0.0070949568319475876,1,0,1,6.0716993175446987e-06,1,0,1
"LIRCMOP10_BC",1,20000,20160,98,2,"feasible_endpoint","AF_train",1,1,0.00068364466268715067,5.0081229440363146e-06,1.7033798157504449,1.8503368938854736e-06,0.9999588391157811,0.1866095190728233,0.99999616658897139,0.073037797519290681,1,0.029309013036018239,1,0.0037002580931785878,1,0,0.99999359843035074,0,1,0.1328145170046513,1,0,1,0,1,0,1,0.0032160861734475809,1,0,1,6.0716993175446987e-06,1,0,1
"LIRCMOP10_BC",1,20000,20160,98,2,"infeasible_endpoint","AI_train",0,1,0.00068364466268715067,4.4166219726155336e-06,1.8548173355290796,1.8503368938854736e-06,0.9999588391157811,0.18518987202977893,0.99999616658897139,0.069168378152070345,1,0.029309013036018239,1,0,1,0,0.90571100634836399,0,1,0,1,0,1,0,1,0,1,0,1,0,1,6.0716993175446987e-06,1,0,1
"LIRCMOP10_BC",1,20000,20160,98,3,"feasible_endpoint","AF_train",1,1,0.0050569556047934125,4.5304271566041591e-05,1.6990327966740086,1.5313595638659835e-05,1,0.10017101906230556,1,0.081669248811666484,1,0.11772707908121416,0.99997049614031575,0,1,0,0.99986125552504679,0.0011594280351690683,1,0,1,0,0.9999799626566992,0.05928454483912958,0.99984675732541151,0.019601865589456091,0.99938666968106094,0,1,0.00236470720443361,1,0,0.99994986046368495,0.19745544116738123,0.99983531219126809
"LIRCMOP10_BC",1,20000,20160,98,3,"infeasible_endpoint","AI_train",0,1,0.0050569556047934125,0,1.8529235078158526,0,1,0,1,0.073907662316423983,1,0.535401297998224,1,0,1,0,1,0,1,0.29441566491429771,0.90709539185694688,0,1,0,1,0.05662693800069156,1,0,1,0,1,0.021345779817354228,1,0,1
"LIRCMOP10_BC",1,20000,20160,98,4,"feasible_endpoint","AF_train",1,1,0.0050557181036071947,4.1320314794154486e-05,1.6990340084464095,1.5313595638659835e-05,1,0.11189720268426971,1,0.081669248811666484,1,0,0.99997049614031575,0,1,0,0.99986125552504679,0.0011594280351690683,1,0,1,0,0.9999799626566992,0.0030534394459266596,0.99984675732541151,0.0025784872916741483,0.99938666968106094,0,1,0.00236470720443361,1,0,0.99972827272339981,0.19745544116738123,0.99983531219126809
"LIRCMOP10_BC",1,20000,20160,98,4,"infeasible_endpoint","AI_train",0,1,0.0050557181036071947,0,1.8672538066597788,0,1,0.20192686715890512,1,0.10000935285362633,1,0.01518378354384476,1,0,1,0,0.99986125552504679,0.00090701684930575275,1,0.0014836739785644183,1,0,1,0,0.99984675732541151,0.0025784872916741483,0.99978479710655344,0,1,0.00236470720443361,0.9026798169943504,0,0.99972827272339981,0.25014653922580576,0.99983531219126809
"LIRCMOP10_BC",1,20000,20160,98,5,"feasible_endpoint","AF_train",1,1,0,2.1077748788954833e-06,1.7040593683613763,9.2516844694273681e-07,0.9999794195578906,0.11050558429094508,0.9999980832944857,0.036518898759645341,1,0,1,0,1,0.0079014304311492544,0.99999679921517537,0,1,0,1,0,1,0,1,0.14128088366733879,1,0,1,0,1,0,1,0,1
"LIRCMOP10_BC",1,20000,20160,98,5,"infeasible_endpoint","AI_train",0,1,0,0,1.9350833708771917,0,0.99993263659460152,0.10318320989814336,0.99996401060841644,0.036518898759645341,1,0.03150208537300471,0.99995377673125563,0,1,0.029901527639187277,0.99986593685417446,0,0.99996835129430606,0.0043970190318457121,1,0,1,0.0027890983361203272,0.99992660670573164,0.13016379990376406,1,0,0.99998826869647051,0,0.99999721211122472,0.001555461679912838,1,0.013175916299649466,0.88403441687244189
"LIRCMOP10_BC",1,20000,20160,98,6,"feasible_endpoint","AF_train",1,3,0.035405616259133438,0.031541832022093125,1.4817636555112905,0.017348136874973032,1,0,0.99874827837971103,0.050809217368508505,0.99719307808767266,0,0.99989848465839315,0.0004295015457377975,1,0.0059662190493058676,1,0.063434270521938216,0.99938693136663037,0,0.99980738792932955,0.0011624355429212538,0.99975616453200433,0.0068240199695682015,0.9973622323266309,0.0051979684877989998,0.99538959800251892,0.0080393622428937377,0.99943905529390265,0.0029650466425206251,0.99998567007955008,0.012137009835501526,1,0.042601456260283568,0.99595870244689377
"LIRCMOP10_BC",1,20000,20160,98,6,"infeasible_endpoint","AI_train",0,3,0.035405616259133438,0.043319932878561306,1.4462886144017637,0.023697022356831028,0.99789973035346347,0,0.99863460384582059,0.02163937594610162,0.99801674112534655,0,0.99997529771599536,0,0.99705898486638977,0.026985178585352293,1,0.059872109694141445,0.99830381411945512,0.021549909579588494,0.99895685533029854,0.02042356773966136,0.99931917898451805,0.0083666658284284739,0.99444970526532461,0,0.98769952898890989,0.024236502549796177,0.99685925863921232,0.0042048629382918984,1,0.022301826621335855,1,0.089353951320327724,0.99485412999851985
