problem,run,target_FE,actual_FE,gen,AF_archive_size,AI_archive_size,Train_AF_count,Train_AI_count,GAN_generated_count,tag,snapshot_file
"LIRCMOP9_BC",1,10000,10060,49,51,51,51,51,100,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_124730/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1/LIRCMOP9_BC_run1_targetFE010000_A1_pair_cd_archive_training.csv"
"LIRCMOP9_BC",1,20000,20160,98,44,44,44,44,100,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_124730/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1/LIRCMOP9_BC_run1_targetFE020000_A1_pair_cd_archive_training.csv"
"LIRCMOP9_BC",1,30000,30060,147,56,56,56,56,100,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_124730/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1/LIRCMOP9_BC_run1_targetFE030000_A1_pair_cd_archive_training.csv"
"LIRCMOP9_BC",1,40000,40160,196,63,63,63,63,100,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_124730/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1/LIRCMOP9_BC_run1_targetFE040000_A1_pair_cd_archive_training.csv"
"LIRCMOP9_BC",1,50000,50060,245,47,47,47,47,100,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_124730/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1/LIRCMOP9_BC_run1_targetFE050000_A1_pair_cd_archive_training.csv"
"LIRCMOP9_BC",1,60000,60160,294,65,65,65,65,100,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_124730/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1/LIRCMOP9_BC_run1_targetFE060000_A1_pair_cd_archive_training.csv"
"LIRCMOP9_BC",1,70000,70060,343,76,76,76,76,100,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_124730/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1/LIRCMOP9_BC_run1_targetFE070000_A1_pair_cd_archive_training.csv"
"LIRCMOP9_BC",1,80000,80160,392,87,87,87,87,100,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_124730/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1/LIRCMOP9_BC_run1_targetFE080000_A1_pair_cd_archive_training.csv"
"LIRCMOP9_BC",1,90000,90060,441,93,93,93,93,100,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_124730/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1/LIRCMOP9_BC_run1_targetFE090000_A1_pair_cd_archive_training.csv"
"LIRCMOP9_BC",1,100000,100160,491,95,95,95,95,100,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_124730/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP9_BC_run1/LIRCMOP9_BC_run1_targetFE100000_A1_pair_cd_archive_training.csv"
