variant,archiveParetoFilterMode,archivePairDirectionMode,generatorMode,conditionSamplingMode,problem,run,target_FE,actual_FE,gen,Train_AF_count,Train_AI_count,Constrained_population_count,Unconstrained_population_count,GAN_generated_count,standard_outside_constrained,standard_outside_unconstrained,standard_outside_archive_AF,standard_outside_archive_AI,standard_outside_GAN,standard_visible_constrained,standard_visible_unconstrained,standard_visible_archive_AF,standard_visible_archive_AI,standard_visible_GAN,snapshot_file,figure_file
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP1_BC,1,10000,10080,49,111,111,100,100,20,0,89,0,0,3,100,11,111,111,17,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1/DASCMOP1_BC_run1_targetFE010000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP1_BC/A1_pair_cd_DASCMOP1_BC_run1_FE010000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP1_BC,1,20000,20180,98,161,161,100,100,20,0,58,0,1,0,100,42,161,160,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1/DASCMOP1_BC_run1_targetFE020000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP1_BC/A1_pair_cd_DASCMOP1_BC_run1_FE020000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP1_BC,1,30000,30080,147,118,118,100,100,20,0,60,0,1,0,100,40,118,117,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1/DASCMOP1_BC_run1_targetFE030000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP1_BC/A1_pair_cd_DASCMOP1_BC_run1_FE030000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP1_BC,1,40000,40180,196,175,175,100,100,20,0,57,0,2,0,100,43,175,173,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1/DASCMOP1_BC_run1_targetFE040000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP1_BC/A1_pair_cd_DASCMOP1_BC_run1_FE040000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP1_BC,1,50000,50080,245,183,183,100,100,20,0,59,0,1,0,100,41,183,182,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1/DASCMOP1_BC_run1_targetFE050000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP1_BC/A1_pair_cd_DASCMOP1_BC_run1_FE050000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP1_BC,1,60000,60180,294,218,218,100,100,20,0,61,0,2,0,100,39,218,216,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1/DASCMOP1_BC_run1_targetFE060000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP1_BC/A1_pair_cd_DASCMOP1_BC_run1_FE060000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP1_BC,1,70000,70080,343,217,217,100,100,20,0,58,0,2,0,100,42,217,215,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1/DASCMOP1_BC_run1_targetFE070000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP1_BC/A1_pair_cd_DASCMOP1_BC_run1_FE070000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP1_BC,1,80000,80180,392,226,226,100,100,20,0,56,0,0,0,100,44,226,226,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1/DASCMOP1_BC_run1_targetFE080000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP1_BC/A1_pair_cd_DASCMOP1_BC_run1_FE080000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP1_BC,1,90000,90080,441,227,227,100,100,20,0,57,0,1,0,100,43,227,226,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1/DASCMOP1_BC_run1_targetFE090000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP1_BC/A1_pair_cd_DASCMOP1_BC_run1_FE090000_AF_GAN_objective.png
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,,DASCMOP1_BC,1,100000,100180,491,230,230,100,100,20,0,59,0,1,0,100,41,230,229,20,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP1_BC_run1/DASCMOP1_BC_run1_targetFE100000_A1_pair_cd_archive_training.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_20260608_132525/archive_objective_snapshots/figures/A1_pair_cd/DASCMOP1_BC/A1_pair_cd_DASCMOP1_BC_run1_FE100000_AF_GAN_objective.png
