variant,archiveParetoFilterMode,archivePairDirectionMode,generatorMode,conditionSamplingMode,problem,GroupCount,mean_IGD,mean_HV,mean_Feasible_rate,mean_runtime,mean_finalFE,mean_finalPopCount,mean_finalFeasibleCount,mean_finalFeasibleRateManual,mean_finalBestCount,mean_final_AF_size,mean_final_AI_size,mean_final_Gap_obj_med,mean_final_Train_AF_count,mean_final_archive_filter_candidate_count,mean_final_archive_filter_keep_count,mean_final_archive_filter_keep_ratio,mean_final_archive_pair_direction_keep_ratio,mean_final_BoundaryHit_all,mean_final_ObjInterfaceScore,mean_final_RefCov,mean_final_DuplicateRate,mean_final_GAN_to_AF_Dist90,mean_final_AF_Cover_epsilon,mean_final_RawGANFeasibleRate,mean_final_InjectedCount,mean_final_GAN_to_AF_ObjNN_mean,mean_final_GAN_to_AF_ObjNN_median,mean_final_GAN_to_AF_ObjNN_p90,mean_final_GAN_to_AF_DecNN_mean,mean_final_GAN_to_AF_DecNN_median,mean_final_GAN_to_AF_DecNN_p90,mean_final_RawGANVarClipRate
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP1_BC,1,0.00433577252218502,0.211768676530575,1,489.224004375,100380,100,100,1,100,224,224,NaN,NaN,263,255,0.96958174904943,0.970479704797048,0.4,0.00673370337957509,0.16,0,0.129100418604518,0.316964285714286,0.4,8,0.0794090489296459,0.0803298438077536,0.129100418604518,0.0369817218864127,0.0372487315250599,0.0458271338363259,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP2_BC,1,0.00505296243906361,0.354547961072491,1,508.795618208333,100380,100,100,1,100,380,380,NaN,NaN,432,427,0.988425925925926,0.997690531177829,0.6,0.00548164233328521,0.18,0,0.174317092506979,0.421052631578947,0.4,8,0.0898619624341481,0.0543887002831513,0.174317092506979,0.036242145923856,0.0373457414878535,0.0471340389722089,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP4_BC,1,0.00491931187382848,0.20120845491573,1,403.3998675,100320,100,100,1,100,123,123,NaN,NaN,159,155,0.974842767295597,0.963636363636364,0,3.40029095690041e-05,0.15,0,7.20768903766179,0,0.05,1,3.51038956231611,2.5211282520792,7.20768903766179,0.00684716281648515,0.00656823629189689,0.0103637606215592,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,DASCMOP5_BC,1,0.00744300445517036,0.346532620246294,1,459.200139625,100240,100,100,1,100,186,186,NaN,NaN,216,215,0.99537037037037,0.981818181818182,0,0,0.15,0,9.60026197145057,0,0,0,3.90513129455188,2.04059707519285,9.60026197145057,0.00727907805537163,0.00538899090436618,0.0119819057408218,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP10_BC,1,0.0175472899980593,0.699093592480973,1,383.041672916667,100360,100,100,1,100,222,222,NaN,NaN,266,255,0.958646616541353,0.988847583643123,1,0.298950767229406,0.15,0,0.0336535555306981,0.824324324324324,0.7,14,0.0175010410408175,0.0160185633194925,0.0336535555306981,0.0156311074300554,0.0154208950668595,0.0223008465882292,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP5_BC,1,0.0269010489996278,0.281005367589517,1,483.140825416667,100320,100,100,1,100,282,282,NaN,NaN,296,288,0.972972972972973,0.86046511627907,1,0.429945273056471,0.18,0,0.0373232830198541,0.861702127659574,0.5,10,0.0239652487344261,0.0224915820943821,0.0373232830198541,0.0107486880832425,0.0109085596675062,0.0142023920089344,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP6_BC,1,0.0148260501024478,0.193153161164459,1,464.3917305,100300,100,100,1,100,329,329,NaN,NaN,355,341,0.96056338028169,0.912596401028278,1,0.124722643220781,0.17,0,0.0160482633349313,0.796352583586626,0.9,18,0.0119896786154872,0.0112124633897044,0.0160482633349313,0.00973421739463306,0.00941882040563696,0.0118777858889856,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP7_BC,1,0.00912664201664443,0.293327959759566,1,347.517112041667,100360,100,100,1,100,324,324,NaN,NaN,359,355,0.988857938718663,0.97289972899729,0.7,0,0.16,0,0.191070617770622,0.0524691358024691,0,0,0.126263186118641,0.12985240176097,0.191070617770622,0.0307001877872317,0.0336647999341358,0.0445473836311496,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP8_BC,1,0.00880920285761869,0.293365711783352,1,341.574111208333,100320,100,100,1,100,353,353,NaN,NaN,382,372,0.973821989528796,0.959798994974874,0.95,0.0254784550516131,0.18,0,0.109101709576036,0.339943342776204,0.3,6,0.0589315400951445,0.0541374331500422,0.109101709576036,0.0250083353656172,0.0265899674871357,0.0307000268414075,0
A1_pair_cd,global_af_nd,af_not_dominates_ai,pair_cd_conditioned,random,LIRCMOP9_BC,1,0.278539341139495,0.420716133814554,1,412.233830583333,100360,100,100,1,100,95,95,NaN,NaN,160,152,0.95,0.98159509202454,1,0.3004624526367,0.19,0,0.0450126938646537,0.894736842105263,0.5,10,0.0217872286783467,0.0210225332603279,0.0450126938646537,0.0119769043916924,0.0126425262900641,0.0180000037163244,0
