problem,run,target_FE,actual_FE,gen,AF_archive_size,AI_archive_size,Train_AF_count,Train_AI_count,Constrained_population_count,Unconstrained_population_count,GAN_generated_count,tag,snapshot_file
"DASCMOP2_BC",1,10000,10080,49,112,112,112,112,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE010000_A1_pair_cd_archive_training.csv"
"DASCMOP2_BC",1,20000,20180,99,133,133,133,133,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE020000_A1_pair_cd_archive_training.csv"
"DASCMOP2_BC",1,30000,30080,148,229,229,229,229,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE030000_A1_pair_cd_archive_training.csv"
"DASCMOP2_BC",1,40000,40180,198,284,284,284,284,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE040000_A1_pair_cd_archive_training.csv"
"DASCMOP2_BC",1,50000,50080,247,287,287,287,287,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE050000_A1_pair_cd_archive_training.csv"
"DASCMOP2_BC",1,60000,60180,297,327,327,327,327,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE060000_A1_pair_cd_archive_training.csv"
"DASCMOP2_BC",1,70000,70080,346,341,341,341,341,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE070000_A1_pair_cd_archive_training.csv"
"DASCMOP2_BC",1,80000,80180,396,351,351,351,351,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE080000_A1_pair_cd_archive_training.csv"
"DASCMOP2_BC",1,90000,90080,445,359,359,359,359,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE090000_A1_pair_cd_archive_training.csv"
"DASCMOP2_BC",1,100000,100180,495,351,351,351,351,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/DASCMOP2_BC_run1/DASCMOP2_BC_run1_targetFE100000_A1_pair_cd_archive_training.csv"
