problem,run,target_FE,actual_FE,gen,AF_archive_size,AI_archive_size,Train_AF_count,Train_AI_count,Constrained_population_count,Unconstrained_population_count,GAN_generated_count,tag,snapshot_file
"LIRCMOP6_BC",1,10000,10000,49,12,12,12,12,100,100,0,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1/LIRCMOP6_BC_run1_targetFE010000_A1_pair_cd_archive_training.csv"
"LIRCMOP6_BC",1,20000,20100,99,91,91,91,91,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1/LIRCMOP6_BC_run1_targetFE020000_A1_pair_cd_archive_training.csv"
"LIRCMOP6_BC",1,30000,30000,148,140,140,140,140,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1/LIRCMOP6_BC_run1_targetFE030000_A1_pair_cd_archive_training.csv"
"LIRCMOP6_BC",1,40000,40100,198,218,218,218,218,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1/LIRCMOP6_BC_run1_targetFE040000_A1_pair_cd_archive_training.csv"
"LIRCMOP6_BC",1,50000,50000,247,194,194,194,194,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1/LIRCMOP6_BC_run1_targetFE050000_A1_pair_cd_archive_training.csv"
"LIRCMOP6_BC",1,60000,60100,297,188,188,188,188,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1/LIRCMOP6_BC_run1_targetFE060000_A1_pair_cd_archive_training.csv"
"LIRCMOP6_BC",1,70000,70000,346,234,234,234,234,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1/LIRCMOP6_BC_run1_targetFE070000_A1_pair_cd_archive_training.csv"
"LIRCMOP6_BC",1,80000,80100,396,6,6,6,6,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1/LIRCMOP6_BC_run1_targetFE080000_A1_pair_cd_archive_training.csv"
"LIRCMOP6_BC",1,90000,90140,446,0,0,0,0,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1/LIRCMOP6_BC_run1_targetFE090000_A1_pair_cd_archive_training.csv"
"LIRCMOP6_BC",1,100000,100000,495,2,2,2,2,100,100,20,"A1_pair_cd","/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/A1_pair_cd_snapshots_run1_8w_20260608_150610/archive_objective_snapshots/snapshots/A1_pair_cd/LIRCMOP6_BC_run1/LIRCMOP6_BC_run1_targetFE100000_A1_pair_cd_archive_training.csv"
