variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,family,run,seed,N,D,maxFE,target_FE,actual_FE,gen,has_GAN,AF_size,AI_size,BoundaryHit_all,ObjInterfaceScore,RefCov,DuplicateRate,GAN_to_Segment_Dist50,GAN_to_Segment_Dist90,GAN_to_Decision_Segment_Dist50,GAN_to_Decision_Segment_Dist90,GAN_to_AF_Dist90,AF_Cover_epsilon,AF_CoverEpsilon,PairCover_epsilon,PairCoverEpsilon,LargestClusterRate_epsilon,EffectiveClusterCount_epsilon,ClusterEpsilon,RawGANOutsideStandardRangeCount,RawGANFeasibleRate,InjectedCount,GAN_to_AF_ObjNN_mean,GAN_to_AF_ObjNN_median,GAN_to_AF_ObjNN_p90,GAN_to_AF_DecNN_mean,GAN_to_AF_DecNN_median,GAN_to_AF_DecNN_p90,RawGANVarClipRate
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,10000,10100,41,1,40,40,0.04,0.128757804410005,0.21,0,3.85087325532309,13.5702673897624,0.0970359158805025,0.143177067931233,13.5702673897624,0,0.05,0.175,0.05,0.015,190.47619047619,0.05,61,0.175,NaN,5.93676850642834,3.86869331145898,13.5702673897624,0.106128214150108,0.105285964940984,0.148475802852671,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,30000,30100,121,1,61,61,0.01,2.3193164650708e-08,0.48,0,0.350730615032785,2.50782157488251,0.0839070431543908,0.126106871137893,2.50782157488251,0.540983606557377,0.05,0.622950819672131,0.05,0.475,4.2927666881305,0.05,42,0.085,NaN,0.828268849169485,0.356582207740065,2.50782157488251,0.0960727205148087,0.0897241773452095,0.129618144101855,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,50000,50100,201,1,140,140,0.16,0.00664466052519726,0.78,0,0.108051804231721,0.236285239609557,0.0529457056641207,0.0760286677097325,0.239099760902954,0.714285714285714,0.05,0.721428571428571,0.05,0.195,10.8166576527853,0.05,30,0.33,NaN,0.118319846101922,0.10939193037405,0.239099760902954,0.0610497627984184,0.060473741882428,0.0788819011276692,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,70000,70100,281,1,177,177,0.105,0.000945722757054314,0.72,0,0.100160773550302,0.217917567254773,0.0453555114993967,0.0637639906828998,0.221670523239955,0.711864406779661,0.05,0.72316384180791,0.05,0.745,1.76025347650061,0.05,13,0.215,NaN,0.109350159871363,0.103458114158834,0.221670523239955,0.0543648586799562,0.0548121381171191,0.0732294590490006,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,100000,100100,401,1,204,204,0.075,0.000220747225646005,0.64,0,0.0936842233915458,0.209274939441131,0.0452167376608897,0.0607000235418184,0.212789754909863,0.75,0.05,0.754901960784314,0.05,0.58,2.77816363383803,0.05,27,0.35,NaN,0.104141339581419,0.0958037173104408,0.212789754909863,0.051209162031695,0.0510520066621545,0.0644401195813248,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,10000,10000,41,1,99,99,0.23,0.00313562961904737,0.56,0,0.27924267024939,0.810405011678011,0.0661234232565138,0.122448985247376,0.810405011678011,0.414141414141414,0.05,0.454545454545455,0.05,0.635,2.44588479882598,0.05,60,0.23,NaN,0.4224607576193,0.291135399796402,0.810405011678011,0.0874122463738817,0.0752325548853111,0.132892500981262,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,30000,30000,121,1,144,144,0.205,0.00669667108907629,0.57,0,0.0801694618514746,0.209037932892605,0.0458015468248016,0.0750183607563979,0.209037932892605,0.708333333333333,0.05,0.756944444444444,0.05,0.81,1.51607034566404,0.05,18,0.285,NaN,0.105503192922936,0.0820387351967432,0.209037932892605,0.0553833233651905,0.0521843180950945,0.0825560233707297,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,50000,50000,201,1,186,186,0.11,0.000371179693870929,0.6,0,0.0780718038398596,0.198908364118837,0.0356401020587868,0.0546609812381669,0.203301736468376,0.795698924731183,0.05,0.806451612903226,0.05,0.805,1.52033447358419,0.05,32,0.16,NaN,0.100910069656324,0.0809254527165792,0.203301736468376,0.042843328821384,0.0408112182630176,0.0611861614994622,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,70000,70000,281,1,198,198,0.1,0.00345734527757406,0.52,0,0.041063771749148,0.108855677302461,0.032839933253014,0.0467199464058486,0.112310766689069,0.772727272727273,0.05,0.777777777777778,0.05,0.92,1.17875876701833,0.05,9,0.335,NaN,0.0565263824647367,0.0437944608713272,0.112310766689069,0.0380693380672711,0.0370065707984644,0.0506644433084568,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,100000,100000,401,1,213,213,0.065,1.39362266177711e-05,0.52,0,0.0600632995743413,0.140326196684414,0.0323982172838106,0.0482269095331855,0.142458276657709,0.737089201877934,0.05,0.755868544600939,0.05,0.92,1.18035882908404,0.05,20,0.2,NaN,0.0735067986788129,0.0625968634489126,0.142458276657709,0.0376629046840995,0.0365642153340522,0.0512369158913032,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,10000,10100,41,1,40,40,0.12,0.0465624074749878,0.35,0,1.70393580686996,4.48406357220028,0.117228340629805,0.152765742667676,4.48406357220028,0.275,0.05,0.575,0.05,0.025,152.671755725191,0.05,27,0.24,NaN,2.33086111760372,1.76568422119059,4.48406357220028,0.124759422640695,0.125433911924579,0.160589800345809,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,30000,30100,121,1,135,135,0.2,0.0150304687822065,0.75,0,0.108758102339554,0.233349395592019,0.0483817732652607,0.0996640934960778,0.236568678179026,0.607407407407407,0.05,0.637037037037037,0.05,0.39,5.68666477111174,0.05,19,0.265,NaN,0.161377881799485,0.115670690186396,0.236568678179026,0.065132433137627,0.0550960151639914,0.10709768735017,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,50000,50100,201,1,173,173,0.155,0.00655426861485267,0.62,0,0.0778291530165989,0.1854664535107,0.0410134939127656,0.0625328715649846,0.187061246043196,0.699421965317919,0.05,0.705202312138728,0.05,0.72,1.86358553857622,0.05,17,0.315,NaN,0.0959760446419443,0.0809628169778341,0.187061246043196,0.0492430358887546,0.0472435955747446,0.0681345182587298,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,70000,70100,281,1,207,207,0.075,0.00019885306040661,0.6,0,0.114700191279709,0.233051588907183,0.0406292150125185,0.0587565574708124,0.233065126862647,0.623188405797101,0.05,0.642512077294686,0.05,0.39,3.80807311500381,0.05,15,0.22,NaN,0.1313317640791,0.116817082203013,0.233065126862647,0.0488083355029473,0.0467901094923602,0.0654848781636057,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,100,30,100000,100000,100100,401,1,230,230,0.13,0.000866566883840842,0.65,0,0.0684998581804894,0.202319394239589,0.0436827689468774,0.0736299618664728,0.203626689574734,0.747826086956522,0.05,0.765217391304348,0.05,0.675,2.16006048169349,0.05,23,0.44,NaN,0.097320840283001,0.0695316940247753,0.203626689574734,0.0521483995682594,0.0486774193132579,0.074759223631476,0
C4_condFilter,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,100,30,100000,10000,10050,41,1,46,46,0.055,0.180260926174007,0.34,0,4.96593821216738,18.7443073739405,0.107274232133245,0.155697218150491,18.7443073739405,0.0434782608695652,0.05,0.347826086956522,0.05,0.01,192.307692307692,0.05,60,0.245,NaN,7.92406174498759,4.99208334085801,18.7443073739405,0.121442233222196,0.117683993352326,0.160100467011721,0
