variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionKNNRetainRatio,trainFilterRandomSeed,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,family,run,seed,status,error_message,N,D,maxFE,trainGap,nGen,zDim,perRef,nearTau,ganIter,probeRawN,stageProbeN,ganDPretrainIter,ganDSteps,ganGSteps,archiveGap,ganArchMode,ganMiniBatch,ganRealLabel,ganLrD,ganLrG,ganTrainMode,target_text,runtime,IGD,HV,Feasible_rate,finalFE,finalPopCount,finalFeasibleCount,finalFeasibleRateManual,finalBestCount,final_AF_size,final_AI_size,final_AF_ref_count,final_AF_ref_cov,final_Gap_obj_med,final_Train_AF_count,final_archive_filter_candidate_count,final_archive_filter_keep_count,final_archive_filter_keep_ratio,final_archive_pair_direction_candidate_count,final_archive_pair_direction_keep_count,final_archive_pair_direction_keep_ratio,final_archive_pair_ref_candidate_count,final_archive_pair_ref_keep_count,final_archive_pair_ref_keep_ratio,final_train_ref_count,final_train_ref_cov,final_target_triple_ready,final_target_pair_count,final_target_triple_count,final_target_condition_dim,final_target_condition_mode_code,final_target_ref_token_dim,final_target_direction_norm_mean,final_target_filter_mode_code,final_target_filter_pre_count,final_target_filter_post_count,final_target_filter_retain_ratio,final_target_filter_pre_ref_count,final_target_filter_pre_ref_cov,final_target_filter_post_ref_count,final_target_filter_post_ref_cov,final_condition_knn_k,final_condition_knn_decision_spread_mean,final_condition_knn_decision_spread_median,final_condition_knn_decision_spread_p90,final_pair_ai_dom_count,final_pair_mutual_nd_count,final_pair_af_dom_count,final_pair_ai_dom_ratio,final_pair_mutual_nd_ratio,final_train_direction_candidate_count,final_train_direction_keep_count,final_train_direction_retain_ratio,final_train_direction_mode_code,final_train_weight_count,final_train_weight_min,final_train_weight_mean,final_train_weight_max,final_boundary_quality_label_count,final_boundary_quality_label_mean,final_boundary_quality_label_median,final_boundary_quality_label_p10,final_boundary_quality_label_p90,final_boundary_quality_label_min,final_boundary_quality_label_max,final_target_mismatch_count,final_target_mismatch_identity_count,final_target_mismatch_batch_count,final_target_mismatch_identity_rate,final_gan_d_diag_status,final_gan_d_diag_count,final_gan_d_real_count,final_gan_d_ai_count,final_gan_d_fake_count,final_gan_d_mismatch_count,final_gan_d_uniform_count,final_gan_d_real_prob_mean,final_gan_d_ai_prob_mean,final_gan_d_fake_prob_mean,final_gan_d_mismatch_prob_mean,final_gan_d_uniform_prob_mean,final_gan_d_prob_gap,final_gan_d_confusion_abs_margin,final_gan_d_real_acc,final_gan_d_ai_acc,final_gan_d_fake_acc,final_gan_d_mismatch_acc,final_gan_d_uniform_acc,final_gan_d_bal_acc,final_BoundaryHit_all,final_ObjInterfaceScore,final_RefCov,final_DuplicateRate,final_GAN_to_Segment_Dist50,final_GAN_to_Segment_Dist90,final_GAN_to_Decision_Segment_Dist50,final_GAN_to_Decision_Segment_Dist90,final_GAN_to_AF_Dist90,final_AF_Cover_epsilon,final_AF_CoverEpsilon,final_PairCover_epsilon,final_PairCoverEpsilon,final_LargestClusterRate_epsilon,final_EffectiveClusterCount_epsilon,final_ClusterEpsilon,final_RawGANOutsideStandardRangeCount,final_RawGANFeasibleRate,final_InjectedCount,final_GAN_to_AF_ObjNN_mean,final_GAN_to_AF_ObjNN_median,final_GAN_to_AF_ObjNN_p90,final_GAN_to_AF_DecNN_mean,final_GAN_to_AF_DecNN_median,final_GAN_to_AF_DecNN_p90,final_RawGANVarClipRate,core_metrics_file,stage_metrics_file,snapshot_count,snapshot_folder,snapshot_manifest_file
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,1,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,655.343921499999,0.00415547180080081,0.212072022855268,1,100100,100,100,1,100,225,225,84,0.84,NaN,NaN,228,228,1,228,228,1,228,228,1,67,0.67,1,225,135,4,0,0,0.00627647560568536,1,225,135,0.6,84,0.84,67,0.67,5,0.610827587725639,0.546723687652205,1.03101684017529,134,91,0,0.595555555555556,0.404444444444444,225,135,0.6,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,6750,0,150,0,1,100,100,100,100,100,100,0.514563598036766,0.0219025881034495,0.357320582196116,0.103234624048862,3.55073273552521e-08,0.15724301584065,0.0786215079203248,0.52,0.99,0.89,0.97,1,0.874,0.02,1.30337912182162e-05,0.39,0,0.0689400739831517,0.182041918597463,0.0318747983240694,0.043966921753633,0.186256426630358,0.573333333333333,0.05,0.622222222222222,0.05,0.2,13.2978723404255,0.05,4,0.24,12,0.089775638860022,0.0710702885000449,0.186256426630358,0.0386726997440492,0.0341315210237105,0.0521648763984539,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run1_tp68a0c3ec_2ff8_4762_9061_f9e775f9ccab/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run1_tp68a0c3ec_2ff8_4762_9061_f9e775f9ccab/stage_metrics.csv,0,,
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,2,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,831.311279541666,0.00425982242571714,0.211271826573392,1,100000,100,100,1,100,238,238,87,0.87,NaN,NaN,256,241,0.94140625,241,241,1,241,241,1,48,0.48,1,238,143,4,0,0,0.00523752873779051,1,238,143,0.600840336134454,87,0.87,48,0.48,5,0.533022588057064,0.390916436983867,1.20186743104374,154,84,0,0.647058823529412,0.352941176470588,238,143,0.600840336134454,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,7150,0,150,0,1,100,100,100,100,100,100,0.503840115368367,0.0218500448211507,0.399524032371119,0.0253992873701489,1.03506780310034e-08,0.104316082997248,0.0521580414986241,0.51,0.99,0.69,1,1,0.838,0.14,0.00106623299832694,0.32,0,0.0370272744709415,0.104381332202889,0.0227814195021698,0.0415608086383433,0.107099709683327,0.676470588235294,0.05,0.680672268907563,0.05,0.58,2.42248062015504,0.05,0,0.36,18,0.0532669863146879,0.0393534135167464,0.107099709683327,0.030366316380683,0.0265537871964819,0.0459244824831369,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run2_tp59f891cc_63d7_4070_a9e1_3cc17432fed9/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run2_tp59f891cc_63d7_4070_a9e1_3cc17432fed9/stage_metrics.csv,0,,
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,3,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,780.569532541667,0.00391911228436456,0.210964545321473,1,100100,100,100,1,100,231,231,85,0.85,NaN,NaN,241,233,0.966804979253112,233,232,0.995708154506438,232,232,1,57,0.57,1,231,139,4,0,0,0.00501344297097471,1,231,139,0.601731601731602,85,0.85,57,0.57,5,0.572653562258074,0.474438918444936,1.06464530070544,138,93,0,0.597402597402597,0.402597402597403,231,139,0.601731601731602,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,6950,0,150,0,1,100,100,100,100,100,100,0.47010170429945,0.0500565236545102,0.352908186465502,0.0662032463139037,8.11166083155462e-08,0.117193517833948,0.0884950546175242,0.41,0.98,0.94,0.97,1,0.86,0.12,0.000175598416077114,0.31,0,0.0788575091697276,0.147120505784329,0.0316746493404218,0.0402989869267205,0.147120505784329,0.670995670995671,0.05,0.67965367965368,0.05,0.56,3.03398058252427,0.05,9,0.34,17,0.0819909951536689,0.0805561548759601,0.147120505784329,0.0359782243641746,0.0352661110500386,0.0467571001388798,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run3_tpf94e4e87_783a_4443_9b7a_21204da03d09/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run3_tpf94e4e87_783a_4443_9b7a_21204da03d09/stage_metrics.csv,0,,
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,1,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,611.953066,0.00518276256441526,0.354256264179399,1,100050,100,100,1,100,210,210,97,0.97,NaN,NaN,216,210,0.972222222222222,210,210,1,210,210,1,77,0.77,1,210,126,4,0,0,0.00670276653506504,1,210,126,0.6,97,0.97,77,0.77,5,0.722493271245643,0.71863882256054,0.934757036650701,129,81,0,0.614285714285714,0.385714285714286,210,126,0.6,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,6300,0,100,0,1,100,100,100,100,100,100,0.656107174307108,0.0274302857421035,0.310845024287701,0.0240250613601874,0.00636714366586689,0.345262150019407,0.172631075009704,0.74,0.98,0.89,0.98,0.99,0.916,0.04,6.28423247829976e-07,0.36,0,0.150762909182341,0.324074175842967,0.0495466043589199,0.0685755438091102,0.328700119525479,0.404761904761905,0.05,0.404761904761905,0.05,0.06,30.4878048780488,0.05,10,0.28,14,0.164855339949252,0.15609725586487,0.328700119525479,0.0586957659347321,0.0561157786853737,0.0768721459922332,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run1_tp617dfe8b_a88c_43df_a05a_43311de2ee5a/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run1_tp617dfe8b_a88c_43df_a05a_43311de2ee5a/stage_metrics.csv,0,,
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,2,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,650.390476833333,0.00487141877155489,0.354344877422269,1,100000,100,100,1,100,212,212,99,0.99,NaN,NaN,222,212,0.954954954954955,212,212,1,212,212,1,64,0.64,1,212,128,4,0,0,0.00602051717934587,1,212,128,0.60377358490566,99,0.99,64,0.64,5,0.688033679421756,0.676251135471477,0.939632775866502,138,74,0,0.650943396226415,0.349056603773585,212,128,0.60377358490566,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,6400,0,100,0,1,100,100,100,100,100,100,0.541056566536427,0.0176050999853983,0.211497167735361,0.00602716420914883,2.67084320751671e-11,0.329559398801066,0.164779699400533,0.57,0.99,0.96,1,1,0.904,0.14,6.95615511212309e-05,0.35,0,0.112208862109989,0.288816163011312,0.0486060856415909,0.0644123586825887,0.292389211757459,0.462264150943396,0.05,0.466981132075472,0.05,0.08,29.0697674418605,0.05,13,0.48,24,0.139608408896327,0.116322242654359,0.292389211757459,0.0520877428724553,0.0521265696489813,0.0712089726658919,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run2_tp5f4d515e_d962_4207_beb0_6574b0b7f346/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run2_tp5f4d515e_d962_4207_beb0_6574b0b7f346/stage_metrics.csv,0,,
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,3,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,664.233289000001,0.004755513290953,0.354682683617214,1,100100,100,100,1,100,206,206,99,0.99,NaN,NaN,215,206,0.958139534883721,206,206,1,206,206,1,66,0.66,1,206,124,4,0,0,0.00635902771048484,1,206,124,0.601941747572815,99,0.99,66,0.66,5,0.694967253881235,0.701515853904867,0.95820272769213,128,78,0,0.621359223300971,0.378640776699029,206,124,0.601941747572815,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,6200,0,100,0,1,100,100,100,100,100,100,0.741224845349789,0.00996861546020445,0.331423776010051,0.0242046072738095,8.68149114031015e-09,0.409801069339737,0.204900534669869,0.92,1,0.74,0.98,1,0.928,0.04,8.69092855309984e-07,0.35,0,0.172365208255688,0.523079430316707,0.0472644923655076,0.0734277043394143,0.52674036441079,0.402912621359223,0.05,0.402912621359223,0.05,0.06,33.7837837837838,0.05,16,0.48,24,0.223904651813177,0.180462870493196,0.52674036441079,0.0560064152656282,0.0507739340833867,0.0777058484909244,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run3_tp412e9a7f_3f05_452d_b110_ddc80e973dad/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run3_tp412e9a7f_3f05_452d_b110_ddc80e973dad/stage_metrics.csv,0,,
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,1,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,289.7716605,0.00848798249925913,0.200126203829237,1,100150,100,100,1,100,100,100,65,0.65,NaN,NaN,104,101,0.971153846153846,101,100,0.99009900990099,100,100,1,39,0.39,1,100,60,4,0,0,0.0110337308663242,1,100,60,0.6,65,0.65,39,0.39,5,0.135983921161787,0.130250979735801,0.241532676029125,55,45,0,0.55,0.45,100,60,0.6,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,3000,0,50,0,1,100,100,100,100,100,100,0.625721262544394,0.0439804320943328,0.236888307672925,0.0849615288891641,0,0.388832954871468,0.194416477435734,0.81,0.96,1,0.92,1,0.938,0.02,7.13312961675643e-05,0.31,0,0.65013872741557,2.13920969970651,0.0037134855141021,0.00643221406408151,2.15336256942493,0.02,0.05,0.02,0.05,0.08,31.25,0.05,19,0.22,11,0.968928071771046,0.664191086671449,2.15336256942493,0.00459463342974822,0.00401360802049567,0.0076169152093285,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run1_tp7f859a69_3a2c_48e2_9675_e9a71ba1a8a3/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run1_tp7f859a69_3a2c_48e2_9675_e9a71ba1a8a3/stage_metrics.csv,0,,
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,2,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,323.040573125,0.0139488318097576,0.189118350032937,1,100150,100,100,1,100,118,118,55,0.55,NaN,NaN,155,153,0.987096774193548,153,147,0.96078431372549,147,147,1,22,0.22,1,118,71,4,0,0,0.0169150498986431,1,118,71,0.601694915254237,55,0.55,22,0.22,5,0.0633173292709968,0.0299838122928561,0.162730202090524,56,62,0,0.474576271186441,0.525423728813559,118,71,0.601694915254237,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,3550,0,100,0,1,100,100,100,100,100,100,0.657981997132301,0.0505663180268804,0.382918921709061,0.0877789862387828,1.47971636112747e-29,0.275063075423241,0.13753153771162,1,0.97,0.78,0.92,1,0.934,0,0,0.16,0,2.39142322545223,7.52534871473192,0.00562873710166078,0.0114366427828751,7.52534871473192,0,0.05,0,0.05,0.06,35.7142857142857,0.05,45,0,0,3.19850367724244,2.39162520756717,7.52534871473192,0.00831807968901287,0.00739508905337002,0.0152487656720121,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run2_tpdce0ddeb_8a6d_43f5_995e_b9b0df278ea3/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run2_tpdce0ddeb_8a6d_43f5_995e_b9b0df278ea3/stage_metrics.csv,0,,
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,3,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,3,3,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,370.597348875,0.0214598011391394,0.196550259996158,1,100200,100,100,1,100,133,133,59,0.59,NaN,NaN,168,168,1,168,167,0.994047619047619,167,167,1,22,0.22,1,133,80,4,0,0,0.0145680404534376,1,133,80,0.601503759398496,59,0.59,22,0.22,5,0.0590573839910595,0.0233022623801012,0.162215650860646,66,67,0,0.496240601503759,0.503759398496241,133,80,0.601503759398496,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,4000,0,100,0,1,100,100,100,100,100,100,0.793533779084682,0.026139409894488,0.23515616287099,0.0199028261373409,0,0.558377616213693,0.279188808106846,0.99,0.98,0.95,0.99,1,0.982,0,0,0.16,0,4.39139664083127,8.41900947429459,0.00990791908920671,0.014629510727266,8.41962567690918,0,0.05,0,0.05,0.04,43.1034482758621,0.05,50,0,0,5.09737134344442,4.39514118116066,8.41962567690918,0.0119119945838677,0.0113949466183236,0.0158966959036195,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run3_tp96758299_d850_4582_a916_408bf228018c/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run3_tp96758299_d850_4582_a916_408bf228018c/stage_metrics.csv,0,,
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,1,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP5_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,321.773271,0.0097814564937884,0.345067557160328,1,100100,100,100,1,72,98,98,68,0.68,NaN,NaN,119,103,0.865546218487395,103,98,0.951456310679612,98,98,1,39,0.39,1,98,59,4,0,0,0.0127740981128483,1,98,59,0.602040816326531,68,0.68,39,0.39,5,0.0809313237286324,0.0707755620316908,0.195773293708177,31,67,0,0.316326530612245,0.683673469387755,98,59,0.602040816326531,0,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,2950,0,50,0,1,100,100,100,100,100,100,0.562014033198357,0.0994879306722483,0.274407196622342,0.115490190252314,8.16830431441394e-26,0.287606836576015,0.143803418288007,0.55,0.9,0.89,0.88,1,0.844,0,0,0.2,0,5.28236468885215,8.60273904937005,0.0101297420765626,0.0142364724856835,8.60273904937005,0,0.05,0,0.05,0.02,50,0.05,50,0,0,5.54026889595741,5.34878201363313,8.60273904937005,0.0115070502530316,0.0111414920113998,0.0156287911124731,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run1_tpe4ad0bde_b9e2_4555_a5c3_c8761896d663/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run1_tpe4ad0bde_b9e2_4555_a5c3_c8761896d663/stage_metrics.csv,0,,
