variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionKNNRetainRatio,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,family,run,seed,N,D,maxFE,target_FE,actual_FE,gen,has_GAN,AF_size,AI_size,BoundaryHit_all,ObjInterfaceScore,RefCov,DuplicateRate,GAN_to_Segment_Dist50,GAN_to_Segment_Dist90,GAN_to_Decision_Segment_Dist50,GAN_to_Decision_Segment_Dist90,GAN_to_AF_Dist90,AF_Cover_epsilon,AF_CoverEpsilon,PairCover_epsilon,PairCoverEpsilon,LargestClusterRate_epsilon,EffectiveClusterCount_epsilon,ClusterEpsilon,RawGANOutsideStandardRangeCount,RawGANFeasibleRate,InjectedCount,GAN_to_AF_ObjNN_mean,GAN_to_AF_ObjNN_median,GAN_to_AF_ObjNN_p90,GAN_to_AF_DecNN_mean,GAN_to_AF_DecNN_median,GAN_to_AF_DecNN_p90,RawGANVarClipRate
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,10000,10100,41,1,54,54,0.085,0.165545748527149,0.18,0,4.39185960324479,12.6778198039947,0.112625634798403,0.164339639512877,12.6778198039947,0.0740740740740741,0.05,0.277777777777778,0.05,0.015,188.679245283019,0.05,69,0.225,NaN,5.78166521232089,4.41455662481649,12.6778198039947,0.123342159755148,0.11979777531746,0.168281885442314,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,30000,30100,121,1,62,62,0.035,0.00296175178311353,0.28,0,1.99941406799956,4.72664266007988,0.0799378089265386,0.111390464317443,4.75568406872467,0,0.05,0.112903225806452,0.05,0.02,158.730158730159,0.05,8,0.275,NaN,2.51333087072183,2.01641775147206,4.75568406872467,0.0914128882452998,0.0912260616000053,0.120018532767564,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,50000,50100,201,1,146,146,0.165,0.00181259182306445,0.67,0,0.127603198354703,0.274522169086408,0.0459010035988458,0.0709190308546461,0.279539928541457,0.643835616438356,0.05,0.698630136986301,0.05,0.56,3.09262409154167,0.05,46,0.235,NaN,0.140591640811177,0.131041693004896,0.279539928541457,0.055368428421094,0.0538985569063566,0.0792649407638557,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,70000,70100,281,1,191,191,0.135,0.0036004756249128,0.71,0,0.069551381691512,0.167513013450073,0.037772883095066,0.051525774539585,0.173180043045066,0.696335078534031,0.05,0.706806282722513,0.05,0.685,2.09358316759133,0.05,4,0.335,NaN,0.0839286807157355,0.0726178876766018,0.173180043045066,0.0425825555121258,0.0417803139370641,0.0560584755260459,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,100,30,100000,100000,100100,401,1,225,225,0.085,0.000693389888019278,0.74,0,0.0763908429875632,0.167946100235266,0.0356298427718674,0.0505752117696803,0.173514720053378,0.751111111111111,0.05,0.786666666666667,0.05,0.53,3.18928400574071,0.05,8,0.365,NaN,0.0924452585655109,0.0765536988079638,0.173514720053378,0.0408449722168866,0.0398924981136223,0.0525202277920644,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,10000,10000,41,1,64,64,0.115,0.011801959804772,0.57,0,0.205933160158232,1.06069921746403,0.0924142799420098,0.116248929804235,1.06577023825643,0.359375,0.05,0.375,0.05,0.315,9.06618313689937,0.05,21,0.16,NaN,0.390350533362591,0.214155895317884,1.06577023825643,0.102992104999365,0.102541377180614,0.12796131411383,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,30000,30000,121,1,158,158,0.18,0.0079696781833642,0.53,0,0.0516072962852964,0.141380965943803,0.0288241319959199,0.04665826125854,0.148070922770182,0.607594936708861,0.05,0.613924050632911,0.05,0.85,1.37703112090333,0.05,12,0.33,NaN,0.0711431143787645,0.0545157038208707,0.148070922770182,0.0331762941564892,0.0312177427513277,0.0536352594987062,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,50000,50000,201,1,208,208,0.23,0.0132452152143233,0.45,0,0.0372707661652479,0.117200744275117,0.0255749014214099,0.0488258627122066,0.11809908874168,0.6875,0.05,0.6875,0.05,0.94,1.1312857062051,0.05,16,0.4,NaN,0.0554364725698992,0.0387528130751909,0.11809908874168,0.0335213160129878,0.028708466013284,0.0525828671751435,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,70000,70000,281,1,227,227,0.11,0.0022690445077328,0.54,0,0.0395105836300702,0.114328267297413,0.0262567897879416,0.0397513392189336,0.123286367533686,0.629955947136564,0.05,0.629955947136564,0.05,0.94,1.13077401481314,0.05,9,0.39,NaN,0.0572466987286148,0.0404659404727257,0.123286367533686,0.0322823381447615,0.0298844342084199,0.041873672545981,0
C4_keep60,ref_af_nd,af_not_dominates_ai,none,neighbor4,condition_knn,0.6,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,100,30,100000,100000,100000,401,1,238,238,0.095,0.0014041774811061,0.56,0,0.0424228861431119,0.139595690589046,0.0239563458260159,0.0362323849748268,0.141725852232559,0.689075630252101,0.05,0.689075630252101,0.05,0.925,1.16781501810113,0.05,1,0.35,NaN,0.0708769933844027,0.0431296119698355,0.141725852232559,0.0293425502497807,0.0259992456031796,0.0394610867902308,0
