variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,family,run,seed,status,error_message,N,D,maxFE,trainGap,nGen,zDim,perRef,nearTau,ganIter,probeRawN,stageProbeN,ganDPretrainIter,ganDSteps,ganGSteps,archiveGap,ganArchMode,ganMiniBatch,ganRealLabel,ganLrD,ganLrG,ganTrainMode,target_text,runtime,IGD,HV,Feasible_rate,finalFE,finalPopCount,finalFeasibleCount,finalFeasibleRateManual,finalBestCount,final_AF_size,final_AI_size,final_AF_ref_count,final_AF_ref_cov,final_Gap_obj_med,final_Train_AF_count,final_archive_filter_candidate_count,final_archive_filter_keep_count,final_archive_filter_keep_ratio,final_archive_pair_direction_candidate_count,final_archive_pair_direction_keep_count,final_archive_pair_direction_keep_ratio,final_archive_pair_ref_candidate_count,final_archive_pair_ref_keep_count,final_archive_pair_ref_keep_ratio,final_train_ref_count,final_train_ref_cov,final_target_triple_ready,final_target_pair_count,final_target_triple_count,final_target_condition_dim,final_target_condition_mode_code,final_target_ref_token_dim,final_target_direction_norm_mean,final_target_filter_mode_code,final_target_filter_pre_count,final_target_filter_post_count,final_target_filter_retain_ratio,final_target_filter_pre_ref_count,final_target_filter_pre_ref_cov,final_target_filter_post_ref_count,final_target_filter_post_ref_cov,final_condition_knn_k,final_condition_knn_decision_spread_mean,final_condition_knn_decision_spread_median,final_condition_knn_decision_spread_p90,final_pair_ai_dom_count,final_pair_mutual_nd_count,final_pair_af_dom_count,final_pair_ai_dom_ratio,final_pair_mutual_nd_ratio,final_train_direction_candidate_count,final_train_direction_keep_count,final_train_direction_retain_ratio,final_train_direction_mode_code,final_train_weight_count,final_train_weight_min,final_train_weight_mean,final_train_weight_max,final_boundary_quality_label_count,final_boundary_quality_label_mean,final_boundary_quality_label_median,final_boundary_quality_label_p10,final_boundary_quality_label_p90,final_boundary_quality_label_min,final_boundary_quality_label_max,final_target_mismatch_count,final_target_mismatch_identity_count,final_target_mismatch_batch_count,final_target_mismatch_identity_rate,final_gan_d_diag_status,final_gan_d_diag_count,final_gan_d_real_count,final_gan_d_ai_count,final_gan_d_fake_count,final_gan_d_mismatch_count,final_gan_d_uniform_count,final_gan_d_real_prob_mean,final_gan_d_ai_prob_mean,final_gan_d_fake_prob_mean,final_gan_d_mismatch_prob_mean,final_gan_d_uniform_prob_mean,final_gan_d_prob_gap,final_gan_d_confusion_abs_margin,final_gan_d_real_acc,final_gan_d_ai_acc,final_gan_d_fake_acc,final_gan_d_mismatch_acc,final_gan_d_uniform_acc,final_gan_d_bal_acc,final_BoundaryHit_all,final_ObjInterfaceScore,final_RefCov,final_DuplicateRate,final_GAN_to_Segment_Dist50,final_GAN_to_Segment_Dist90,final_GAN_to_Decision_Segment_Dist50,final_GAN_to_Decision_Segment_Dist90,final_GAN_to_AF_Dist90,final_AF_Cover_epsilon,final_AF_CoverEpsilon,final_PairCover_epsilon,final_PairCoverEpsilon,final_LargestClusterRate_epsilon,final_EffectiveClusterCount_epsilon,final_ClusterEpsilon,final_RawGANOutsideStandardRangeCount,final_RawGANFeasibleRate,final_InjectedCount,final_GAN_to_AF_ObjNN_mean,final_GAN_to_AF_ObjNN_median,final_GAN_to_AF_ObjNN_p90,final_GAN_to_AF_DecNN_mean,final_GAN_to_AF_DecNN_median,final_GAN_to_AF_DecNN_p90,final_RawGANVarClipRate,core_metrics_file,stage_metrics_file,snapshot_count,snapshot_folder,snapshot_manifest_file
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,638.752097416667,0.00407141776682991,0.211017525895301,1,100100,100,100,1,100,219,219,84,0.84,NaN,NaN,226,220,0.973451327433628,220,220,1,220,220,1,73,0.73,1,219,137,4,0,0,0.00567546248320955,2,219,137,0.625570776255708,84,0.84,73,0.73,0,NaN,NaN,NaN,137,82,0,0.625570776255708,0.374429223744292,219,137,0.625570776255708,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,6850,0,150,0,1,100,100,100,100,100,100,0.458950722068548,0.0147406750008016,0.127130190317657,0.0498231776513338,3.65652263341656e-09,0.331820531750891,0.206959543806897,0.42,1,0.96,1,1,0.876,0.08,9.74522355144592e-10,0.34,0,0.142459146320709,0.256730003283651,0.0485120727594441,0.110666907606535,0.258067978344269,0.378995433789954,0.05,0.388127853881279,0.05,0.12,22.7272727272727,0.05,7,0.18,9,0.150628496014246,0.148158863956357,0.258067978344269,0.0644984367189624,0.0531705134200792,0.110698525573188,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run1_tp70d3d182_cf8e_4713_93af_059a067c1ea8/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run1_tp70d3d182_cf8e_4713_93af_059a067c1ea8/stage_metrics.csv,0,,
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,655.188731333333,0.00369164010160625,0.211141985659031,1,100000,100,100,1,100,223,223,87,0.87,NaN,NaN,232,226,0.974137931034483,226,226,1,226,226,1,70,0.7,1,223,142,4,0,0,0.005910553693687,2,223,142,0.63677130044843,87,0.87,70,0.7,0,NaN,NaN,NaN,142,81,0,0.63677130044843,0.36322869955157,223,142,0.63677130044843,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,7100,0,150,0,1,100,100,100,100,100,100,0.785000928343697,0.0289450972126558,0.441596161112247,0.0631369157046777,2.31438535187311e-11,0.343404767231449,0.171702383615725,0.92,0.96,0.46,0.96,1,0.86,0.12,2.14275199760147e-05,0.36,0,0.0618861405280298,0.304422933279479,0.0395199394736124,0.0727081440924301,0.304422933279479,0.775784753363229,0.05,0.802690582959641,0.05,0.18,18.3823529411765,0.05,4,0.22,11,0.151339220819054,0.0639168967966525,0.304422933279479,0.0510779796555664,0.0436935277032757,0.0757224860313343,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run2_tp76048899_5dc2_4a2f_8b00_5d4b7ba2ea26/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run2_tp76048899_5dc2_4a2f_8b00_5d4b7ba2ea26/stage_metrics.csv,0,,
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,628.723700833334,0.00370761380281711,0.211901427284015,1,100100,100,100,1,100,214,214,83,0.83,NaN,NaN,220,216,0.981818181818182,216,215,0.99537037037037,215,215,1,67,0.67,1,214,144,4,0,0,0.00655329730384521,2,214,144,0.672897196261682,83,0.83,67,0.67,0,NaN,NaN,NaN,144,70,0,0.672897196261682,0.327102803738318,214,144,0.672897196261682,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,7200,0,150,0,1,100,100,100,100,100,100,0.633620855873451,0.0467663082360996,0.278757669018378,0.0792196839217913,5.83444586568827e-09,0.354863186855073,0.177431593427536,0.68,0.96,0.88,0.94,1,0.892,0.1,1.90965496861491e-05,0.37,0,0.0775326670909427,0.165753439648565,0.0545876431095909,0.0955841023848728,0.168414447842655,0.630841121495327,0.05,0.682242990654206,0.05,0.12,19.8412698412699,0.05,2,0.42,21,0.0960354284517371,0.0803051807397107,0.168414447842655,0.0692885468681189,0.0624615846698241,0.0993664244000823,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run3_tpe09a9508_ea32_4e68_9e19_ab1a1039d1d1/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run3_tpe09a9508_ea32_4e68_9e19_ab1a1039d1d1/stage_metrics.csv,0,,
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,555.557676125,0.00600260530630167,0.354094147496043,1,100050,100,100,1,100,203,203,96,0.96,NaN,NaN,216,203,0.939814814814815,203,203,1,203,203,1,80,0.8,1,203,131,4,0,0,0.00661774100563571,2,203,131,0.645320197044335,96,0.96,80,0.8,0,NaN,NaN,NaN,131,72,0,0.645320197044335,0.354679802955665,203,131,0.645320197044335,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,6550,0,150,0,1,100,100,100,100,100,100,0.830985292345285,0.0133246684797241,0.299827260574675,0.107020466781758,8.97634127829192e-06,0.53115803177061,0.265579015885305,0.93,0.99,0.77,0.91,1,0.92,0.08,4.55768371182333e-06,0.42,0,0.16858127191498,0.353443322685923,0.0670594226578966,0.0899874930410598,0.357685967324484,0.527093596059113,0.05,0.551724137931034,0.05,0.1,27.1739130434783,0.05,7,0.22,11,0.184339053688606,0.172421589340248,0.357685967324484,0.0764777020901044,0.0764927720236524,0.0921959657454269,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run1_tpdd819d44_36d1_4c85_90ef_0ecf4b17f113/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run1_tpdd819d44_36d1_4c85_90ef_0ecf4b17f113/stage_metrics.csv,0,,
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,587.910929458333,0.00489351180196751,0.354556721274087,1,100000,100,100,1,100,199,199,94,0.94,NaN,NaN,210,199,0.947619047619048,199,199,1,199,199,1,73,0.73,1,199,119,4,0,0,0.0061745492488736,2,199,119,0.597989949748744,94,0.94,73,0.73,0,NaN,NaN,NaN,119,80,0,0.597989949748744,0.402010050251256,199,119,0.597989949748744,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,5950,0,100,0,1,100,100,100,100,100,100,0.765599439740181,0.0137411509516844,0.240540192893241,0.0136823481153059,1.36868675480873e-09,0.52505924684694,0.26252962342347,0.85,0.98,0.89,1,1,0.944,0.02,5.91135344172767e-08,0.42,0,0.244928137876984,0.474063950174877,0.0616984755562774,0.0815316455815676,0.48002106826275,0.467336683417085,0.05,0.467336683417085,0.05,0.12,22.7272727272728,0.05,16,0.34,17,0.272977911021612,0.254155841808217,0.48002106826275,0.0717192270636246,0.0721928924777693,0.0950477694337197,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run2_tp49bccf38_9768_479d_b799_501c580eb743/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run2_tp49bccf38_9768_479d_b799_501c580eb743/stage_metrics.csv,0,,
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,728.616338916666,0.00513833972757218,0.354455024481069,1,100100,100,100,1,100,215,215,97,0.97,NaN,NaN,223,217,0.973094170403587,217,217,1,217,216,0.995391705069124,88,0.88,1,215,157,4,0,0,0.00663892174475147,2,215,157,0.730232558139535,97,0.97,88,0.88,0,NaN,NaN,NaN,157,58,0,0.730232558139535,0.269767441860465,215,157,0.730232558139535,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,7850,0,150,0,1,100,100,100,100,100,100,0.746250290870667,0.00788344911962496,0.192773140224017,0.0178443424019981,2.58282692696412e-06,0.55347715064665,0.276738575323325,0.85,0.99,0.91,1,1,0.95,0.06,4.87968511713348e-06,0.41,0,0.188067543496113,0.433001938401995,0.0625075520297127,0.080666433774894,0.439328109694638,0.381395348837209,0.05,0.413953488372093,0.05,0.14,21.5517241379311,0.05,15,0.26,13,0.240873635644343,0.21724481064226,0.439328109694638,0.0751844787978965,0.076629236865809,0.0902063036268928,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run3_tp3f4ec526_4f5a_4616_8236_a6812d9aa6c0/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run3_tp3f4ec526_4f5a_4616_8236_a6812d9aa6c0/stage_metrics.csv,0,,
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,283.475481375,0.00674694273743278,0.202563566342156,1,100150,100,100,1,97,134,134,71,0.71,NaN,NaN,140,137,0.978571428571429,137,134,0.978102189781022,134,134,1,40,0.4,1,134,68,4,0,0,0.00938949427068075,2,134,68,0.507462686567164,71,0.71,40,0.4,0,NaN,NaN,NaN,68,66,0,0.507462686567164,0.492537313432836,134,68,0.507462686567164,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,3400,0,100,0,1,100,100,100,100,100,100,0.597488111257553,0.0381034352485748,0.151061041402863,0.0901467717532313,2.49183352325443e-23,0.44642706985469,0.223213534927345,0.82,0.97,1,0.94,1,0.946,0,0,0.21,0,4.50377036552337,7.67263873483492,0.0103606632463883,0.0178096913645829,7.67368255422178,0,0.05,0,0.05,0.04,44.6428571428571,0.05,40,0,0,4.57594842804664,4.50928037225115,7.67368255422178,0.010757374836636,0.0107576089560393,0.017838002297973,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run1_tp07c612aa_d546_4577_9b77_88e981e1bd45/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run1_tp07c612aa_d546_4577_9b77_88e981e1bd45/stage_metrics.csv,0,,
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,294.1634245,0.0111715524160691,0.191285261209639,1,100150,100,100,1,100,147,147,64,0.64,NaN,NaN,181,179,0.988950276243094,179,179,1,179,178,0.994413407821229,28,0.28,1,147,60,4,0,0,0.013799497827189,2,147,60,0.408163265306122,64,0.64,28,0.28,0,NaN,NaN,NaN,60,87,0,0.408163265306122,0.591836734693878,147,60,0.408163265306122,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,3000,0,50,0,1,100,100,100,100,100,100,0.683322941958904,0.0247556139532754,0.1827358575576,0.0565698287148827,5.62652884436051e-21,0.500587084401304,0.250293542200652,0.87,1,0.98,0.93,1,0.956,0,0,0.19,0,4.75708598092597,9.96670137343798,0.00988576196990566,0.01481473647912,9.98112611686984,0,0.05,0,0.05,0.04,48.0769230769231,0.05,48,0,0,5.41956004975077,4.85756650590874,9.98112611686984,0.0119922575203372,0.0115940019104567,0.0177388667772836,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run2_tp09d9a13e_9969_4e45_bc6b_6717cc1d1b3d/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run2_tp09d9a13e_9969_4e45_bc6b_6717cc1d1b3d/stage_metrics.csv,0,,
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,3,3,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,277.76404725,0.0147316848444337,0.187236002516398,1,100200,100,100,1,76,108,108,51,0.51,NaN,NaN,154,153,0.993506493506494,153,135,0.882352941176471,135,135,1,24,0.24,1,108,52,4,0,0,0.015873666340026,2,108,52,0.481481481481481,51,0.51,24,0.24,0,NaN,NaN,NaN,52,56,0,0.481481481481481,0.518518518518518,108,52,0.481481481481481,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,2600,0,50,0,1,100,100,100,100,100,100,0.580312870144844,0.0345185341164108,0.300858666412532,0.0920313330453429,2.02106714187155e-36,0.279454203732312,0.139727101866156,0.57,0.99,0.93,0.97,1,0.892,0,0,0.28,0,4.61508153883217,7.08138910855691,0.00969740715854878,0.0136408235167007,7.10193991067924,0,0.05,0,0.05,0.04,41.6666666666667,0.05,50,0,0,4.80786644085457,4.73451954942951,7.10193991067924,0.0114856936428427,0.0111799144929404,0.015273153117117,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run3_tp9504ec36_f1be_430e_b328_919a533f3343/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run3_tp9504ec36_f1be_430e_b328_919a533f3343/stage_metrics.csv,0,,
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP5_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,302.445665375,0.0158052763850687,0.341679983868713,1,100100,100,100,1,59,91,91,66,0.66,NaN,NaN,128,98,0.765625,98,91,0.928571428571429,91,91,1,26,0.26,1,91,28,4,0,0,0.022619180124219,2,91,28,0.307692307692308,66,0.66,26,0.26,0,NaN,NaN,NaN,28,63,0,0.307692307692308,0.692307692307692,91,28,0.307692307692308,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,1400,0,50,0,1,100,100,100,100,100,100,0.49641911894083,0.046522271974477,0.439597928971052,0.0507580778273512,1.91355905352353e-33,0.0568211899697781,0.0319914760440588,0.29,1,0.78,0.94,1,0.802,0,0,0.15,0,6.40083818314007,14.4233306088947,0.00958655912741188,0.0153581429901076,14.4233306088947,0,0.05,0,0.05,0.06,43.1034482758621,0.05,48,0,0,7.76906358637286,6.57183406625379,14.4233306088947,0.0110051949895457,0.0101660068506102,0.015358244624945,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run1_tpebd56a95_7958_4f83_8fd0_73e6e7f82880/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run1_tpebd56a95_7958_4f83_8fd0_73e6e7f82880/stage_metrics.csv,0,,
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP5_BC,DASCMOP_BC,2,2,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,275.0926285,0.00588921137582255,0.347717392268045,1,100100,100,100,1,100,117,117,76,0.76,NaN,NaN,121,118,0.975206611570248,118,118,1,118,117,0.991525423728814,41,0.41,1,117,56,4,0,0,0.0131557512551146,2,117,56,0.478632478632479,76,0.76,41,0.41,0,NaN,NaN,NaN,56,61,0,0.478632478632479,0.521367521367521,117,56,0.478632478632479,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,2800,0,50,0,1,100,100,100,100,100,100,0.579110349029652,0.0499519016239255,0.327391087596911,0.0361362737980085,4.37756586841888e-19,0.25171926143274,0.12585963071637,0.72,0.97,0.88,0.98,1,0.91,0,0,0.17,0,5.64017531436531,9.51128400337356,0.0109230027487979,0.0219904119591961,9.51531423286535,0,0.05,0,0.05,0.04,44.6428571428571,0.05,50,0,0,5.90534518102608,5.73682015888952,9.51531423286535,0.0150450911406969,0.0133148679417226,0.0250762214412124,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run2_tp04029695_4889_4b05_9a6c_be2336adc8d4/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run2_tp04029695_4889_4b05_9a6c_be2336adc8d4/stage_metrics.csv,0,,
C5_aiDomOnlyTrain,ref_af_nd,af_not_dominates_ai,none,neighbor4,ai_dom_only,yt_dt,binary,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP5_BC,DASCMOP_BC,3,3,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,295.886844,0.0111571900139189,0.344370913852407,1,100150,100,100,1,100,135,135,61,0.61,NaN,NaN,151,151,1,151,150,0.993377483443709,150,150,1,27,0.27,1,135,54,4,0,0,0.0146806314408787,2,135,54,0.4,61,0.61,27,0.27,0,NaN,NaN,NaN,54,81,0,0.4,0.6,135,54,0.4,1,0,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,2700,0,50,0,1,100,100,100,100,100,100,0.645258756577969,0.0213691477210549,0.323934135623276,0.012098712501746,9.67046651211552e-27,0.321324620954692,0.160662310477346,0.9,1,0.88,1,1,0.956,0,0,0.26,0,4.27909564122818,8.82957995776174,0.00986986126554136,0.0132907594323524,8.82957995776174,0,0.05,0,0.05,0.04,44.6428571428571,0.05,50,0,0,4.93172107527245,4.2984692163882,8.82957995776174,0.011404882494243,0.0112892721599585,0.0157069546924104,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run3_tp6ca3c62b_2d39_40d5_8042_15fee542ad5a/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run3_tp6ca3c62b_2d39_40d5_8042_15fee542ad5a/stage_metrics.csv,0,,
