variant,archiveParetoFilterMode,archivePairDirectionMode,archiveSourceCapMode,archivePairRefMode,trainFilterMode,conditionMode,targetRealLabelMode,generatorMode,ganCriticMode,generatorLossMode,problem,family,run,seed,status,error_message,N,D,maxFE,trainGap,nGen,zDim,perRef,nearTau,ganIter,probeRawN,stageProbeN,ganDPretrainIter,ganDSteps,ganGSteps,archiveGap,ganArchMode,ganMiniBatch,ganRealLabel,ganLrD,ganLrG,ganTrainMode,target_text,runtime,IGD,HV,Feasible_rate,finalFE,finalPopCount,finalFeasibleCount,finalFeasibleRateManual,finalBestCount,final_AF_size,final_AI_size,final_AF_ref_count,final_AF_ref_cov,final_Gap_obj_med,final_Train_AF_count,final_archive_filter_candidate_count,final_archive_filter_keep_count,final_archive_filter_keep_ratio,final_archive_pair_direction_candidate_count,final_archive_pair_direction_keep_count,final_archive_pair_direction_keep_ratio,final_archive_pair_ref_candidate_count,final_archive_pair_ref_keep_count,final_archive_pair_ref_keep_ratio,final_train_ref_count,final_train_ref_cov,final_target_triple_ready,final_target_pair_count,final_target_triple_count,final_target_condition_dim,final_target_condition_mode_code,final_target_ref_token_dim,final_target_direction_norm_mean,final_target_filter_mode_code,final_target_filter_pre_count,final_target_filter_post_count,final_target_filter_retain_ratio,final_target_filter_pre_ref_count,final_target_filter_pre_ref_cov,final_target_filter_post_ref_count,final_target_filter_post_ref_cov,final_condition_knn_k,final_condition_knn_decision_spread_mean,final_condition_knn_decision_spread_median,final_condition_knn_decision_spread_p90,final_pair_ai_dom_count,final_pair_mutual_nd_count,final_pair_af_dom_count,final_pair_ai_dom_ratio,final_pair_mutual_nd_ratio,final_train_direction_candidate_count,final_train_direction_keep_count,final_train_direction_retain_ratio,final_train_direction_mode_code,final_train_weight_count,final_train_weight_min,final_train_weight_mean,final_train_weight_max,final_boundary_quality_label_count,final_boundary_quality_label_mean,final_boundary_quality_label_median,final_boundary_quality_label_p10,final_boundary_quality_label_p90,final_boundary_quality_label_min,final_boundary_quality_label_max,final_target_mismatch_count,final_target_mismatch_identity_count,final_target_mismatch_batch_count,final_target_mismatch_identity_rate,final_gan_d_diag_status,final_gan_d_diag_count,final_gan_d_real_count,final_gan_d_ai_count,final_gan_d_fake_count,final_gan_d_mismatch_count,final_gan_d_uniform_count,final_gan_d_real_prob_mean,final_gan_d_ai_prob_mean,final_gan_d_fake_prob_mean,final_gan_d_mismatch_prob_mean,final_gan_d_uniform_prob_mean,final_gan_d_prob_gap,final_gan_d_confusion_abs_margin,final_gan_d_real_acc,final_gan_d_ai_acc,final_gan_d_fake_acc,final_gan_d_mismatch_acc,final_gan_d_uniform_acc,final_gan_d_bal_acc,final_BoundaryHit_all,final_ObjInterfaceScore,final_RefCov,final_DuplicateRate,final_GAN_to_Segment_Dist50,final_GAN_to_Segment_Dist90,final_GAN_to_Decision_Segment_Dist50,final_GAN_to_Decision_Segment_Dist90,final_GAN_to_AF_Dist90,final_AF_Cover_epsilon,final_AF_CoverEpsilon,final_PairCover_epsilon,final_PairCoverEpsilon,final_LargestClusterRate_epsilon,final_EffectiveClusterCount_epsilon,final_ClusterEpsilon,final_RawGANOutsideStandardRangeCount,final_RawGANFeasibleRate,final_InjectedCount,final_GAN_to_AF_ObjNN_mean,final_GAN_to_AF_ObjNN_median,final_GAN_to_AF_ObjNN_p90,final_GAN_to_AF_DecNN_mean,final_GAN_to_AF_DecNN_median,final_GAN_to_AF_DecNN_p90,final_RawGANVarClipRate,core_metrics_file,stage_metrics_file,snapshot_count,snapshot_folder,snapshot_manifest_file
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,842.928250708334,0.00352797954204994,0.2114950242139,1,100100,100,100,1,100,224,224,83,0.83,NaN,NaN,227,224,0.986784140969163,224,224,1,224,224,1,83,0.83,1,224,0,4,0,0,0.00518838879503012,0,224,224,1,83,0.83,83,0.83,0,NaN,NaN,NaN,147,77,0,0.65625,0.34375,0,0,NaN,0,0,NaN,NaN,NaN,224,1,1,1,1,1,1,11200,0,200,0,1,100,100,100,100,100,100,0.685031358972192,0.0239004588496865,0.248546282515163,0.0673267145122681,1.70643642182801e-09,0.436485076457029,0.218242538228515,0.72,0.98,0.95,0.97,1,0.924,0.04,3.48805825964473e-07,0.34,0,0.111225842671306,0.422896731379374,0.0430273223301484,0.0942403356553071,0.422896731379374,0.513392857142857,0.05,0.535714285714286,0.05,0.12,19.2307692307692,0.05,7,0.14,7,0.170740857781313,0.11636993793422,0.422896731379374,0.0602542540382046,0.051072178360005,0.0947278156020147,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run1_tpdf4dc2f1_a551_452c_a6cd_324c30f65285/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run1_tpdf4dc2f1_a551_452c_a6cd_324c30f65285/stage_metrics.csv,0,,
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,2,2,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,1028.523553875,0.00377969008996865,0.212019188670495,1,100000,100,100,1,100,229,229,89,0.89,NaN,NaN,238,231,0.970588235294118,231,231,1,231,231,1,89,0.89,1,229,0,4,0,0,0.00477307393294982,0,229,229,1,89,0.89,89,0.89,0,NaN,NaN,NaN,133,96,0,0.580786026200873,0.419213973799127,0,0,NaN,0,0,NaN,NaN,NaN,229,1,1,1,1,1,1,11450,0,200,0,1,100,100,100,100,100,100,0.653333461880684,0.0216550945797239,0.256150098137732,0.0261534604529185,1.94309691089168e-10,0.397183363742952,0.198591681871476,0.72,0.98,0.87,0.98,1,0.91,0.06,3.42389604005697e-07,0.36,0,0.0525776844391731,0.257646606667742,0.0301394061981511,0.0566720411576557,0.260047139284563,0.620087336244541,0.05,0.624454148471616,0.05,0.28,8.16993464052288,0.05,5,0.38,19,0.128213678977654,0.058276556829542,0.260047139284563,0.0383439408323707,0.034351209423864,0.0593827907605072,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run2_tp9bee17f4_5f88_48ad_afae_6c78f5f8a0d8/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run2_tp9bee17f4_5f88_48ad_afae_6c78f5f8a0d8/stage_metrics.csv,0,,
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP1_BC,DASCMOP_BC,3,3,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,838.459706875,0.00367261237204581,0.211299915771698,1,100100,100,100,1,100,213,213,88,0.88,NaN,NaN,219,213,0.972602739726027,213,213,1,213,213,1,88,0.88,1,213,0,4,0,0,0.0059212737288107,0,213,213,1,88,0.88,88,0.88,0,NaN,NaN,NaN,140,73,0,0.657276995305164,0.342723004694836,0,0,NaN,0,0,NaN,NaN,NaN,213,1,1,1,1,1,1,10650,0,200,0,1,100,100,100,100,100,100,0.663132317345589,0.0362113010852689,0.105790528515536,0.0728080640580538,3.75506632851761e-07,0.557341788830054,0.278670894415027,0.69,0.96,0.99,0.96,1,0.92,0.02,2.02134778600361e-09,0.32,0,0.257756315508431,2.66327454339779,0.0724462450410496,0.245065670574887,2.66327454339779,0.215962441314554,0.05,0.220657276995305,0.05,0.34,7.39644970414201,0.05,22,0.14,7,0.883517266666426,0.266627803337658,2.66327454339779,0.136606707743138,0.0887036431110962,0.251191717868509,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run3_tp93af62d6_1c25_43b0_b8d3_573a9043f543/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP1_BC_run3_tp93af62d6_1c25_43b0_b8d3_573a9043f543/stage_metrics.csv,0,,
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,754.524714458334,0.00582955100420276,0.354006871546608,1,100050,100,100,1,100,204,204,95,0.95,NaN,NaN,209,204,0.976076555023923,204,204,1,204,204,1,95,0.95,1,204,0,4,0,0,0.00700103621745152,0,204,204,1,95,0.95,95,0.95,0,NaN,NaN,NaN,138,66,0,0.676470588235294,0.323529411764706,0,0,NaN,0,0,NaN,NaN,NaN,204,1,1,1,1,1,1,10200,0,200,0,1,100,100,100,100,100,100,0.722910413849168,0.00615259206222633,0.139937756802101,0.0359841157210494,1.18338778762964e-05,0.582972657047067,0.291486328523533,0.78,1,0.92,0.97,1,0.934,0,4.00319230231835e-06,0.38,0,0.15798901844251,0.358311127360067,0.0620822131357854,0.0782107409963576,0.358311127360067,0.25,0.05,0.303921568627451,0.05,0.1,24.5098039215686,0.05,4,0.36,18,0.213540848697579,0.159143197278619,0.358311127360067,0.0707322961888095,0.0713317538477129,0.0872971601253898,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run1_tpd5795f4c_4b94_41d4_97b0_4906f21971c7/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run1_tpd5795f4c_4b94_41d4_97b0_4906f21971c7/stage_metrics.csv,0,,
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,2,2,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,870.010741166667,0.00460708664547907,0.354884235687526,1,100000,100,100,1,100,212,212,99,0.99,NaN,NaN,221,212,0.959276018099548,212,212,1,212,212,1,99,0.99,1,212,0,4,0,0,0.005844669127075,0,212,212,1,99,0.99,99,0.99,0,NaN,NaN,NaN,132,80,0,0.622641509433962,0.377358490566038,0,0,NaN,0,0,NaN,NaN,NaN,212,1,1,1,1,1,1,10600,0,200,0,1,100,100,100,100,100,100,0.859556877315044,0.000179226394040238,0.311184128336608,0.019267451038185,1.06185157630118e-05,0.548372748978436,0.274186374489218,0.97,1,0.78,0.99,1,0.948,0.02,3.84869832390031e-08,0.35,0,0.188295418205666,0.486743366606924,0.0571927047874782,0.0736559632828355,0.491472589649142,0.188679245283019,0.05,0.245283018867925,0.05,0.06,28.4090909090909,0.05,16,0.38,19,0.260159691971361,0.192723660431642,0.491472589649142,0.0685065865039761,0.0686150686771601,0.0924236913605649,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run2_tp981d5a4a_ef14_4e40_8b62_f609923dd823/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run2_tp981d5a4a_ef14_4e40_8b62_f609923dd823/stage_metrics.csv,0,,
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP2_BC,DASCMOP_BC,3,3,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,814.250556041667,0.00492629292898224,0.354449982643827,1,100100,100,100,1,100,194,194,91,0.91,NaN,NaN,205,194,0.946341463414634,194,194,1,194,194,1,91,0.91,1,194,0,4,0,0,0.00694023343717446,0,194,194,1,91,0.91,91,0.91,0,NaN,NaN,NaN,122,72,0,0.628865979381443,0.371134020618557,0,0,NaN,0,0,NaN,NaN,NaN,194,1,1,1,1,1,1,9700,0,200,0,1,100,100,100,100,100,100,0.796667959168553,0.00744262980741012,0.186564712091349,0.0339330122054567,0.00277572777418215,0.610103247077204,0.305051623538602,0.91,1,0.93,0.97,1,0.962,0.06,1.73524111517273e-06,0.33,0,0.228368654233746,0.640127454513415,0.0671279441650146,0.0911530168141305,0.640127454513415,0.298969072164948,0.05,0.309278350515464,0.05,0.08,33.7837837837838,0.05,13,0.24,12,0.356222370112116,0.256918794403052,0.640127454513415,0.076739221119711,0.0783300726935486,0.102858231525966,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run3_tpdc0a463c_f7a2_4a82_b2f0_588f92819690/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP2_BC_run3_tpdc0a463c_f7a2_4a82_b2f0_588f92819690/stage_metrics.csv,0,,
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,456.55353375,0.00467676866664023,0.201664030166792,1,100150,100,100,1,100,124,124,64,0.64,NaN,NaN,125,124,0.992,124,124,1,124,124,1,64,0.64,1,124,0,4,0,0,0.0116730112506461,0,124,124,1,64,0.64,64,0.64,0,NaN,NaN,NaN,64,60,0,0.516129032258065,0.483870967741935,0,0,NaN,0,0,NaN,NaN,NaN,124,1,1,1,1,1,1,6200,0,100,0,1,100,100,100,100,100,100,0.840822233147919,0.0184239414076165,0.100982968024817,0.0497410058335661,7.43880823475008e-29,0.739839265123103,0.369919632561551,0.93,0.99,0.98,0.95,1,0.97,0,0,0.17,0,6.05239545194604,15.1739450825157,0.0109668805719999,0.020801236156854,15.1739450825157,0,0.05,0,0.05,0.04,48.0769230769231,0.05,50,0,0,7.5627807418688,6.1461385811525,15.1739450825157,0.0145742222944025,0.0141124517118764,0.0219993348631951,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run1_tpccd28c4a_52ac_4200_b50b_6e56ab758f99/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run1_tpccd28c4a_52ac_4200_b50b_6e56ab758f99/stage_metrics.csv,0,,
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,2,2,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,378.801292375,0.00812969507550069,0.192823663112072,1,100150,100,100,1,100,114,114,56,0.56,NaN,NaN,158,157,0.993670886075949,157,154,0.980891719745223,154,153,0.993506493506494,56,0.56,1,114,0,4,0,0,0.0152752917937935,0,114,114,1,56,0.56,56,0.56,0,NaN,NaN,NaN,56,58,0,0.491228070175439,0.508771929824561,0,0,NaN,0,0,NaN,NaN,NaN,114,1,1,1,1,1,1,5700,0,100,0,1,100,100,100,100,100,100,0.720608139336109,0.00378983389698201,0.146227740343747,0.0452142880204249,5.73484422927768e-24,0.574380398992362,0.287190199496181,0.92,1,0.96,0.97,1,0.97,0,0,0.21,0,5.10363357245306,11.1279687958105,0.0095736039427931,0.0161259107096585,11.1373514105199,0,0.05,0,0.05,0.04,48.0769230769231,0.05,49,0,0,5.8931795163649,5.22605426593212,11.1373514105199,0.0121142386947047,0.0117903883251358,0.0186463000198072,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run2_tp3f1b2061_378f_4d8e_bdb9_6e048779b6f4/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run2_tp3f1b2061_378f_4d8e_bdb9_6e048779b6f4/stage_metrics.csv,0,,
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP4_BC,DASCMOP_BC,3,3,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,409.262218083333,0.0179924677596245,0.197084872748668,1,100200,100,100,1,88,136,136,65,0.65,NaN,NaN,169,160,0.946745562130177,160,159,0.99375,159,159,1,65,0.65,1,136,0,4,0,0,0.0150394032280096,0,136,136,1,65,0.65,65,0.65,0,NaN,NaN,NaN,67,69,0,0.492647058823529,0.507352941176471,0,0,NaN,0,0,NaN,NaN,NaN,136,1,1,1,1,1,1,6800,0,150,0,1,100,100,100,100,100,100,0.674661141782999,0.0158239267345124,0.149243154979995,0.0268149106104631,1.2002030069777e-33,0.525417986803004,0.262708993401502,0.87,0.98,0.95,0.99,1,0.958,0,0,0.17,0,4.06588388879778,7.01484938784037,0.00792912332733351,0.0123237242736791,7.02387059087405,0,0.05,0,0.05,0.04,48.0769230769231,0.05,47,0,0,4.18650035506198,4.09224580881605,7.02387059087405,0.0104819802941185,0.0101042857009272,0.0154707899094533,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run3_tp2139d9a6_f9ce_48e9_91e5_76646c65ccd9/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP4_BC_run3_tp2139d9a6_f9ce_48e9_91e5_76646c65ccd9/stage_metrics.csv,0,,
C7_boundaryQualityEval,ref_af_nd,af_not_dominates_ai,none,neighbor4,none,yt_dt,boundary_quality_eval,objective_target_conditioned,target_conditioned,conditional_adversarial,DASCMOP5_BC,DASCMOP_BC,1,1,ok,,100,30,100000,1,50,4,5,0.2,50,0,200,0,1,1,1,g2sl,64,0.9,0.0001,0.0001,epoch,,564.464574291667,0.00812483655159351,0.346468322656242,1,100100,100,100,1,100,108,108,71,0.71,NaN,NaN,114,112,0.982456140350877,112,110,0.982142857142857,110,108,0.981818181818182,71,0.71,1,108,0,4,0,0,0.0132761356022398,0,108,108,1,71,0.71,71,0.71,0,NaN,NaN,NaN,57,51,0,0.527777777777778,0.472222222222222,0,0,NaN,0,0,NaN,NaN,NaN,108,1,1,1,1,1,1,5400,0,100,0,1,100,100,100,100,100,100,0.496580714285374,0.0113101978308483,0.397440886162221,0.0652211750215942,1.57283359671367e-36,0.0991398281231523,0.0529891997762024,0.31,1,0.82,0.99,1,0.824,0,7.78194955870976e-07,0.19,0,3.27627161006935,6.20732253362449,0.00688574158437447,0.0103311518299951,6.20732253362449,0,0.05,0,0.05,0.04,46.2962962962963,0.05,49,0.02,1,3.72374197894257,3.28440637260495,6.20732253362449,0.00866172096256368,0.00837888323253484,0.0103311518299951,0,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run1_tp2ac8fa31_f9ae_4c9e_af27_17867a5e43ba/core_metrics.csv,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CCMO_GAN_BDG/CCMO_GAN_BDG_DASCMOP5_BC_run1_tp2ac8fa31_f9ae_4c9e_af27_17867a5e43ba/stage_metrics.csv,0,,
