problem,run,seed,target_FE,actual_FE,generation,query_mode,train_count,prev_bmem_candidate_count,prev_bmem_survivor_count,raw_generated_count,feasible_rate,gap_ratio50,gap_ratio90,near_boundary_rate_gap1,better_than_random_gap_rate,sample_feasible_count,sample_infeasible_count
LIRCMOP5_BC,3,3,10000,10000,49,boundary_populated,8,0,0,0,NaN,NaN,NaN,NaN,NaN,399,1
LIRCMOP5_BC,3,3,30000,30184,137,boundary_populated,64,71,57,30,0.166666666666667,0.678712814408756,2.71561705726482,0.666666666666667,1,337,63
LIRCMOP5_BC,3,3,50000,50148,224,boundary_populated,86,87,56,30,0.166666666666667,0.806384158927302,5.43875001764923,0.6,1,245,155
LIRCMOP5_BC,3,3,70000,70046,315,boundary_populated,18,24,8,0,NaN,NaN,NaN,NaN,NaN,243,157
LIRCMOP5_BC,3,3,100000,100018,459,boundary_populated,26,22,5,0,NaN,NaN,NaN,NaN,NaN,259,141
LIRCMOP6_BC,3,3,10000,10156,48,boundary_populated,101,136,95,30,1,12.5692701018603,51.1334049825958,0.0333333333333333,1,375,25
LIRCMOP6_BC,3,3,30000,30156,135,boundary_populated,60,71,51,30,0.233333333333333,0.868889322090358,3.08642471074157,0.533333333333333,1,328,72
LIRCMOP6_BC,3,3,50000,50078,222,boundary_populated,104,81,88,30,0.2,1.03349658238441,1.91841948745763,0.5,1,311,89
LIRCMOP6_BC,3,3,70000,70088,309,boundary_populated,153,151,132,30,0.4,1.84459200251188,4.60583308782326,0.366666666666667,1,254,146
LIRCMOP6_BC,3,3,100000,100062,440,boundary_populated,44,27,9,26,0.0384615384615385,4.7420004314557,12.8068648035565,0.0384615384615385,1,240,160
LIRCMOP7_BC,3,3,10000,10080,47,boundary_populated,135,145,128,30,0.5,1.02381296611154,8.97779890092288,0.5,1,358,42
LIRCMOP7_BC,3,3,30000,30070,134,boundary_populated,98,94,84,30,0.166666666666667,1.03815220688285,6.32708003021611,0.5,1,291,109
LIRCMOP7_BC,3,3,50000,50034,221,boundary_populated,89,83,77,30,0.133333333333333,0.860468728533714,4.40362924861636,0.566666666666667,1,272,128
LIRCMOP7_BC,3,3,70000,70044,308,boundary_populated,131,149,108,30,0.133333333333333,0.975350572109597,3.05344999998776,0.5,1,213,187
LIRCMOP7_BC,3,3,100000,100174,439,boundary_populated,146,138,122,30,0.133333333333333,2.06097814718338,30.4542797176807,0.266666666666667,1,194,206
LIRCMOP8_BC,3,3,10000,10090,46,boundary_populated,156,150,151,30,0.466666666666667,1.16201248914302,6.86613435504328,0.4,1,354,46
LIRCMOP8_BC,3,3,30000,30092,133,boundary_populated,94,88,75,30,0.266666666666667,0.33363985426865,1.70785841919935,0.766666666666667,1,334,66
LIRCMOP8_BC,3,3,50000,50136,221,boundary_populated,47,42,37,30,0.0666666666666667,2.40919483888536,9.51343876142131,0.233333333333333,1,361,39
LIRCMOP8_BC,3,3,70000,70132,308,boundary_populated,103,94,87,30,0.133333333333333,0.981387447037153,4.14062413735686,0.533333333333333,1,279,121
LIRCMOP8_BC,3,3,100000,100032,438,boundary_populated,133,128,114,30,0.1,0.542224830597604,2.39819990990009,0.766666666666667,1,238,162
LIRCMOP9_BC,3,3,10000,10102,49,boundary_populated,16,9,9,0,NaN,NaN,NaN,NaN,NaN,237,163
LIRCMOP9_BC,3,3,30000,30118,145,boundary_populated,41,47,14,18,0.833333333333333,0.0622037070533046,99.9625842721751,0.611111111111111,1,278,122
LIRCMOP9_BC,3,3,50000,50094,237,boundary_populated,51,29,18,24,0.708333333333333,0.254039799376451,74.922195679479,0.583333333333333,1,240,160
LIRCMOP9_BC,3,3,70000,70130,328,boundary_populated,57,50,26,24,0.416666666666667,1.04916725990888,5.09604345447948,0.5,1,235,165
LIRCMOP9_BC,3,3,100000,100120,462,boundary_populated,61,63,30,28,0.535714285714286,1.1705895151508,23.897067363109,0.5,1,228,172
LIRCMOP10_BC,3,3,10000,10058,48,boundary_populated,29,33,15,0,NaN,NaN,NaN,NaN,NaN,276,124
LIRCMOP10_BC,3,3,30000,30078,142,boundary_populated,65,58,31,28,0.428571428571429,2.19220802712148,42.9890882714545,0.428571428571429,1,281,119
LIRCMOP10_BC,3,3,50000,50162,230,boundary_populated,74,67,38,30,0.333333333333333,0.658194070908424,35.3283131585145,0.533333333333333,1,266,134
LIRCMOP10_BC,3,3,70000,70114,317,boundary_populated,73,67,38,30,0.3,1.47678021869228,29.0217967770101,0.4,1,253,147
LIRCMOP10_BC,3,3,100000,100004,447,boundary_populated,74,77,50,30,0.5,0.723699250417163,14.1690755903717,0.533333333333333,1,225,175
