problem,run,seed,target_FE,actual_FE,generation,query_mode,train_count,prev_bmem_candidate_count,prev_bmem_survivor_count,raw_generated_count,feasible_rate,gap_ratio50,gap_ratio90,near_boundary_rate_gap1,better_than_random_gap_rate,sample_feasible_count,sample_infeasible_count
LIRCMOP5_BC,3,3,10000,10000,49,random_all_w,8,0,0,0,NaN,NaN,NaN,NaN,NaN,399,1
LIRCMOP5_BC,3,3,30000,30210,137,random_all_w,46,49,32,30,0.5,2.44069646844473,10.0693017603541,0.266666666666667,1,348,52
LIRCMOP5_BC,3,3,50000,50220,224,random_all_w,89,104,73,30,0.333333333333333,1.63269412367333,10.2078941113042,0.266666666666667,1,221,179
LIRCMOP5_BC,3,3,70000,70160,318,random_all_w,10,18,7,0,NaN,NaN,NaN,NaN,NaN,267,133
LIRCMOP5_BC,3,3,100000,100100,465,random_all_w,21,22,9,0,NaN,NaN,NaN,NaN,NaN,268,132
LIRCMOP6_BC,3,3,10000,10160,48,random_all_w,139,127,133,30,1,4.58135089468497,6.48458495514436,0,1,356,44
LIRCMOP6_BC,3,3,30000,30110,135,random_all_w,40,45,25,30,0.733333333333333,13.2792770925688,32.1328051883891,0.233333333333333,1,340,60
LIRCMOP6_BC,3,3,50000,50120,222,random_all_w,100,107,81,30,0.366666666666667,2.29888158719397,10.0083164638556,0.166666666666667,1,264,136
LIRCMOP6_BC,3,3,70000,70130,309,random_all_w,56,54,35,30,0.1,3.068736495019,16.3224265238092,0.0333333333333333,1,239,161
LIRCMOP6_BC,3,3,100000,100190,444,random_all_w,26,25,5,0,NaN,NaN,NaN,NaN,NaN,262,138
LIRCMOP7_BC,3,3,10000,10080,47,random_all_w,59,86,48,30,0.466666666666667,1.14959704468858,8.63629876103613,0.366666666666667,1,358,42
LIRCMOP7_BC,3,3,30000,30090,134,random_all_w,83,78,69,30,0.166666666666667,2.37108579041415,34.0915797150932,0.1,1,280,120
LIRCMOP7_BC,3,3,50000,50100,221,random_all_w,75,83,61,30,0.1,1.10685443298636,3.57408826155581,0.466666666666667,1,232,168
LIRCMOP7_BC,3,3,70000,70110,308,random_all_w,142,141,123,30,0.233333333333333,0.736009956349505,7.8968580920057,0.6,1,159,241
LIRCMOP7_BC,3,3,100000,100010,438,random_all_w,86,110,56,30,0.0333333333333333,1.26290325826661,6.11581026559699,0.466666666666667,1,127,273
LIRCMOP8_BC,3,3,10000,10090,46,random_all_w,84,77,68,30,0.0333333333333333,2.39949429871945,3.52218431246437,0.133333333333333,1,341,59
LIRCMOP8_BC,3,3,30000,30100,133,random_all_w,93,112,77,30,0.3,0.82034407430079,3.47428882220526,0.633333333333333,1,332,68
LIRCMOP8_BC,3,3,50000,50110,220,random_all_w,82,83,71,30,0.166666666666667,2.44125150431642,7.54640230087331,0.3,1,311,89
LIRCMOP8_BC,3,3,70000,70120,307,random_all_w,96,73,62,30,0.233333333333333,0.386090911340579,3.64801969381018,0.733333333333333,1,255,145
LIRCMOP8_BC,3,3,100000,100020,437,random_all_w,153,125,113,30,0.1,1.22593844153032,3.61989065796865,0.433333333333333,1,174,226
LIRCMOP9_BC,3,3,10000,10070,48,random_all_w,11,16,9,0,NaN,NaN,NaN,NaN,NaN,220,180
LIRCMOP9_BC,3,3,30000,30100,139,random_all_w,42,44,12,30,0.5,2.91622082626609,340.252507884616,0.333333333333333,1,284,116
LIRCMOP9_BC,3,3,50000,50160,227,random_all_w,31,44,14,0,NaN,NaN,NaN,NaN,NaN,236,164
LIRCMOP9_BC,3,3,70000,70110,314,random_all_w,45,44,18,30,0.7,7.36240611312376,38.2635582393686,0.333333333333333,1,194,206
LIRCMOP9_BC,3,3,100000,100010,444,random_all_w,61,68,34,30,0.233333333333333,10.1877447001179,40.1978014161299,0.133333333333333,1,195,205
LIRCMOP10_BC,3,3,10000,10100,48,random_all_w,24,27,15,0,NaN,NaN,NaN,NaN,NaN,284,116
LIRCMOP10_BC,3,3,30000,30040,139,random_all_w,45,57,19,30,0.633333333333333,12.3119243448008,64.6037750114358,0.266666666666667,1,267,133
LIRCMOP10_BC,3,3,50000,50050,226,random_all_w,66,74,23,30,0.433333333333333,1.68476128144117,42.8983135956792,0.366666666666667,1,257,143
LIRCMOP10_BC,3,3,70000,70060,313,random_all_w,80,84,44,30,0.433333333333333,171.347542501625,430.066693113598,0.233333333333333,0.9,243,157
LIRCMOP10_BC,3,3,100000,100190,444,random_all_w,99,93,69,30,0.233333333333333,1.40636665544988,6.23758798686528,0.433333333333333,1,252,148
