problem,run,target_FE,actual_FE,generation,figure_file
LIRCMOP5_BC,1,10000,10130,48,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/active_layer_runs1_8workers_20260627_130113/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE010000_region_boundary.png
LIRCMOP5_BC,1,30000,30190,145,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/active_layer_runs1_8workers_20260627_130113/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE030000_region_boundary.png
LIRCMOP5_BC,1,50000,50080,241,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/active_layer_runs1_8workers_20260627_130113/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE050000_region_boundary.png
LIRCMOP5_BC,1,70000,70080,341,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/active_layer_runs1_8workers_20260627_130113/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE070000_region_boundary.png
LIRCMOP5_BC,1,100000,100080,491,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/active_layer_runs1_8workers_20260627_130113/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE100000_region_boundary.png
LIRCMOP6_BC,1,10000,10060,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/active_layer_runs1_8workers_20260627_130113/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE010000_region_boundary.png
LIRCMOP6_BC,1,30000,30010,142,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/active_layer_runs1_8workers_20260627_130113/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE030000_region_boundary.png
LIRCMOP6_BC,1,50000,50150,234,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/active_layer_runs1_8workers_20260627_130113/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE050000_region_boundary.png
LIRCMOP6_BC,1,70000,70200,326,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/active_layer_runs1_8workers_20260627_130113/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE070000_region_boundary.png
LIRCMOP6_BC,1,100000,100120,463,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/active_layer_runs1_8workers_20260627_130113/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE100000_region_boundary.png
