problem,run,seed,target_FE,actual_FE,generation,query_mode,train_count,prev_bmem_candidate_count,prev_bmem_survivor_count,active_layer_candidate_count,active_layer_component_count,active_layer_selected_size,active_layer_selected_ref_count,active_layer_rejected_count,raw_generated_count,feasible_rate,gap_ratio50,gap_ratio90,near_boundary_rate_gap1,better_than_random_gap_rate,sample_feasible_count,sample_infeasible_count
LIRCMOP5_BC,1,1,10000,10130,48,random_all_w,61,63,55,116,13,61,13,55,30,1,19.0605449881196,33.8131412005533,0,1,367,33
LIRCMOP5_BC,1,1,30000,30190,145,random_all_w,25,20,22,47,7,28,7,19,0,NaN,NaN,NaN,NaN,NaN,329,71
LIRCMOP5_BC,1,1,50000,50080,241,random_all_w,26,14,0,92,19,26,10,66,0,NaN,NaN,NaN,NaN,NaN,202,198
LIRCMOP5_BC,1,1,70000,70080,341,random_all_w,15,13,0,45,8,15,5,30,0,NaN,NaN,NaN,NaN,NaN,256,144
LIRCMOP5_BC,1,1,100000,100080,491,random_all_w,17,10,9,26,4,17,7,9,0,NaN,NaN,NaN,NaN,NaN,274,126
LIRCMOP6_BC,1,1,10000,10060,49,random_all_w,47,34,44,56,1,56,18,0,30,1,64.1354175227497,82.7458657448388,0,0.7,383,17
LIRCMOP6_BC,1,1,30000,30010,142,random_all_w,26,36,11,85,16,26,13,59,0,NaN,NaN,NaN,NaN,NaN,349,51
LIRCMOP6_BC,1,1,50000,50150,234,random_all_w,53,127,52,160,11,59,20,101,30,0.333333333333333,3.68039343374545,30.075856111866,0.133333333333333,1,291,109
LIRCMOP6_BC,1,1,70000,70200,326,random_all_w,35,46,0,68,11,35,16,33,30,0.233333333333333,1.81939218447288,10.5211371056072,0.266666666666667,1,290,110
LIRCMOP6_BC,1,1,100000,100120,463,random_all_w,8,7,0,54,19,8,2,46,0,NaN,NaN,NaN,NaN,NaN,264,136
LIRCMOP7_BC,1,1,10000,10050,47,random_all_w,12,8,0,76,15,12,8,64,0,NaN,NaN,NaN,NaN,NaN,328,72
LIRCMOP7_BC,1,1,30000,30080,144,random_all_w,12,11,12,38,11,13,4,25,0,NaN,NaN,NaN,NaN,NaN,311,89
LIRCMOP7_BC,1,1,50000,50050,241,random_all_w,35,49,7,122,13,35,11,87,30,0.0666666666666667,2.19156958649371,12.4572602392012,0.266666666666667,1,150,250
LIRCMOP7_BC,1,1,70000,70150,334,random_all_w,22,75,9,133,21,22,6,111,0,NaN,NaN,NaN,NaN,NaN,165,235
LIRCMOP7_BC,1,1,100000,100070,477,random_all_w,15,26,0,110,18,15,10,95,0,NaN,NaN,NaN,NaN,NaN,138,262
LIRCMOP8_BC,1,1,10000,10020,47,random_all_w,131,112,113,153,8,133,29,20,30,0.866666666666667,2.15325745253152,5.71788773271081,0.233333333333333,1,351,49
LIRCMOP8_BC,1,1,30000,30200,138,random_all_w,59,71,56,113,7,59,16,54,30,0.333333333333333,1.13724385130527,18.2819530831957,0.466666666666667,1,301,99
LIRCMOP8_BC,1,1,50000,50170,232,random_all_w,36,23,25,70,16,37,12,33,30,0.133333333333333,8.38331164170776,14.3594581215525,0,1,265,135
LIRCMOP8_BC,1,1,70000,70080,326,random_all_w,44,81,35,96,10,44,11,52,30,0.0666666666666667,2.92677912090835,9.90604995713668,0.2,1,214,186
LIRCMOP8_BC,1,1,100000,100070,459,random_all_w,54,21,21,104,10,63,29,41,30,0.133333333333333,4.70283669755388,22.4644208955055,0.3,1,174,226
LIRCMOP9_BC,1,1,10000,10000,49,random_all_w,6,15,0,31,12,6,2,25,0,NaN,NaN,NaN,NaN,NaN,235,165
LIRCMOP9_BC,1,1,30000,30000,149,random_all_w,10,9,0,43,13,10,2,33,0,NaN,NaN,NaN,NaN,NaN,274,126
LIRCMOP9_BC,1,1,50000,50000,249,random_all_w,5,7,0,39,13,5,2,34,0,NaN,NaN,NaN,NaN,NaN,237,163
LIRCMOP9_BC,1,1,70000,70030,349,random_all_w,10,3,3,35,9,10,3,25,0,NaN,NaN,NaN,NaN,NaN,220,180
LIRCMOP9_BC,1,1,100000,100060,499,random_all_w,12,9,0,48,17,12,3,36,0,NaN,NaN,NaN,NaN,NaN,188,212
LIRCMOP10_BC,1,1,10000,10000,49,random_all_w,4,5,0,18,8,4,1,14,0,NaN,NaN,NaN,NaN,NaN,304,96
LIRCMOP10_BC,1,1,30000,30000,149,random_all_w,13,12,5,60,13,13,3,47,0,NaN,NaN,NaN,NaN,NaN,271,129
LIRCMOP10_BC,1,1,50000,50000,249,random_all_w,14,17,0,72,17,14,3,58,0,NaN,NaN,NaN,NaN,NaN,266,134
LIRCMOP10_BC,1,1,70000,70000,349,random_all_w,19,17,14,86,15,19,4,67,0,NaN,NaN,NaN,NaN,NaN,252,148
LIRCMOP10_BC,1,1,100000,100030,499,random_all_w,19,14,0,77,18,19,4,58,0,NaN,NaN,NaN,NaN,NaN,242,158
