stage,branch,gan_iter,problem,generated,train_count,raw_generated_count,feasible_rate,near_gap1,gap50,gap90,better_random
stage1,baseline_random_iter50,50,LIRCMOP5_BC,0,26.000,0.000,,,,,
stage1,baseline_random_iter50,50,LIRCMOP6_BC,1,58.000,30.000,0.200,0.500,0.989,2.435,1.000
stage1,baseline_random_iter50,50,LIRCMOP7_BC,1,152.000,30.000,0.133,0.467,1.511,12.001,1.000
stage1,baseline_random_iter50,50,LIRCMOP8_BC,1,191.000,30.000,0.200,0.533,0.967,5.798,1.000
stage1,baseline_random_iter50,50,LIRCMOP9_BC,1,62.000,30.000,0.533,0.267,18.924,85.977,1.000
stage1,baseline_random_iter50,50,LIRCMOP10_BC,1,92.000,30.000,0.133,0.267,2.269,15.877,1.000
stage1,query_boundary_iter50,50,LIRCMOP5_BC,0,26.000,0.000,,,,,
stage1,query_boundary_iter50,50,LIRCMOP6_BC,1,44.000,26.000,0.038,0.038,4.742,12.807,1.000
stage1,query_boundary_iter50,50,LIRCMOP7_BC,1,146.000,30.000,0.133,0.267,2.061,30.454,1.000
stage1,query_boundary_iter50,50,LIRCMOP8_BC,1,133.000,30.000,0.100,0.767,0.542,2.398,1.000
stage1,query_boundary_iter50,50,LIRCMOP9_BC,1,61.000,28.000,0.536,0.500,1.171,23.897,1.000
stage1,query_boundary_iter50,50,LIRCMOP10_BC,1,74.000,30.000,0.500,0.533,0.724,14.169,1.000
stage1,random_iter100,100,LIRCMOP5_BC,1,34.000,30.000,0.167,0.167,3.253,17.060,1.000
stage1,random_iter100,100,LIRCMOP6_BC,1,41.000,30.000,0.167,0.467,1.122,7.134,1.000
stage1,random_iter100,100,LIRCMOP7_BC,1,161.000,30.000,0.167,0.467,1.276,5.152,1.000
stage1,random_iter100,100,LIRCMOP8_BC,1,200.000,30.000,0.167,0.300,1.503,4.068,1.000
stage1,random_iter100,100,LIRCMOP9_BC,1,61.000,30.000,0.467,0.233,14.592,44.730,1.000
stage1,random_iter100,100,LIRCMOP10_BC,1,111.000,30.000,0.200,0.600,0.825,3.974,1.000
stage1,query_boundary_iter100,100,LIRCMOP5_BC,0,25.000,0.000,,,,,
stage1,query_boundary_iter100,100,LIRCMOP6_BC,0,29.000,0.000,,,,,
stage1,query_boundary_iter100,100,LIRCMOP7_BC,1,146.000,30.000,0.233,0.567,0.878,3.211,1.000
stage1,query_boundary_iter100,100,LIRCMOP8_BC,1,124.000,30.000,0.267,0.733,0.396,1.891,1.000
stage1,query_boundary_iter100,100,LIRCMOP9_BC,1,58.000,30.000,0.533,0.600,0.377,49.027,1.000
stage1,query_boundary_iter100,100,LIRCMOP10_BC,1,88.000,30.000,0.433,0.500,1.041,22.778,1.000
stage2,query_boundary_iter75,75,LIRCMOP5_BC,1,32.000,20.000,0.050,0.050,4.806,11.015,1.000
stage2,query_boundary_iter75,75,LIRCMOP6_BC,1,35.000,22.000,0.227,0.409,1.176,4.527,1.000
stage2,query_boundary_iter75,75,LIRCMOP7_BC,1,171.000,30.000,0.133,0.400,1.104,3.976,1.000
stage2,query_boundary_iter75,75,LIRCMOP8_BC,1,126.000,30.000,0.200,0.567,0.795,2.226,1.000
stage2,query_boundary_iter75,75,LIRCMOP9_BC,1,59.000,28.000,0.607,0.393,5.090,137.164,1.000
stage2,query_boundary_iter75,75,LIRCMOP10_BC,1,113.000,30.000,0.400,0.467,1.039,20.572,1.000
stage2,query_boundary_iter150,150,LIRCMOP5_BC,0,28.000,0.000,,,,,
stage2,query_boundary_iter150,150,LIRCMOP6_BC,1,37.000,26.000,0.038,0.346,1.585,5.385,1.000
stage2,query_boundary_iter150,150,LIRCMOP7_BC,1,146.000,30.000,0.067,0.500,1.045,4.874,1.000
stage2,query_boundary_iter150,150,LIRCMOP8_BC,1,188.000,30.000,0.100,0.333,2.261,11.981,1.000
stage2,query_boundary_iter150,150,LIRCMOP9_BC,1,47.000,24.000,0.250,0.458,1.449,5.170,1.000
stage2,query_boundary_iter150,150,LIRCMOP10_BC,1,84.000,30.000,0.533,0.533,0.678,3.697,1.000
