problem,run,target_FE,actual_FE,generation,figure_file
LIRCMOP5_BC,1,10000,10020,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE010000_region_boundary.png
LIRCMOP5_BC,1,30000,30030,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE030000_region_boundary.png
LIRCMOP5_BC,1,50000,50040,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE050000_region_boundary.png
LIRCMOP5_BC,1,70000,70050,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE070000_region_boundary.png
LIRCMOP5_BC,1,100000,100180,439,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP5_BC_run1/figures/LIRCMOP5_BC_run1_FE100000_region_boundary.png
LIRCMOP6_BC,1,10000,10180,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE010000_region_boundary.png
LIRCMOP6_BC,1,30000,30190,136,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE030000_region_boundary.png
LIRCMOP6_BC,1,50000,50200,223,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE050000_region_boundary.png
LIRCMOP6_BC,1,70000,70210,310,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE070000_region_boundary.png
LIRCMOP6_BC,1,100000,100110,443,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP6_BC_run1/figures/LIRCMOP6_BC_run1_FE100000_region_boundary.png
LIRCMOP7_BC,1,10000,10150,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE010000_region_boundary.png
LIRCMOP7_BC,1,30000,30160,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE030000_region_boundary.png
LIRCMOP7_BC,1,50000,50170,220,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE050000_region_boundary.png
LIRCMOP7_BC,1,70000,70180,307,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE070000_region_boundary.png
LIRCMOP7_BC,1,100000,100080,437,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP7_BC_run1/figures/LIRCMOP7_BC_run1_FE100000_region_boundary.png
LIRCMOP8_BC,1,10000,10080,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/CBS_RegionCGAN/LIRCMOP8_BC_run1/figures/LIRCMOP8_BC_run1_FE010000_region_boundary.png
