problem,run,seed,target_FE,actual_FE,generation,query_mode,train_count,raw_generated_count,feasible_rate,gap_ratio50,gap_ratio90,near_boundary_rate_gap1,better_than_random_gap_rate,sample_feasible_count,sample_infeasible_count
LIRCMOP5_BC,1,1,10000,10020,47,random_all_w,78,30,0.9,1.68504352519022,12.0036262341009,0.3,1,362,38
LIRCMOP5_BC,1,1,30000,30030,134,random_all_w,38,30,0.333333333333333,0.94479148874648,2.28605795278762,0.566666666666667,1,313,87
LIRCMOP5_BC,1,1,50000,50040,221,random_all_w,24,30,0.733333333333333,7.74648681154812,21.9365746716452,0.2,1,314,86
LIRCMOP5_BC,1,1,70000,70050,308,random_all_w,85,30,0.433333333333333,2.76175526326593,8.19761543320693,0.233333333333333,1,274,126
LIRCMOP5_BC,1,1,100000,100020,440,random_all_w,34,30,0.0333333333333333,4.52566803362847,12.7862085696746,0.0333333333333333,1,254,146
LIRCMOP6_BC,1,1,10000,10180,49,random_all_w,50,30,1,7.84952089072474,9.35389141433534,0,1,386,14
LIRCMOP6_BC,1,1,30000,30160,136,random_all_w,57,30,0.433333333333333,0.265965716225662,1.43414789512173,0.833333333333333,1,310,90
LIRCMOP6_BC,1,1,50000,50170,223,random_all_w,84,30,0.0666666666666667,0.356256315393014,3.10105504016324,0.6,1,269,131
LIRCMOP6_BC,1,1,70000,70180,310,random_all_w,73,30,0.266666666666667,2.15045894467203,8.61519686198674,0.4,1,240,160
LIRCMOP6_BC,1,1,100000,100080,440,random_all_w,51,30,0.233333333333333,3.18262988632656,10.4439348667542,0.133333333333333,1,248,152
LIRCMOP7_BC,1,1,10000,10150,46,random_all_w,48,30,0.333333333333333,1.42337484430029,2.68352956009749,0.3,1,329,71
LIRCMOP7_BC,1,1,30000,30160,133,random_all_w,43,30,0.333333333333333,2.01072406470146,11.1454571984087,0.233333333333333,1,290,110
LIRCMOP7_BC,1,1,50000,50170,220,random_all_w,63,30,0.266666666666667,0.852688257895183,4.4680035500232,0.533333333333333,1,280,120
LIRCMOP7_BC,1,1,70000,70180,307,random_all_w,96,30,0.1,4.04477106163605,15.7183922576365,0.166666666666667,1,154,246
LIRCMOP7_BC,1,1,100000,100080,437,random_all_w,82,30,0.1,2.22600616436929,12.5212092917841,0.3,1,135,265
LIRCMOP8_BC,1,1,10000,10080,47,random_all_w,79,30,0.633333333333333,1.67845798921745,4.55351640237426,0.266666666666667,1,358,42
LIRCMOP8_BC,1,1,30000,30090,134,random_all_w,51,30,0.2,0.615236667645486,4.5423174714777,0.6,1,315,85
LIRCMOP8_BC,1,1,50000,50100,221,random_all_w,61,30,0.133333333333333,1.0078941780311,6.85533055837464,0.466666666666667,1,254,146
LIRCMOP8_BC,1,1,70000,70110,308,random_all_w,77,30,0.0666666666666667,1.62100124250047,9.64081625565016,0.433333333333333,1,275,125
LIRCMOP8_BC,1,1,100000,100010,438,random_all_w,109,30,0.2,1.51156286708091,11.5702732263964,0.366666666666667,1,177,223
LIRCMOP9_BC,1,1,10000,10150,46,random_all_w,36,30,1,103.551848724623,144.664488893406,0,1,198,202
LIRCMOP9_BC,1,1,30000,30090,134,random_all_w,40,30,0.633333333333333,13.0119834775483,389.494535006821,0.333333333333333,0.9,292,108
LIRCMOP9_BC,1,1,50000,50100,221,random_all_w,51,30,0.5,9.23086045506215,180.259533566887,0.2,0.966666666666667,241,159
LIRCMOP9_BC,1,1,70000,70110,308,random_all_w,52,30,0.666666666666667,9.87008097495188,294.518666989896,0.3,0.966666666666667,225,175
LIRCMOP9_BC,1,1,100000,100010,438,random_all_w,39,30,0.666666666666667,179.736691138507,912.47728186482,0.0666666666666667,0.933333333333333,202,198
LIRCMOP10_BC,1,1,10000,10030,46,random_all_w,23,30,0.233333333333333,3.21237411570933,8.93030835194713,0.133333333333333,1,304,96
LIRCMOP10_BC,1,1,30000,30040,133,random_all_w,57,30,0.366666666666667,11.5605989469712,143.100633482664,0.266666666666667,1,267,133
LIRCMOP10_BC,1,1,50000,50050,220,random_all_w,64,30,0.333333333333333,1.06143729664225,31.0306677738123,0.5,1,265,135
LIRCMOP10_BC,1,1,70000,70060,307,random_all_w,76,30,0.166666666666667,2.41431550347869,17.8328630746843,0.266666666666667,1,235,165
LIRCMOP10_BC,1,1,100000,100190,438,random_all_w,92,30,0.166666666666667,1.20816964446344,3.37668618908528,0.4,1,249,151
