problem,run,target_FE,actual_FE,generation,figure_file
LIRCMOP10_BC,1,10000,10030,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP10_BC_run1_FE010000_domain_boundary.png
LIRCMOP10_BC,1,30000,30040,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP10_BC_run1_FE030000_domain_boundary.png
LIRCMOP10_BC,1,50000,50050,220,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP10_BC_run1_FE050000_domain_boundary.png
LIRCMOP10_BC,1,70000,70060,307,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP10_BC_run1_FE070000_domain_boundary.png
LIRCMOP10_BC,1,100000,100190,438,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP10_BC_run1_FE100000_domain_boundary.png
LIRCMOP5_BC,1,10000,10020,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP5_BC_run1_FE010000_domain_boundary.png
LIRCMOP5_BC,1,30000,30030,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP5_BC_run1_FE030000_domain_boundary.png
LIRCMOP5_BC,1,50000,50040,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP5_BC_run1_FE050000_domain_boundary.png
LIRCMOP5_BC,1,70000,70050,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP5_BC_run1_FE070000_domain_boundary.png
LIRCMOP5_BC,1,100000,100020,440,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP5_BC_run1_FE100000_domain_boundary.png
LIRCMOP6_BC,1,10000,10180,49,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP6_BC_run1_FE010000_domain_boundary.png
LIRCMOP6_BC,1,30000,30160,136,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP6_BC_run1_FE030000_domain_boundary.png
LIRCMOP6_BC,1,50000,50170,223,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP6_BC_run1_FE050000_domain_boundary.png
LIRCMOP6_BC,1,70000,70180,310,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP6_BC_run1_FE070000_domain_boundary.png
LIRCMOP6_BC,1,100000,100080,440,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP6_BC_run1_FE100000_domain_boundary.png
LIRCMOP7_BC,1,10000,10150,46,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP7_BC_run1_FE010000_domain_boundary.png
LIRCMOP7_BC,1,30000,30160,133,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP7_BC_run1_FE030000_domain_boundary.png
LIRCMOP7_BC,1,50000,50170,220,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP7_BC_run1_FE050000_domain_boundary.png
LIRCMOP7_BC,1,70000,70180,307,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP7_BC_run1_FE070000_domain_boundary.png
LIRCMOP7_BC,1,100000,100080,437,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP7_BC_run1_FE100000_domain_boundary.png
LIRCMOP8_BC,1,10000,10080,47,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP8_BC_run1_FE010000_domain_boundary.png
LIRCMOP8_BC,1,30000,30090,134,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP8_BC_run1_FE030000_domain_boundary.png
LIRCMOP8_BC,1,50000,50100,221,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP8_BC_run1_FE050000_domain_boundary.png
LIRCMOP8_BC,1,70000,70110,308,/Users/lanai/Code/Matlab/PlatEMO/PlatEMO/Data/CBS_RegionGAN_compare/refcap5_min16_mb16_LIR5_10_runs1_20260626_201509/domain_figures_CBS_RegionWGAN_GP/LIRCMOP8_BC_run1_FE070000_domain_boundary.png
