problem,family,run,seed,updateIndex,generation,FE,reason,calibrator,valid,auditReady,auditPhase,boundaryCount,eceBd,gapBd,trainCount,calCount,testCount,strictSeparation,trainCalOverlap,trainTestOverlap,calTestOverlap
LIRCMOP1_BC,LIRCMOP_BC,1,1303,1,0,100,initial_train,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,2,1,200,missing_model,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,3,5,600,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,4,10,1100,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,5,15,1600,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,6,20,2100,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,7,25,2600,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,8,30,3100,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,9,35,3600,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,10,40,4100,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,11,45,4600,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,12,50,5100,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,13,55,5600,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,14,60,6100,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,15,65,6600,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,16,70,7100,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,17,75,7600,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,18,80,8100,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,19,85,8600,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,20,90,9100,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
LIRCMOP1_BC,LIRCMOP_BC,1,1303,21,95,9600,periodic,raw,0,0,not_yet_auditable,0,NaN,NaN,0,0,0,1,0,0,0
