scope,name,family,problemCount,runCount,candidateCount_mean,candidateCount_median,selectedSeedCount_mean,selectedSeedCount_median,M1_mean,M1_median,M1_eligible_mean,M1_selected_mean,M2_mean,M2_median,M3_mean,M3_median,M3_downstream_mean,M4_mean,M4_median,M4_tight_mean,M4_recover_mean,M5_boundaryEce_mean,M5_boundaryEce_median,M5_boundaryGap_mean,M5_boundaryGap_median,M5_validRunCount,auditReadyRunCount,validUpdateCount_mean,auditReadyUpdateCount_mean,variant,variantDescription,requestedCalibrator,variantElapsedSeconds
problem,DASCMOP1_BC,DASCMOP_BC,1,1,82,82,39,39,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0,0.0512820512820513,NaN,NaN,NaN,NaN,0,0,0,0,boundarycore_beta,"BoundaryCore mainline with beta calibrator",beta,1.39805816666667
problem,DASCMOP1_BC,DASCMOP_BC,1,1,82,82,39,39,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0,0.0512820512820513,NaN,NaN,NaN,NaN,0,0,0,0,boundarycore_raw,"BoundaryCore mainline with raw calibrator",raw,0.710386041666667
problem,DASCMOP1_BC,DASCMOP_BC,1,1,74,74,39,39,0,0,0,0,1,1,0,0,1,1,1,0,0.0263157894736842,NaN,NaN,NaN,NaN,0,0,0,0,bridge_topk_1,"Bridge ablation with BridgeTopK = 1",beta,0.67033625
problem,DASCMOP1_BC,DASCMOP_BC,1,1,77,77,39,39,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0.0512820512820513,0.0769230769230769,NaN,NaN,NaN,NaN,0,0,0,0,bridge_topk_3,"Bridge ablation with BridgeTopK = 3",beta,0.643399708333333
problem,DASCMOP1_BC,DASCMOP_BC,1,1,82,82,39,39,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0,0.0512820512820513,NaN,NaN,NaN,NaN,0,0,0,0,bridge_gap_0,"Bridge ablation with BridgeActivationGap = 0",beta,0.4763545
problem,DASCMOP1_BC,DASCMOP_BC,1,1,82,82,39,39,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0,0.0512820512820513,NaN,NaN,NaN,NaN,0,0,0,0,bridge_gap_0p02,"Bridge ablation with BridgeActivationGap = 0.02",beta,0.464085208333333
problem,DASCMOP1_BC,DASCMOP_BC,1,1,82,82,39,39,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0,0.0512820512820513,NaN,NaN,NaN,NaN,0,0,0,0,midpoint_only,"Finder ablation: midpoint only, no trust refine",beta,0.431247708333333
problem,DASCMOP1_BC,DASCMOP_BC,1,1,82,82,39,39,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0,0.0512820512820513,NaN,NaN,NaN,NaN,0,0,0,0,probe3_only,"Finder ablation: three probes only, no local refine",beta,0.398258375
problem,DASCMOP1_BC,DASCMOP_BC,1,1,82,82,39,39,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0,0.0512820512820513,NaN,NaN,NaN,NaN,0,0,0,0,boundarycore_no_trust,"Trust ablation: disable trust but force placement refine",beta,0.411023583333333
problem,DASCMOP1_BC,DASCMOP_BC,1,1,82,82,39,39,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0,0.0512820512820513,NaN,NaN,NaN,NaN,0,0,0,0,selector_pareto_only,"Selector ablation: Pareto-only ordering",beta,0.366970041666667
problem,DASCMOP1_BC,DASCMOP_BC,1,1,82,82,39,39,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0,0.0512820512820513,NaN,NaN,NaN,NaN,0,0,0,0,selector_boundary_only,"Selector ablation: boundary-only ordering",beta,0.388732458333333
problem,DASCMOP1_BC,DASCMOP_BC,1,1,46,46,30,30,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0,0,NaN,NaN,NaN,NaN,0,0,0,0,selector_random_shortlist,"Selector ablation: random selection within Pareto shortlist",beta,0.40279925
problem,DASCMOP1_BC,DASCMOP_BC,1,1,82,82,39,39,0,0,0,0,1,1,NaN,NaN,NaN,1,1,0,0.0512820512820513,NaN,NaN,NaN,NaN,0,0,0,0,feasible_forward_off,"Refinement ablation: disable feasible forward exploit",beta,0.387092833333333
problem,DASCMOP1_BC,DASCMOP_BC,1,1,83,83,39,39,0,0,0,0,0,0,NaN,NaN,NaN,0,0,0,0,NaN,NaN,NaN,NaN,0,0,0,0,infeasible_shrink_off,"Refinement ablation: disable infeasible bracket shrink",beta,0.424650166666667
problem,DASCMOP1_BC,DASCMOP_BC,1,1,79,79,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,no_boundary,"Final-effect ablation: boundary budget disabled via bRho = 0",beta,0.302747666666667
